setting_id,author_id,author_year,note_format,privacy_default,mood_tracking,weather_tracking,reminder_time,backup_enabled,theme_color,font_size,auto_save,updated_at,session_duration,conversion_rate
1,1,1999,백지 형식,공개,True,True,02:54:53,False,보라색,보통,True,2025-05-28 15:19:31.787378,1506,0.047
2,2,1993,격자 형식,비공개,True,True,19:57:41,True,파란색,보통,True,2025-05-21 01:43:58.641064,51,0.017
3,3,1981,백지 형식,공개,True,True,20:52:15,True,파란색,작게,True,2025-05-07 07:21:04.809781,364,0.079
4,4,1996,줄글 형식,친구만,True,True,04:01:31,True,초록색,작게,True,2025-05-20 10:59:16.954260,492,0.078
5,5,2003,백지 형식,공개,True,False,05:20:21,False,핑크색,작게,True,2025-05-19 15:51:35.169543,1289,0.026
6,6,1985,격자 형식,친구만,True,False,07:58:09,True,보라색,크게,True,2025-06-02 04:31:41.502916,199,0.047
7,7,1994,백지 형식,친구만,True,True,16:31:37,True,파란색,크게,True,2025-05-29 15:32:39.778431,442,0.089
8,8,1985,백지 형식,친구만,True,True,12:39:21,True,초록색,보통,True,2025-05-19 17:26:25.872702,469,0.056
9,9,1996,격자 형식,친구만,False,False,13:59:24,True,검은색,작게,True,2025-05-11 22:47:53.587610,1666,0.045
10,10,2001,백지 형식,비공개,True,False,07:03:22,True,보라색,크게,True,2025-05-25 12:45:26.466558,345,0.059
11,11,1993,격자 형식,공개,True,True,15:35:39,True,핑크색,작게,True,2025-05-09 16:01:57.911285,388,0.096
12,12,2005,백지 형식,친구만,True,True,22:10:33,False,검은색,크게,True,2025-05-06 16:13:46.123773,434,0.058
13,13,1990,격자 형식,친구만,True,False,00:07:43,True,보라색,크게,True,2025-05-31 20:56:49.596233,1692,0.069
14,14,1985,백지 형식,공개,True,False,12:37:49,True,검은색,작게,True,2025-05-26 23:21:07.054845,1282,0.039
15,15,1997,줄글 형식,비공개,False,True,09:16:49,True,파란색,크게,True,2025-05-22 14:02:42.170760,643,0.049
16,16,1992,백지 형식,친구만,True,True,12:25:29,True,파란색,보통,True,2025-05-12 18:50:29.806667,1304,0.014
17,17,1981,줄글 형식,공개,False,False,13:53:44,True,파란색,작게,True,2025-05-25 23:08:52.307332,1425,0.019
18,18,1985,격자 형식,비공개,True,True,01:31:54,True,검은색,크게,True,2025-05-13 10:14:50.439899,53,0.031
19,19,1997,줄글 형식,친구만,True,True,11:37:42,True,핑크색,보통,True,2025-05-26 01:09:28.817069,158,0.084
20,20,1999,백지 형식,비공개,True,False,18:11:50,True,파란색,크게,True,2025-05-25 21:31:09.254627,689,0.069
21,21,1984,줄글 형식,비공개,False,True,00:31:01,True,보라색,작게,True,2025-05-25 15:36:14.881035,333,0.06
22,22,1997,격자 형식,친구만,False,True,07:32:13,True,핑크색,크게,True,2025-05-09 17:00:30.076729,1695,0.044
23,23,2005,줄글 형식,비공개,True,True,08:43:46,True,초록색,보통,True,2025-05-31 01:29:25.888100,1780,0.01
24,24,1986,줄글 형식,비공개,True,True,14:55:27,True,파란색,작게,True,2025-05-22 22:05:57.872981,208,0.07
25,25,1992,격자 형식,공개,True,True,23:09:36,True,핑크색,작게,True,2025-06-01 13:26:54.061767,308,0.079
26,26,1981,격자 형식,공개,True,True,20:43:40,True,검은색,크게,True,2025-05-14 18:46:41.994565,1668,0.011
27,27,1984,격자 형식,친구만,True,False,03:50:13,True,초록색,작게,True,2025-05-10 14:54:54.424545,1725,0.02
28,28,1980,줄글 형식,비공개,True,True,05:21:15,True,핑크색,보통,True,2025-05-15 02:29:27.964964,587,0.088
29,29,1984,격자 형식,비공개,True,True,16:56:08,True,보라색,보통,True,2025-05-12 01:33:51.693157,566,0.073
30,30,2000,격자 형식,공개,True,True,04:39:14,True,초록색,보통,True,2025-05-21 05:29:18.997099,1617,0.097
31,31,1997,격자 형식,공개,False,True,08:38:53,True,검은색,작게,True,2025-05-08 04:10:11.158040,1118,0.038
32,32,2003,격자 형식,친구만,True,True,11:28:21,True,보라색,작게,True,2025-05-21 09:00:15.742291,130,0.023
33,33,2000,줄글 형식,친구만,True,True,19:27:23,True,보라색,크게,True,2025-05-21 21:01:04.183262,1337,0.072
34,34,1993,백지 형식,친구만,True,True,02:11:32,True,보라색,크게,True,2025-05-26 20:24:37.741250,140,0.025
35,35,1996,백지 형식,친구만,False,True,15:18:18,True,핑크색,보통,True,2025-05-23 16:07:23.611755,1610,0.068
36,36,1984,백지 형식,공개,True,True,06:50:06,True,보라색,보통,True,2025-05-23 01:44:47.197367,1742,0.1
37,37,1988,격자 형식,친구만,False,False,01:14:03,True,보라색,작게,True,2025-05-28 23:45:25.482938,524,0.083
38,38,1991,백지 형식,공개,False,True,06:58:57,True,핑크색,크게,True,2025-05-08 19:01:55.205844,1246,0.058
39,39,1985,백지 형식,공개,True,False,08:02:14,True,핑크색,보통,True,2025-05-16 23:15:03.472019,1761,0.032
40,40,2002,줄글 형식,공개,True,True,04:42:36,True,파란색,보통,True,2025-05-31 02:15:25.127019,731,0.015
41,41,2003,격자 형식,친구만,True,True,12:35:40,True,초록색,크게,True,2025-05-05 22:52:03.476301,130,0.039
42,42,2003,격자 형식,친구만,True,True,08:30:39,True,파란색,크게,True,2025-05-22 20:09:15.547734,1783,0.024
