project_id,title,creator_id,goal_amount,current_amount,status,like_count,created_at,category_score,external_id
1,공개 키 선구적 프로젝트,26,25449907,1241642,실패,131,2025-02-19,76,4ececde9-a39c-42b7-9f37-4b215146861a
2,품질 중심의 무해한 시너지,33,42636214,3774081,실패,43,2025-04-15,35,e944771e-9b52-4655-9d5b-a3fece6af432
3,안전한 정적 축적,24,35221178,9992461,진행중,2,2024-11-01,35,afaa0190-17cf-460b-bcd9-154e8dc9962e
4,유기농 최대화 유연성,50,21762898,9349280,성공,184,2024-07-28,67,863d61af-f332-4e19-ae21-ca8fb3fcf5bf
5,강력한 방향 접근,4,20626763,2123235,준비중,161,2024-09-17,33,6e031702-3397-4047-bc26-d646d7c0e75c
6,멀티 레이어 24시간 우연성,41,30724617,1962055,준비중,21,2025-03-09,47,bae1587d-b4d4-44fb-8631-9cc9a9954195
7,비즈니스 중점적 6세대 성공,5,23199768,1660669,진행중,48,2025-04-19,13,730abd52-e1ef-4a31-b946-0fc1c6445f76
8,완벽히 설정된 고단계 암호화,11,45548291,1606354,실패,130,2024-11-14,77,c22a1466-fc4c-4516-9dc7-6f1a5856e3c3
9,안전한 무관리 아카이브,32,37229378,7766374,준비중,122,2025-04-17,16,13d9c5ed-4516-49fe-9ed4-bbd2d982e011
10,줄어든 분리형 분석,18,27800602,8628715,준비중,73,2024-11-18,68,1c4903db-e52d-47a5-90d9-2b84d89f9ea0
11,멀티 채널 수요 중심 어플리케이션,28,41059162,8133926,준비중,61,2024-06-28,71,8e361685-948c-425e-84ac-e504b68a04df
12,숙련된 분리형 인터페이스,15,9813953,8828206,실패,179,2024-09-27,81,dd8677b3-1a2c-4b3d-8dde-0b371b83c96e
13,설정 가능한 비동기 공구,35,6792170,564825,준비중,125,2024-06-18,68,37ca87ba-fd8a-404a-948b-60181eae7096
14,강력한 안정적 컨셉,6,22401660,3328147,실패,120,2025-03-16,64,a7cfbc5c-1c1e-41bf-b9d1-18efec297a5a
15,융합력있는 웹 사용 가능 환경,6,46758566,7162039,성공,105,2024-07-02,3,e046fb54-1164-4550-a27f-f09032851a54
16,비전 있는 3세대 표준,31,46634541,305000,실패,124,2025-05-13,65,0ec977f7-ab5b-464b-9fae-fd9a53065014
17,설정 가능한 헌신적 인공지능,44,6908102,4418018,준비중,52,2024-07-21,27,e015ca32-ed9c-4bed-bcd6-456fb25db1dc
18,독보적인 비대칭 모델,38,18097362,1406630,진행중,170,2024-08-30,85,a96b2464-e045-497e-94a0-bffdd2ad9c9d
19,사용자 중심의 5세대 우연성,1,26761597,2189479,성공,147,2025-02-25,15,59978a71-c8ac-4269-b356-152a2a1c1101
20,독보적인 분석중인 전략,44,48168670,7556509,성공,192,2024-06-24,70,87857693-c2a2-4339-9b35-3640f93dcd37
21,확장된 해답 기반 안내 창구,47,44464650,5462307,실패,66,2025-03-24,10,a61aa70d-c261-4dc7-84e1-9f0750b1de31
