setting_id,user_id,risk_level,notification_enabled,investment_experience,preferred_sectors,investment_goal,conversion_rate,impression_count
1,1,공격형,True,10년 미만,소비재,단기수익,0.048,31581
2,2,공격형,True,5년 미만,혼합,안정적보존,0.065,1783
3,3,안정형,False,5년 미만,혼합,안정적보존,0.012,22862
4,4,중립형,True,5년 미만,혼합,단기수익,0.043,39063
5,5,공격형,True,1년 미만,금융주,장기성장,0.012,22223
6,6,안정형,False,5년 미만,혼합,배당수익,0.052,40994
7,7,공격형,False,1년 미만,혼합,안정적보존,0.055,20915
8,8,안정형,False,5년 미만,금융주,안정적보존,0.055,29495
9,9,중립형,False,10년 미만,기술주,장기성장,0.032,46721
10,10,안정형,True,1년 미만,에너지,장기성장,0.08,23758
11,11,중립형,False,10년 미만,기술주,장기성장,0.037,35987
12,12,안정형,False,10년 미만,기술주,장기성장,0.098,36630
13,13,안정형,False,1년 미만,혼합,장기성장,0.083,11635
14,14,공격형,False,10년 미만,혼합,안정적보존,0.081,24154
15,15,중립형,False,1년 미만,혼합,안정적보존,0.032,9470
16,16,공격형,False,10년 미만,기술주,단기수익,0.015,17067
17,17,공격형,True,10년 미만,에너지,단기수익,0.077,10410
18,18,안정형,True,1년 미만,혼합,장기성장,0.068,49124
19,19,중립형,False,1년 미만,기술주,단기수익,0.024,27045
20,20,공격형,False,5년 미만,소비재,단기수익,0.011,37452
21,21,공격형,False,10년 미만,소비재,단기수익,0.034,2719
22,22,안정형,False,1년 미만,기술주,장기성장,0.093,14917
23,23,공격형,True,5년 미만,에너지,장기성장,0.017,33113
24,24,공격형,False,10년 미만,금융주,안정적보존,0.068,42450
25,25,안정형,True,1년 미만,에너지,장기성장,0.081,41196
26,26,공격형,False,5년 미만,혼합,배당수익,0.07,11912
27,27,안정형,True,1년 미만,헬스케어,장기성장,0.044,14251
28,28,공격형,False,10년 미만,헬스케어,단기수익,0.097,49743
29,29,안정형,True,5년 미만,에너지,안정적보존,0.077,28545
30,30,안정형,False,5년 미만,에너지,장기성장,0.057,12276
31,31,안정형,False,10년 미만,헬스케어,배당수익,0.059,38582
32,32,중립형,True,1년 미만,기술주,배당수익,0.081,26955
33,33,중립형,False,10년 미만,기술주,안정적보존,0.049,22934
34,34,중립형,True,1년 미만,헬스케어,안정적보존,0.048,18182
35,35,중립형,True,10년 미만,기술주,배당수익,0.056,24658
36,36,공격형,True,5년 미만,헬스케어,안정적보존,0.046,30940
37,37,중립형,False,5년 미만,헬스케어,안정적보존,0.06,9514
38,38,공격형,False,5년 미만,기술주,안정적보존,0.051,49703
39,39,중립형,False,1년 미만,기술주,단기수익,0.038,7885
40,40,중립형,False,10년 미만,금융주,배당수익,0.043,28064
41,41,안정형,True,10년 미만,기술주,안정적보존,0.037,6500
42,42,중립형,False,5년 미만,금융주,장기성장,0.092,44282
43,43,공격형,True,10년 미만,금융주,장기성장,0.073,49648
44,44,공격형,False,10년 미만,에너지,단기수익,0.017,19885
45,45,중립형,False,1년 미만,혼합,장기성장,0.027,23767
46,46,중립형,True,5년 미만,기술주,배당수익,0.054,21319
47,47,공격형,False,1년 미만,혼합,안정적보존,0.095,21840
48,48,중립형,False,5년 미만,헬스케어,장기성장,0.051,49577
49,49,안정형,False,5년 미만,금융주,단기수익,0.085,49026
50,50,안정형,False,5년 미만,에너지,장기성장,0.012,8192
51,51,중립형,True,5년 미만,소비재,장기성장,0.077,3310
52,52,중립형,False,10년 미만,금융주,안정적보존,0.068,25269
53,53,공격형,False,1년 미만,기술주,안정적보존,0.052,5674
54,54,중립형,False,1년 미만,소비재,안정적보존,0.03,10150
55,55,안정형,False,5년 미만,헬스케어,장기성장,0.049,34354
56,56,중립형,False,1년 미만,금융주,단기수익,0.066,20398
57,57,중립형,True,10년 미만,헬스케어,안정적보존,0.06,47403
58,58,안정형,True,5년 미만,헬스케어,단기수익,0.081,14205
59,59,안정형,False,10년 미만,혼합,배당수익,0.072,22970
60,60,공격형,False,5년 미만,금융주,안정적보존,0.022,48446
61,61,공격형,False,1년 미만,에너지,장기성장,0.034,26894
62,62,중립형,True,5년 미만,헬스케어,안정적보존,0.048,46046
63,63,공격형,False,10년 미만,금융주,안정적보존,0.092,26283
64,64,중립형,True,1년 미만,헬스케어,배당수익,0.083,41889
65,65,중립형,False,5년 미만,기술주,배당수익,0.028,32460
66,66,안정형,True,1년 미만,기술주,단기수익,0.037,24004
67,67,안정형,False,5년 미만,헬스케어,단기수익,0.071,28710
68,68,공격형,True,5년 미만,혼합,장기성장,0.087,33775
69,69,중립형,True,5년 미만,소비재,안정적보존,0.023,12918
70,70,공격형,False,1년 미만,소비재,안정적보존,0.089,6657
71,71,중립형,True,1년 미만,혼합,장기성장,0.011,48576
72,72,안정형,False,10년 미만,금융주,안정적보존,0.02,5479
73,73,안정형,True,5년 미만,소비재,장기성장,0.091,13318
74,74,공격형,True,10년 미만,혼합,배당수익,0.016,9111
75,75,안정형,True,5년 미만,기술주,장기성장,0.044,45021
76,76,중립형,True,1년 미만,혼합,배당수익,0.026,40449
77,77,공격형,False,10년 미만,소비재,장기성장,0.03,6645
78,78,중립형,False,5년 미만,소비재,장기성장,0.067,9869
79,79,안정형,True,5년 미만,기술주,단기수익,0.072,48548
80,80,중립형,False,1년 미만,기술주,장기성장,0.012,33956
81,81,안정형,True,10년 미만,혼합,단기수익,0.063,38389
82,82,공격형,False,10년 미만,에너지,배당수익,0.024,38456
83,83,중립형,True,5년 미만,혼합,안정적보존,0.098,10879
84,84,안정형,True,5년 미만,에너지,안정적보존,0.091,33671
85,85,공격형,True,1년 미만,기술주,배당수익,0.072,37341
86,86,중립형,True,10년 미만,헬스케어,안정적보존,0.029,21772
87,87,공격형,True,5년 미만,금융주,안정적보존,0.094,43996
88,88,중립형,False,1년 미만,에너지,단기수익,0.09,49407
89,89,중립형,False,10년 미만,금융주,배당수익,0.099,4359
90,90,안정형,True,1년 미만,헬스케어,안정적보존,0.031,20628
91,91,중립형,True,1년 미만,기술주,배당수익,0.046,36167
92,92,안정형,False,5년 미만,헬스케어,안정적보존,0.055,37064
93,93,공격형,False,5년 미만,금융주,장기성장,0.078,17184
94,94,중립형,False,10년 미만,기술주,단기수익,0.064,29620
95,95,중립형,True,1년 미만,소비재,배당수익,0.079,37976
96,96,중립형,False,10년 미만,에너지,안정적보존,0.096,21253
97,97,중립형,False,10년 미만,금융주,안정적보존,0.011,44879
98,98,안정형,True,1년 미만,헬스케어,배당수익,0.097,10338
99,99,안정형,True,1년 미만,금융주,안정적보존,0.021,6942
100,100,공격형,False,5년 미만,소비재,장기성장,0.027,35882
