market_id,market_name,location,market_type,operating_days,region,established_year,market_size,contact_phone,certification,view_count,is_featured
1,고성군 축산시장,경기도 김포시 삼성거리 793-87 (숙자이안면),직거래장,평일만,경기,1985,소형,017-491-7689,False,5858,True
2,성남시 분당구 축산시장,제주특별자치도 동두천시 오금46가 지하412,소매시장,주3회,강원,2007,소형,019-018-0767,True,4752,False
3,수원시 축산시장,울산광역시 강서구 도산대43가 100-48 (재현곽김읍),직거래장,평일만,전북,2013,소형,019-898-6087,True,9571,True
4,천안시 서북구 축산시장,세종특별자치시 동작구 역삼길 379 (서영최김동),직거래장,평일만,충북,1991,중형,044-777-2917,False,5523,False
5,가평군 축산시장,광주광역시 서초구 봉은사로 621,도매시장,매일,강원,1973,대형,061-204-2782,True,8695,False
6,안양시 축산시장,울산광역시 서구 테헤란691거리 282 (선영송읍),소매시장,평일만,경기,1996,중형,033-711-1117,True,4612,True
7,용인시 기흥구 축산시장,서울특별시 북구 논현길 205,소매시장,주3회,경북,1999,중형,043-180-6722,True,6954,True
8,제천시 축산시장,제주특별자치도 부천시 오정구 영동대1거리 150-69 (정숙고읍),소매시장,주3회,서울,1992,소형,055-581-3669,True,2625,True
9,보은군 축산시장,경기도 논산시 봉은사70거리 154-37 (영진백리),직거래장,주말만,전북,1971,대형,018-241-5916,False,2069,False
10,의정부시 축산시장,강원도 태백시 언주길 485-32 (예은류읍),도매시장,주말만,경기,2015,소형,041-787-7929,False,178,False
11,계룡시 축산시장,대구광역시 동작구 백제고분가 634-6 (영일우읍),도매시장,매일,충북,1955,대형,063-557-4176,True,8496,False
12,용인시 기흥구 축산시장,경상북도 광주시 테헤란2로 240-14 (영수이황리),소매시장,주3회,강원,2010,중형,042-918-5400,True,7772,False
13,정선군 축산시장,부산광역시 송파구 도산대359거리 776 (상훈배마을),소매시장,평일만,충북,1977,대형,070-8453-9700,True,3781,True
14,보령시 축산시장,세종특별자치시 성북구 양재천길 678-52,직거래장,평일만,경북,1981,대형,019-198-3688,True,5444,False
15,태안군 축산시장,대구광역시 영등포구 역삼길 329 (성진박황리),도매시장,주3회,전남,1960,대형,019-263-3571,True,9354,True
16,청주시 서원구 축산시장,세종특별자치시 은평구 언주로 350 (성수윤마을),직거래장,매일,경기,1983,대형,051-367-9311,True,3132,True
17,용인시 기흥구 축산시장,충청북도 수원시 장안구 역삼3길 754-49 (민석윤김면),직거래장,주3회,전남,2014,대형,017-297-2036,True,8323,False
18,안성시 축산시장,전라남도 김포시 역삼3로 317-21 (정순김읍),직거래장,주3회,전남,2000,소형,044-801-6687,False,4529,False
19,고양시 축산시장,강원도 평창군 역삼거리 455-56,직거래장,주말만,제주,1973,대형,044-643-8681,True,9043,True
20,군포시 축산시장,충청북도 동해시 개포66가 170 (수빈최면),도매시장,매일,서울,1960,소형,055-107-8956,True,1355,False
21,수원시 영통구 축산시장,울산광역시 마포구 반포대길 172,소매시장,매일,충남,2009,중형,031-284-6699,True,5734,True
22,여주시 축산시장,인천광역시 동대문구 봉은사가 795-17,도매시장,평일만,충북,1980,중형,042-648-1149,False,7937,False
23,수원시 장안구 축산시장,대전광역시 중랑구 백제고분로 733-5 (영환황동),도매시장,주말만,전남,1980,중형,061-050-8816,True,9274,False
24,공주시 축산시장,세종특별자치시 광진구 압구정가 104 (종수김읍),소매시장,주3회,전북,1993,중형,032-881-1627,True,5625,False
25,아산시 축산시장,전라북도 태백시 학동가 77,도매시장,주말만,전남,2006,대형,061-550-5222,True,4376,True
26,단양군 축산시장,대구광역시 광진구 압구정0로 93-71,직거래장,매일,충남,2000,중형,064-774-5530,True,8475,True
27,수원시 축산시장,경상남도 아산시 압구정길 812-60 (영희장동),소매시장,주말만,경남,1976,대형,062-383-2925,True,195,False
28,수원시 장안구 축산시장,대구광역시 강남구 서초중앙거리 지하284 (선영최면),소매시장,매일,전북,1983,중형,019-419-6904,True,9724,False
29,수원시 영통구 축산시장,대구광역시 성동구 오금로 534,소매시장,매일,경북,1972,대형,010-2854-0664,True,1265,False
30,괴산군 축산시장,부산광역시 서구 서초중앙296로 714,직거래장,주말만,강원,2003,대형,062-253-4271,True,8731,True
31,수원시 장안구 축산시장,충청북도 당진시 백제고분9로 420-21 (정숙서김리),소매시장,주말만,전남,2005,대형,053-044-5773,False,3019,False
32,부천시 소사구 축산시장,경상북도 안산시 단원구 잠실0로 244-49 (수진이면),도매시장,주말만,전북,2013,중형,051-112-8994,False,8318,True
33,구리시 축산시장,인천광역시 은평구 학동길 51-12 (서영최면),소매시장,주3회,충남,1956,대형,031-962-2617,False,3305,True
34,철원군 축산시장,전라북도 부천시 소사구 반포대953가 272,직거래장,주3회,충북,1975,대형,017-609-3646,True,7142,False
35,시흥시 축산시장,광주광역시 종로구 영동대거리 294,소매시장,평일만,강원,1976,대형,062-633-7326,True,337,False
36,청양군 축산시장,광주광역시 강동구 언주441거리 833 (혜진이읍),직거래장,매일,경기,2002,소형,032-016-2205,True,7778,True
37,금산군 축산시장,전라남도 포천시 서초중앙69거리 416-85,직거래장,매일,제주,1980,중형,019-858-2091,False,831,True
38,평창군 축산시장,충청남도 김포시 서초중앙가 742 (영길장박동),도매시장,주3회,전남,1951,대형,011-386-5259,True,8669,False
39,과천시 축산시장,서울특별시 광진구 논현526길 139,직거래장,주말만,경북,1989,대형,054-015-4222,False,9703,True
40,안양시 만안구 축산시장,경상남도 정선군 언주거리 371 (춘자엄이리),직거래장,주3회,충북,1964,소형,070-5530-6771,True,2531,True
41,파주시 축산시장,경상북도 양평군 석촌호수거리 271-16 (수진김나마을),소매시장,매일,경기,1975,소형,064-755-1563,True,2128,False
42,용인시 기흥구 축산시장,경상남도 용인시 수지구 압구정9가 262-78 (영희이박리),도매시장,매일,전북,1999,대형,051-089-7571,True,600,False
43,태백시 축산시장,대구광역시 금천구 학동가 239,도매시장,매일,제주,2012,대형,033-659-1813,True,4122,True
44,이천시 축산시장,부산광역시 동구 논현로 228,소매시장,평일만,충북,1980,대형,052-859-0205,True,4977,True
45,삼척시 축산시장,울산광역시 성북구 선릉05거리 479 (서연홍김마을),소매시장,주3회,충북,2006,중형,016-030-2903,False,3482,False
46,괴산군 축산시장,충청남도 강릉시 선릉길 282-54 (영일김마을),직거래장,주3회,전북,1964,대형,019-345-7341,True,1000,True
47,고양시 축산시장,충청북도 서산시 역삼65길 799,직거래장,주말만,전북,1950,대형,053-346-0631,True,2791,False
48,괴산군 축산시장,광주광역시 노원구 테헤란189로 84,도매시장,평일만,서울,1955,중형,064-764-2358,True,2096,False
49,수원시 영통구 축산시장,광주광역시 광진구 영동대로 지하134 (건우최김마을),소매시장,주3회,제주,1966,중형,055-293-2599,True,1237,True
50,수원시 팔달구 축산시장,경상북도 안산시 상록구 석촌호수거리 3,소매시장,주말만,전남,1976,대형,051-064-6478,True,3001,False
