analytics_id,livestock_mkt,monthly_avg_price,supply_stability,demand_trend,competition_level,quality_rating,avg_transaction_size,customer_satisfaction,market_share,growth_rate,last_updated,click_through_rate,impression_count
1,1,19081,보통,유지,보통,4,1125,4,0.133,-0.065,2025-05-03 18:55:06.339982,0.078,566
2,2,18606,보통,상승,낮음,4,1299,3,0.011,0.175,2025-05-29 12:01:51.656715,0.016,15680
3,3,15163,보통,유지,보통,5,6367,2,0.09,-0.011,2025-05-13 11:43:16.381623,0.117,46917
4,4,21617,안정,유지,높음,4,2293,3,0.025,0.084,2025-05-11 03:53:13.153439,0.099,32979
5,5,17794,불안정,상승,보통,4,3999,2,0.148,-0.034,2025-05-24 07:33:47.206427,0.079,46468
6,6,19878,안정,상승,보통,5,5772,5,0.05,-0.06,2025-05-17 14:15:15.310544,0.019,1775
7,7,21281,안정,유지,높음,5,1514,5,0.148,-0.054,2025-05-04 22:47:06.781310,0.071,31314
8,8,21658,안정,하락,낮음,4,3299,2,0.086,0.124,2025-05-20 18:40:15.390815,0.052,6198
9,9,20476,불안정,하락,낮음,3,3648,4,0.079,0.082,2025-05-18 08:45:14.731910,0.08,981
10,10,21941,안정,유지,높음,4,5229,3,0.141,0.025,2025-05-11 01:17:03.848355,0.073,20539
11,11,18565,안정,하락,높음,3,5100,4,0.129,0.065,2025-05-21 21:30:21.869640,0.108,36645
12,12,19206,불안정,유지,높음,5,2350,5,0.076,0.041,2025-05-11 02:58:14.193666,0.116,23158
13,13,17551,보통,유지,보통,3,6791,2,0.037,0.061,2025-05-10 13:54:28.871608,0.107,2074
14,14,17953,안정,유지,보통,5,5001,2,0.026,0.099,2025-05-23 13:04:33.245028,0.065,21303
15,15,22293,보통,상승,낮음,3,8326,1,0.033,-0.034,2025-05-05 14:02:31.176625,0.084,34225
16,16,17620,불안정,하락,보통,3,8086,1,0.074,-0.026,2025-05-21 12:52:55.151650,0.031,20466
17,17,20821,안정,하락,낮음,4,8744,2,0.046,0.126,2025-05-19 11:50:05.652889,0.053,21912
18,18,22736,불안정,상승,높음,4,6530,5,0.036,0.162,2025-05-16 14:27:40.286086,0.044,39132
19,19,17494,불안정,유지,높음,3,6248,5,0.113,-0.075,2025-05-08 05:55:45.098230,0.112,37002
