setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,notification_tournament,privacy_level,timer_preference,premium_status,referral_code
1,1,한국어,True,True,False,느림,2,True,False,공개,107,False,OrmC####
2,2,한국어,True,True,True,느림,19,True,True,공개,94,True,jStb####
3,3,일본어,True,False,False,느림,17,False,True,친구만,128,True,fprE####
4,4,영어,True,False,False,빠름,2,True,True,비공개,172,False,aGQs####
5,5,한국어,True,True,False,보통,19,False,True,공개,136,True,xTsn####
6,6,영어,True,False,False,빠름,5,True,True,비공개,46,True,OVAH####
7,7,중국어,True,True,False,보통,9,False,True,비공개,112,False,xSyz####
8,8,일본어,False,True,True,느림,6,True,True,친구만,135,False,MoEQ####
9,9,중국어,True,True,True,보통,18,True,True,비공개,83,True,fYzn####
10,10,한국어,True,False,False,빠름,6,True,True,공개,148,True,qQMh####
11,11,한국어,True,True,False,느림,13,True,True,친구만,31,False,oRwd####
12,12,중국어,True,True,True,느림,3,True,False,친구만,113,True,oKTB####
13,13,한국어,True,True,True,느림,11,True,True,비공개,98,False,hYid####
14,14,한국어,True,True,True,빠름,14,True,True,공개,95,True,KZyi####
15,15,중국어,True,True,True,빠름,3,True,True,친구만,40,True,Zxmf####
16,16,영어,True,True,False,보통,6,True,True,비공개,128,False,IBQI####
17,17,한국어,True,False,False,느림,9,False,True,공개,123,False,syjd####
18,18,한국어,True,True,False,빠름,2,False,True,공개,140,False,unnl####
19,19,중국어,True,True,True,느림,13,False,True,공개,97,True,Jrql####
20,20,한국어,True,True,True,빠름,20,True,True,공개,30,False,OunL####
21,21,일본어,False,True,False,보통,17,False,True,공개,30,True,VrEt####
22,22,영어,False,False,False,느림,16,False,True,공개,163,True,yFgd####
23,23,영어,True,True,False,빠름,5,False,True,비공개,49,False,tUtY####
24,24,중국어,True,True,False,느림,5,False,True,비공개,109,False,dnfw####
25,25,한국어,False,True,False,빠름,12,True,True,공개,104,True,Ojxg####
26,26,한국어,False,True,False,빠름,11,True,True,공개,41,True,dPlX####
27,27,영어,True,True,False,빠름,9,True,True,친구만,40,False,AIrm####
28,28,한국어,False,True,False,느림,17,True,True,친구만,35,False,SMZc####
29,29,일본어,False,True,False,보통,3,True,True,공개,102,False,emYM####
30,30,영어,False,True,True,보통,1,True,True,비공개,52,True,wkfc####
31,31,한국어,False,True,True,느림,8,False,True,공개,144,True,veAs####
32,32,중국어,True,False,False,느림,9,True,True,공개,55,True,fkgE####
33,33,한국어,True,False,True,보통,9,True,True,친구만,77,True,mjdY####
34,34,일본어,True,True,False,빠름,17,True,True,친구만,39,False,nVye####
35,35,중국어,False,True,True,빠름,14,True,True,공개,41,False,DrPv####
36,36,중국어,True,True,True,보통,19,True,True,공개,168,True,plBB####
37,37,한국어,False,False,False,빠름,9,True,True,비공개,97,False,CBMy####
38,38,영어,True,True,True,느림,6,False,True,친구만,84,True,EdFK####
39,39,영어,True,True,True,느림,8,True,True,공개,79,False,lBCV####
40,40,중국어,True,True,True,느림,8,False,True,친구만,98,True,XKCP####
41,41,한국어,True,True,False,빠름,4,True,True,친구만,141,True,dhfr####
42,42,중국어,True,False,True,빠름,18,True,False,비공개,76,False,qWxI####
43,43,한국어,True,True,False,느림,5,True,True,친구만,53,False,jJgY####
44,44,중국어,True,True,False,느림,17,False,False,친구만,104,False,rWID####
45,45,영어,True,True,False,느림,16,True,True,공개,133,False,fovw####
46,46,일본어,True,False,False,느림,9,True,True,친구만,51,False,SLIw####
47,47,영어,False,True,True,빠름,10,True,True,비공개,171,False,ynTU####
48,48,영어,False,True,False,보통,8,True,True,공개,53,True,CHHz####
49,49,중국어,True,False,False,느림,18,True,True,친구만,65,False,uJtp####
50,50,한국어,False,True,False,보통,13,True,True,공개,148,False,qwsp####
51,51,영어,True,True,True,느림,14,True,True,비공개,79,False,iqqi####
52,52,한국어,False,False,False,빠름,7,True,True,친구만,114,False,gcnR####
53,53,일본어,True,True,False,느림,16,False,True,비공개,147,True,lTYI####
54,54,중국어,True,True,False,느림,20,False,True,비공개,142,False,DMCB####
55,55,일본어,True,True,False,빠름,20,True,True,비공개,140,False,ACvE####
56,56,일본어,True,True,False,빠름,4,False,True,친구만,87,True,gOEo####
57,57,중국어,True,True,False,느림,11,True,True,공개,103,False,yFVB####
58,58,영어,False,False,True,느림,9,True,True,공개,169,True,BEek####
59,59,영어,True,False,False,빠름,4,False,True,공개,88,True,CdGd####
60,60,한국어,True,True,True,보통,15,False,True,공개,72,False,XDmt####
61,61,일본어,True,True,False,느림,20,False,False,공개,171,True,DgCW####
62,62,일본어,True,True,False,느림,17,False,True,친구만,164,True,sIQj####
63,63,중국어,True,False,False,보통,5,False,True,친구만,158,True,rZaz####
64,64,중국어,True,False,False,보통,10,False,True,비공개,76,True,koKJ####
65,65,중국어,True,False,False,느림,14,False,True,비공개,152,False,cebw####
66,66,중국어,True,False,False,느림,2,True,True,친구만,162,False,BWio####
67,67,영어,True,True,False,보통,20,True,True,친구만,157,False,uXQS####
68,68,영어,False,True,True,느림,8,True,True,비공개,46,False,HoWm####
69,69,한국어,True,True,False,보통,7,False,True,친구만,171,True,mSxc####
