analytics_id,q1,total_answers,accepted_answer_id,avg_answer_length,best_answer_score,response_time_avg,tags,bookmark_count,share_count,updated_at,conversion_rate,bounce_rate
1,1,12,21.0,382,7,56,"['voluptas', 'amet', 'sequi', 'quos']",46,20,2025-04-16 01:44:55.440891,0.076,0.58
2,2,7,95.0,296,6,48,['id'],40,8,2025-04-29 00:57:00.810129,0.066,0.29
3,3,0,7.0,66,6,37,"['mollitia', 'doloremque', 'reiciendis', 'necessitatibus']",35,7,2025-05-10 03:15:35.699259,0.053,0.64
4,4,15,10.0,65,13,58,"['numquam', 'iusto', 'atque']",36,16,2025-04-17 17:28:33.183692,0.082,0.5
5,5,7,69.0,638,28,47,"['eum', 'facere', 'consequuntur']",27,19,2025-03-29 06:51:51.441550,0.096,0.39
6,6,3,,230,3,43,"['reiciendis', 'voluptatibus', 'officiis', 'ad']",40,15,2025-04-21 05:37:28.827775,0.059,0.53
7,7,12,43.0,247,45,3,"['officia', 'quisquam', 'velit', 'eum', 'ducimus']",35,6,2025-04-02 01:04:37.098003,0.073,0.7
8,8,5,15.0,89,16,14,"['nostrum', 'quisquam', 'iure']",32,5,2025-05-21 08:18:10.302535,0.01,0.47
9,9,13,83.0,293,38,56,"['repellendus', 'molestiae', 'aliquam', 'inventore', 'nisi']",37,2,2025-05-19 10:23:07.119980,0.012,0.34
10,10,5,,288,34,23,"['ipsum', 'est', 'at']",36,10,2025-05-22 05:38:16.736941,0.052,0.61
11,11,12,,710,35,17,"['mollitia', 'eius', 'id', 'ipsa']",34,6,2025-04-07 15:16:48.823628,0.099,0.39
12,12,6,59.0,290,0,5,"['eum', 'ab', 'nesciunt', 'eos']",14,0,2025-05-20 21:33:41.359428,0.04,0.39
13,13,8,,219,42,26,['error'],18,11,2025-03-17 01:29:44.299581,0.072,0.24
14,14,6,,585,13,42,"['laudantium', 'iure', 'possimus']",3,7,2025-05-04 07:31:19.892227,0.021,0.36
15,15,14,28.0,312,11,42,"['dolorem', 'excepturi', 'consequatur', 'voluptatum', 'tenetur']",29,14,2025-03-13 06:16:55.688228,0.015,0.51
16,16,3,,395,32,48,['dolorem'],27,9,2025-04-28 22:02:32.887160,0.092,0.56
17,17,4,,191,47,45,"['neque', 'ad', 'officia']",38,10,2025-04-08 04:16:39.484118,0.03,0.72
18,18,0,22.0,163,18,11,"['quae', 'explicabo', 'praesentium', 'totam']",41,12,2025-05-25 17:30:53.130470,0.031,0.73
19,19,5,,469,44,12,"['nihil', 'iste', 'dolorem', 'neque']",28,6,2025-05-02 12:17:09.263188,0.076,0.42
20,20,14,11.0,88,14,21,['voluptates'],31,2,2025-03-04 10:43:19.162291,0.097,0.4
21,21,4,,484,43,21,"['maxime', 'perspiciatis']",5,15,2025-05-22 09:43:06.417762,0.013,0.26
