profile_id,counselor,experience_years,rating,available_languages,max_concurrent_chats,certification,profile_image,updated_at
3,3,9,1,한국어,6,심리상담사 2급,https://counselor.example.com/profile_3.jpg,2025-05-07 20:03:29.057115
44,44,6,2,한국어,6,일반,https://counselor.example.com/profile_44.jpg,2025-05-06 19:50:21.739256
36,36,10,3,중국어,8,심리상담사 1급,https://counselor.example.com/profile_36.jpg,2025-05-30 07:40:59.404765
24,24,15,3,한국어,8,심리상담사 1급,https://counselor.example.com/profile_24.jpg,2025-05-14 09:39:38.193014
41,41,5,5,중국어,7,상담심리학 석사,https://counselor.example.com/profile_41.jpg,2025-05-18 13:40:32.218674
11,11,4,5,한국어,4,상담심리학 석사,https://counselor.example.com/profile_11.jpg,2025-05-03 23:23:22.593905
23,23,12,2,일본어,6,심리상담사 2급,https://counselor.example.com/profile_23.jpg,2025-05-08 09:05:41.496815
19,19,10,2,일본어,8,상담심리학 석사,https://counselor.example.com/profile_19.jpg,2025-05-30 17:02:00.010749
50,50,6,1,영어,5,심리상담사 1급,https://counselor.example.com/profile_50.jpg,2025-05-12 02:11:15.049615
21,21,5,4,일본어,4,상담심리학 석사,https://counselor.example.com/profile_21.jpg,2025-05-25 09:45:46.109774
8,8,2,1,중국어,4,심리상담사 1급,https://counselor.example.com/profile_8.jpg,2025-05-17 06:20:20.706177
43,43,2,2,한국어,5,심리상담사 2급,https://counselor.example.com/profile_43.jpg,2025-05-15 21:50:46.603925
15,15,5,4,중국어,4,상담심리학 석사,https://counselor.example.com/profile_15.jpg,2025-05-21 10:11:03.712093
29,29,6,5,영어,6,심리상담사 1급,https://counselor.example.com/profile_29.jpg,2025-05-10 23:29:32.705052
39,39,5,5,일본어,5,일반,https://counselor.example.com/profile_39.jpg,2025-05-05 19:44:10.158595
