profile_id,counselor,updated_at,experience_years,rating,available_languages
1,1,2025-05-31 14:15:28.049700,10,5,한국어
2,2,2025-05-03 09:28:25.262149,6,2,한국어
3,3,2025-05-07 20:03:29.057115,9,1,한국어
4,4,2025-05-03 07:08:46.412127,13,3,중국어
5,5,2025-05-19 15:05:52.344593,5,2,영어
6,6,2025-05-12 14:57:13.726273,14,2,한국어
7,7,2025-05-23 04:55:07.163716,3,1,중국어
8,8,2025-05-17 06:20:20.706177,2,1,중국어
9,9,2025-05-12 20:57:16.234791,6,4,일본어
10,10,2025-05-13 16:39:51.377477,9,2,중국어
11,11,2025-05-03 23:23:22.593905,4,5,한국어
12,12,2025-05-09 07:17:16.551466,5,2,일본어
13,13,2025-05-03 18:27:48.227134,11,3,중국어
14,14,2025-05-16 19:41:15.867762,2,3,중국어
15,15,2025-05-21 10:11:03.712093,5,4,중국어
16,16,2025-05-08 04:26:07.454931,14,1,일본어
17,17,2025-05-09 15:30:16.235960,3,2,일본어
18,18,2025-05-10 12:54:09.561462,15,1,영어
19,19,2025-05-30 17:02:00.010749,10,2,일본어
20,20,2025-05-06 00:20:14.557728,5,2,영어
21,21,2025-05-25 09:45:46.109774,5,4,일본어
22,22,2025-05-11 22:23:25.198651,8,3,한국어
23,23,2025-05-08 09:05:41.496815,12,2,일본어
24,24,2025-05-14 09:39:38.193014,15,3,한국어
25,25,2025-05-31 02:52:22.168344,3,4,한국어
26,26,2025-05-07 07:49:06.941696,13,2,영어
27,27,2025-05-14 05:57:55.077527,3,3,영어
28,28,2025-05-16 23:08:22.295465,7,3,한국어
29,29,2025-05-10 23:29:32.705052,6,5,영어
30,30,2025-05-03 13:48:02.787705,14,3,중국어
31,31,2025-05-24 21:58:35.371983,8,2,일본어
32,32,2025-05-28 21:00:19.326321,15,3,중국어
33,33,2025-05-28 10:07:32.260643,12,4,한국어
34,34,2025-05-11 18:40:48.005586,11,2,중국어
35,35,2025-05-19 12:06:36.271803,13,4,중국어
36,36,2025-05-30 07:40:59.404765,10,3,중국어
37,37,2025-05-07 07:22:19.524838,11,2,중국어
38,38,2025-05-31 15:45:50.561184,12,4,영어
39,39,2025-05-05 19:44:10.158595,5,5,일본어
40,40,2025-05-10 22:04:11.007070,7,4,중국어
41,41,2025-05-18 13:40:32.218674,5,5,중국어
42,42,2025-05-11 15:52:29.090719,3,3,일본어
43,43,2025-05-15 21:50:46.603925,2,2,한국어
44,44,2025-05-06 19:50:21.739256,6,2,한국어
45,45,2025-05-03 05:12:12.780006,1,1,중국어
46,46,2025-05-31 15:14:57.891428,5,3,중국어
47,47,2025-05-18 02:29:04.974762,10,5,한국어
48,48,2025-05-26 00:31:03.618940,1,1,중국어
49,49,2025-05-28 18:19:51.822923,4,4,한국어
50,50,2025-05-12 02:11:15.049615,6,1,영어
