profile_id,counselor,experience_years,rating,available_languages,max_concurrent_chats,certification,profile_image,updated_at
14,14,2,3,중국어,4,심리상담사 1급,https://counselor.example.com/profile_14.jpg,2025-05-16 19:41:15.867762
40,40,7,4,중국어,3,심리상담사 1급,https://counselor.example.com/profile_40.jpg,2025-05-10 22:04:11.007070
31,31,8,2,일본어,3,상담심리학 석사,https://counselor.example.com/profile_31.jpg,2025-05-24 21:58:35.371983
46,46,5,3,중국어,6,심리상담사 2급,https://counselor.example.com/profile_46.jpg,2025-05-31 15:14:57.891428
18,18,15,1,영어,6,상담심리학 석사,https://counselor.example.com/profile_18.jpg,2025-05-10 12:54:09.561462
49,49,4,4,한국어,7,심리상담사 1급,https://counselor.example.com/profile_49.jpg,2025-05-28 18:19:51.822923
27,27,3,3,영어,6,일반,https://counselor.example.com/profile_27.jpg,2025-05-14 05:57:55.077527
26,26,13,2,영어,3,심리상담사 2급,https://counselor.example.com/profile_26.jpg,2025-05-07 07:49:06.941696
33,33,12,4,한국어,6,일반,https://counselor.example.com/profile_33.jpg,2025-05-28 10:07:32.260643
20,20,5,2,영어,3,심리상담사 2급,https://counselor.example.com/profile_20.jpg,2025-05-06 00:20:14.557728
13,13,11,3,중국어,5,심리상담사 1급,https://counselor.example.com/profile_13.jpg,2025-05-03 18:27:48.227134
5,5,5,2,영어,7,일반,https://counselor.example.com/profile_5.jpg,2025-05-19 15:05:52.344593
38,38,12,4,영어,4,일반,https://counselor.example.com/profile_38.jpg,2025-05-31 15:45:50.561184
9,9,6,4,일본어,5,심리상담사 1급,https://counselor.example.com/profile_9.jpg,2025-05-12 20:57:16.234791
4,4,13,3,중국어,3,심리상담사 1급,https://counselor.example.com/profile_4.jpg,2025-05-03 07:08:46.412127
7,7,3,1,중국어,3,심리상담사 2급,https://counselor.example.com/profile_7.jpg,2025-05-23 04:55:07.163716
42,42,3,3,일본어,8,상담심리학 석사,https://counselor.example.com/profile_42.jpg,2025-05-11 15:52:29.090719
47,47,10,5,한국어,8,일반,https://counselor.example.com/profile_47.jpg,2025-05-18 02:29:04.974762
48,48,1,1,중국어,5,상담심리학 석사,https://counselor.example.com/profile_48.jpg,2025-05-26 00:31:03.618940
16,16,14,1,일본어,7,일반,https://counselor.example.com/profile_16.jpg,2025-05-08 04:26:07.454931
