setting_id,author_id,author_year,updated_at,note_format,privacy_default,mood_tracking,weather_tracking
1,1,1999,2025-05-28 15:19:31.787378,백지 형식,공개,True,True
2,2,1993,2025-05-21 01:43:58.641064,격자 형식,비공개,True,True
3,3,1981,2025-05-07 07:21:04.809781,백지 형식,공개,True,True
4,4,1996,2025-05-20 10:59:16.954260,줄글 형식,친구만,True,True
5,5,2003,2025-05-19 15:51:35.169543,백지 형식,공개,True,False
6,6,1985,2025-06-02 04:31:41.502916,격자 형식,친구만,True,False
7,7,1994,2025-05-29 15:32:39.778431,백지 형식,친구만,True,True
8,8,1985,2025-05-19 17:26:25.872702,백지 형식,친구만,True,True
9,9,1996,2025-05-11 22:47:53.587610,격자 형식,친구만,False,False
10,10,2001,2025-05-25 12:45:26.466558,백지 형식,비공개,True,False
11,11,1993,2025-05-09 16:01:57.911285,격자 형식,공개,True,True
12,12,2005,2025-05-06 16:13:46.123773,백지 형식,친구만,True,True
13,13,1990,2025-05-31 20:56:49.596233,격자 형식,친구만,True,False
14,14,1985,2025-05-26 23:21:07.054845,백지 형식,공개,True,False
15,15,1997,2025-05-22 14:02:42.170760,줄글 형식,비공개,False,True
16,16,1992,2025-05-12 18:50:29.806667,백지 형식,친구만,True,True
17,17,1981,2025-05-25 23:08:52.307332,줄글 형식,공개,False,False
18,18,1985,2025-05-13 10:14:50.439899,격자 형식,비공개,True,True
19,19,1997,2025-05-26 01:09:28.817069,줄글 형식,친구만,True,True
20,20,1999,2025-05-25 21:31:09.254627,백지 형식,비공개,True,False
21,21,1984,2025-05-25 15:36:14.881035,줄글 형식,비공개,False,True
22,22,1997,2025-05-09 17:00:30.076729,격자 형식,친구만,False,True
23,23,2005,2025-05-31 01:29:25.888100,줄글 형식,비공개,True,True
24,24,1986,2025-05-22 22:05:57.872981,줄글 형식,비공개,True,True
25,25,1992,2025-06-01 13:26:54.061767,격자 형식,공개,True,True
26,26,1981,2025-05-14 18:46:41.994565,격자 형식,공개,True,True
27,27,1984,2025-05-10 14:54:54.424545,격자 형식,친구만,True,False
28,28,1980,2025-05-15 02:29:27.964964,줄글 형식,비공개,True,True
