project_id,title,creator_id,goal_amount,current_amount,status,like_count,created_at
1,공개 키 선구적 프로젝트,26,25449907,1241642,실패,131,2025-02-19
2,품질 중심의 무해한 시너지,33,42636214,3774081,실패,43,2025-04-15
3,안전한 정적 축적,24,35221178,9992461,진행중,2,2024-11-01
4,유기농 최대화 유연성,50,21762898,9349280,성공,184,2024-07-28
5,강력한 방향 접근,4,20626763,2123235,준비중,161,2024-09-17
6,멀티 레이어 24시간 우연성,41,30724617,1962055,준비중,21,2025-03-09
7,비즈니스 중점적 6세대 성공,5,23199768,1660669,진행중,48,2025-04-19
8,완벽히 설정된 고단계 암호화,11,45548291,1606354,실패,130,2024-11-14
9,안전한 무관리 아카이브,32,37229378,7766374,준비중,122,2025-04-17
10,줄어든 분리형 분석,18,27800602,8628715,준비중,73,2024-11-18
11,멀티 채널 수요 중심 어플리케이션,28,41059162,8133926,준비중,61,2024-06-28
12,숙련된 분리형 인터페이스,15,9813953,8828206,실패,179,2024-09-27
13,설정 가능한 비동기 공구,35,6792170,564825,준비중,125,2024-06-18
14,강력한 안정적 컨셉,6,22401660,3328147,실패,120,2025-03-16
15,융합력있는 웹 사용 가능 환경,6,46758566,7162039,성공,105,2024-07-02
16,비전 있는 3세대 표준,31,46634541,305000,실패,124,2025-05-13
17,설정 가능한 헌신적 인공지능,44,6908102,4418018,준비중,52,2024-07-21
18,독보적인 비대칭 모델,38,18097362,1406630,진행중,170,2024-08-30
19,사용자 중심의 5세대 우연성,1,26761597,2189479,성공,147,2025-02-25
20,독보적인 분석중인 전략,44,48168670,7556509,성공,192,2024-06-24
21,확장된 해답 기반 안내 창구,47,44464650,5462307,실패,66,2025-03-24
22,복제된 환경 친화적 그래픽 인터페이스,44,31296191,2267879,진행중,189,2024-07-08
23,융합력있는 분석중인 생산 능력,9,22321783,8691469,준비중,64,2024-09-04
24,유저 친화적 국가적 능력,14,22205254,6892177,성공,39,2024-12-21
25,반동적인 역수 프레임워크,2,4428946,5548809,진행중,12,2024-07-09
26,무결점의 합성물 환경,40,28067212,9939758,준비중,146,2025-03-05
27,다양한 스며든 모델,3,3853184,4616031,진행중,146,2024-10-06
28,복제된 로컬 예산 관리,34,29896580,8567485,진행중,79,2025-02-28
29,품질 중심의 고단계 유연성,31,40002690,5106859,준비중,194,2024-06-03
30,자동화된 국가적 보안구역,42,20034237,9145511,실패,180,2024-09-06
31,원활한 주파수 탐지 가능 LAN,46,13528475,8311338,준비중,68,2025-01-03
32,강력한 최적화된 공개 시스템,2,45972235,5947520,진행중,138,2024-07-22
33,수익에 중점을 둔 6세대 프로젝트,21,21322888,6689327,진행중,91,2024-12-14
34,확장된 휴대형 포탈,43,40638074,255203,성공,142,2025-01-04
35,안정적인 인간자원 패러다임,28,20839900,9340890,진행중,4,2025-01-06
36,확장된 문맥 기반 솔루션,9,23939270,3239859,준비중,165,2024-12-12
37,강화된 휴리스틱 암호화,38,24141236,3113257,준비중,79,2024-10-15
38,안정적인 실시간 데이터베이스,40,23201876,2593393,진행중,98,2024-10-01
39,독보적인 휴대형 인공지능,22,42621708,5841937,실패,52,2024-12-13
40,공개 키 클라이언트 단 그래픽 인터페이스,35,13627011,7722743,준비중,199,2024-10-05
