project_id,title,creator_id,goal_amount,current_amount,status,like_count,created_at
31,원활한 주파수 탐지 가능 LAN,46,13528475,8311338,준비중,68,2025-01-03
1,공개 키 선구적 프로젝트,26,25449907,1241642,실패,131,2025-02-19
23,융합력있는 분석중인 생산 능력,9,22321783,8691469,준비중,64,2024-09-04
32,강력한 최적화된 공개 시스템,2,45972235,5947520,진행중,138,2024-07-22
19,사용자 중심의 5세대 우연성,1,26761597,2189479,성공,147,2025-02-25
29,품질 중심의 고단계 유연성,31,40002690,5106859,준비중,194,2024-06-03
11,멀티 채널 수요 중심 어플리케이션,28,41059162,8133926,준비중,61,2024-06-28
71,유저 친화적 작동 배열,38,32953343,2325365,실패,128,2024-09-01
5,강력한 방향 접근,4,20626763,2123235,준비중,161,2024-09-17
13,설정 가능한 비동기 공구,35,6792170,564825,준비중,125,2024-06-18
50,안전한 보조 엑스트라넷,26,5300740,5627881,준비중,123,2025-05-17
34,확장된 휴대형 포탈,43,40638074,255203,성공,142,2025-01-04
68,더 커진 백그라운드 능력,41,40526211,9732479,성공,61,2024-06-13
36,확장된 문맥 기반 솔루션,9,23939270,3239859,준비중,165,2024-12-12
69,다양한 취약점 보안구역,45,38986465,5805016,실패,21,2024-06-26
46,더 작아진 방향 축적,29,20978211,146202,성공,142,2024-10-11
74,확대된 국가적 그룹웨어,15,18075513,3965437,실패,42,2025-02-09
62,업그레이드 가능한 보조 축적,23,6281563,2618744,실패,49,2024-11-04
56,리버스 엔지니어링된 컨텐츠 기반 정책,42,9520787,5356142,성공,111,2024-12-29
41,1:1 최대화 모델,46,20186481,7408013,준비중,178,2025-02-10
10,줄어든 분리형 분석,18,27800602,8628715,준비중,73,2024-11-18
65,무결점의 장거리 모니터링,31,33533526,2630080,성공,196,2024-07-13
6,멀티 레이어 24시간 우연성,41,30724617,1962055,준비중,21,2025-03-09
48,더 커진 휴대형 공구,24,11731932,563808,준비중,96,2025-04-22
35,안정적인 인간자원 패러다임,28,20839900,9340890,진행중,4,2025-01-06
63,다중 주파수 정적 접근,2,38540224,5333004,실패,178,2024-10-11
43,조절 가능한 교훈적 코어,46,661322,2499373,성공,72,2024-06-21
55,공개 키 3세대 전략,36,16957943,5475771,성공,154,2024-07-19
17,설정 가능한 헌신적 인공지능,44,6908102,4418018,준비중,52,2024-07-21
40,공개 키 클라이언트 단 그래픽 인터페이스,35,13627011,7722743,준비중,199,2024-10-05
57,효율적인 클라이언트-서버 정책,40,16605003,882814,진행중,40,2025-04-10
80,미래가 보장된 분석중인 도전,11,13276289,9605173,준비중,165,2024-12-23
8,완벽히 설정된 고단계 암호화,11,45548291,1606354,실패,130,2024-11-14
51,독보적인 그리드 가능 지원,27,45966495,5287850,진행중,12,2024-11-04
54,비즈니스 중점적 환경 친화적 어플리케이션,44,14187135,5302018,실패,182,2024-08-23
20,독보적인 분석중인 전략,44,48168670,7556509,성공,192,2024-06-24
67,멀티 채널 실시간 웹 사이트,42,27375597,1810387,진행중,85,2024-09-04
26,무결점의 합성물 환경,40,28067212,9939758,준비중,146,2025-03-05
45,안전한 지역적 아카이브,49,41901265,3139010,성공,197,2024-08-17
14,강력한 안정적 컨셉,6,22401660,3328147,실패,120,2025-03-16
77,품질 중심의 4세대 공구,42,37760892,5882150,진행중,102,2024-10-31
4,유기농 최대화 유연성,50,21762898,9349280,성공,184,2024-07-28
18,독보적인 비대칭 모델,38,18097362,1406630,진행중,170,2024-08-30
39,독보적인 휴대형 인공지능,22,42621708,5841937,실패,52,2024-12-13
9,안전한 무관리 아카이브,32,37229378,7766374,준비중,122,2025-04-17
66,원활한 스며든 프레임,41,31629364,2448219,실패,114,2024-06-15
7,비즈니스 중점적 6세대 성공,5,23199768,1660669,진행중,48,2025-04-19
37,강화된 휴리스틱 암호화,38,24141236,3113257,준비중,79,2024-10-15
73,더 작아진 컨텐츠 기반 하드웨어,33,25129543,8903259,준비중,198,2025-01-26
59,출판된 그리드 가능 엔진,47,20476325,7902302,준비중,101,2025-02-25
47,인체 공학적인 분리된 프로젝트,21,46274000,824889,진행중,194,2024-07-13
79,강화된 밀착 프레임워크,17,39475390,8731251,성공,184,2025-01-28
16,비전 있는 3세대 표준,31,46634541,305000,실패,124,2025-05-13
28,복제된 로컬 예산 관리,34,29896580,8567485,진행중,79,2025-02-28
42,디지털화된 상황에 맞는 아키텍쳐,8,13935083,6859896,준비중,35,2025-01-29
27,다양한 스며든 모델,3,3853184,4616031,진행중,146,2024-10-06
