project_id,title,creator_id,goal_amount,current_amount,status,like_count,created_at
31,원활한 주파수 탐지 가능 LAN,46,13528475,8311338,준비중,68,2025-01-03
1,공개 키 선구적 프로젝트,26,25449907,1241642,실패,131,2025-02-19
23,융합력있는 분석중인 생산 능력,9,22321783,8691469,준비중,64,2024-09-04
32,강력한 최적화된 공개 시스템,2,45972235,5947520,진행중,138,2024-07-22
19,사용자 중심의 5세대 우연성,1,26761597,2189479,성공,147,2025-02-25
29,품질 중심의 고단계 유연성,31,40002690,5106859,준비중,194,2024-06-03
11,멀티 채널 수요 중심 어플리케이션,28,41059162,8133926,준비중,61,2024-06-28
71,유저 친화적 작동 배열,38,32953343,2325365,실패,128,2024-09-01
5,강력한 방향 접근,4,20626763,2123235,준비중,161,2024-09-17
13,설정 가능한 비동기 공구,35,6792170,564825,준비중,125,2024-06-18
50,안전한 보조 엑스트라넷,26,5300740,5627881,준비중,123,2025-05-17
34,확장된 휴대형 포탈,43,40638074,255203,성공,142,2025-01-04
68,더 커진 백그라운드 능력,41,40526211,9732479,성공,61,2024-06-13
36,확장된 문맥 기반 솔루션,9,23939270,3239859,준비중,165,2024-12-12
69,다양한 취약점 보안구역,45,38986465,5805016,실패,21,2024-06-26
46,더 작아진 방향 축적,29,20978211,146202,성공,142,2024-10-11
74,확대된 국가적 그룹웨어,15,18075513,3965437,실패,42,2025-02-09
62,업그레이드 가능한 보조 축적,23,6281563,2618744,실패,49,2024-11-04
56,리버스 엔지니어링된 컨텐츠 기반 정책,42,9520787,5356142,성공,111,2024-12-29
41,1:1 최대화 모델,46,20186481,7408013,준비중,178,2025-02-10
10,줄어든 분리형 분석,18,27800602,8628715,준비중,73,2024-11-18
65,무결점의 장거리 모니터링,31,33533526,2630080,성공,196,2024-07-13
6,멀티 레이어 24시간 우연성,41,30724617,1962055,준비중,21,2025-03-09
48,더 커진 휴대형 공구,24,11731932,563808,준비중,96,2025-04-22
35,안정적인 인간자원 패러다임,28,20839900,9340890,진행중,4,2025-01-06
63,다중 주파수 정적 접근,2,38540224,5333004,실패,178,2024-10-11
43,조절 가능한 교훈적 코어,46,661322,2499373,성공,72,2024-06-21
55,공개 키 3세대 전략,36,16957943,5475771,성공,154,2024-07-19
17,설정 가능한 헌신적 인공지능,44,6908102,4418018,준비중,52,2024-07-21
40,공개 키 클라이언트 단 그래픽 인터페이스,35,13627011,7722743,준비중,199,2024-10-05
57,효율적인 클라이언트-서버 정책,40,16605003,882814,진행중,40,2025-04-10
80,미래가 보장된 분석중인 도전,11,13276289,9605173,준비중,165,2024-12-23
