setting_id,user_id,risk_level,notification_enabled
1,1,공격형,True
2,2,공격형,True
3,3,안정형,False
4,4,중립형,True
5,5,공격형,True
6,6,안정형,False
7,7,공격형,False
8,8,안정형,False
9,9,중립형,False
10,10,안정형,True
11,11,중립형,False
12,12,안정형,False
13,13,안정형,False
14,14,공격형,False
15,15,중립형,False
16,16,공격형,False
17,17,공격형,True
18,18,안정형,True
19,19,중립형,False
20,20,공격형,False
21,21,공격형,False
22,22,안정형,False
23,23,공격형,True
24,24,공격형,False
25,25,안정형,True
26,26,공격형,False
27,27,안정형,True
28,28,공격형,False
29,29,안정형,True
30,30,안정형,False
31,31,안정형,False
32,32,중립형,True
33,33,중립형,False
34,34,중립형,True
35,35,중립형,True
36,36,공격형,True
37,37,중립형,False
38,38,공격형,False
39,39,중립형,False
40,40,중립형,False
41,41,안정형,True
42,42,중립형,False
43,43,공격형,True
44,44,공격형,False
45,45,중립형,False
46,46,중립형,True
47,47,공격형,False
48,48,중립형,False
49,49,안정형,False
50,50,안정형,False
51,51,중립형,True
52,52,중립형,False
53,53,공격형,False
54,54,중립형,False
55,55,안정형,False
56,56,중립형,False
57,57,중립형,True
58,58,안정형,True
59,59,안정형,False
60,60,공격형,False
61,61,공격형,False
62,62,중립형,True
63,63,공격형,False
64,64,중립형,True
65,65,중립형,False
66,66,안정형,True
67,67,안정형,False
68,68,공격형,True
69,69,중립형,True
70,70,공격형,False
71,71,중립형,True
72,72,안정형,False
73,73,안정형,True
74,74,공격형,True
75,75,안정형,True
76,76,중립형,True
77,77,공격형,False
78,78,중립형,False
79,79,안정형,True
80,80,중립형,False
81,81,안정형,True
82,82,공격형,False
83,83,중립형,True
84,84,안정형,True
85,85,공격형,True
86,86,중립형,True
87,87,공격형,True
88,88,중립형,False
89,89,중립형,False
90,90,안정형,True
91,91,중립형,True
92,92,안정형,False
93,93,공격형,False
94,94,중립형,False
95,95,중립형,True
96,96,중립형,False
97,97,중립형,False
98,98,안정형,True
99,99,안정형,True
100,100,공격형,False
