market_id,market_name,location,market_type,operating_days,region,established_year,market_size,contact_phone,certification
3,수원시 축산시장,울산광역시 강서구 도산대43가 100-48 (재현곽김읍),직거래장,평일만,전북,2013,소형,019-898-6087,True
44,이천시 축산시장,부산광역시 동구 논현로 228,소매시장,평일만,충북,1980,대형,052-859-0205,True
36,청양군 축산시장,광주광역시 강동구 언주441거리 833 (혜진이읍),직거래장,매일,경기,2002,소형,032-016-2205,True
24,공주시 축산시장,세종특별자치시 광진구 압구정가 104 (종수김읍),소매시장,주3회,전북,1993,중형,032-881-1627,True
41,파주시 축산시장,경상북도 양평군 석촌호수거리 271-16 (수진김나마을),소매시장,매일,경기,1975,소형,064-755-1563,True
11,계룡시 축산시장,대구광역시 동작구 백제고분가 634-6 (영일우읍),도매시장,매일,충북,1955,대형,063-557-4176,True
23,수원시 장안구 축산시장,대전광역시 중랑구 백제고분로 733-5 (영환황동),도매시장,주말만,전남,1980,중형,061-050-8816,True
19,고양시 축산시장,강원도 평창군 역삼거리 455-56,직거래장,주말만,제주,1973,대형,044-643-8681,True
50,수원시 팔달구 축산시장,경상북도 안산시 상록구 석촌호수거리 3,소매시장,주말만,전남,1976,대형,051-064-6478,True
21,수원시 영통구 축산시장,울산광역시 마포구 반포대길 172,소매시장,매일,충남,2009,중형,031-284-6699,True
8,제천시 축산시장,제주특별자치도 부천시 오정구 영동대1거리 150-69 (정숙고읍),소매시장,주3회,서울,1992,소형,055-581-3669,True
43,태백시 축산시장,대구광역시 금천구 학동가 239,도매시장,매일,제주,2012,대형,033-659-1813,True
15,태안군 축산시장,대구광역시 영등포구 역삼길 329 (성진박황리),도매시장,주3회,전남,1960,대형,019-263-3571,True
29,수원시 영통구 축산시장,대구광역시 성동구 오금로 534,소매시장,매일,경북,1972,대형,010-2854-0664,True
39,과천시 축산시장,서울특별시 광진구 논현526길 139,직거래장,주말만,경북,1989,대형,054-015-4222,False
