market_id,market_name,established_year,market_size,contact_phone,certification
1,고성군 축산시장,1985,소형,017-491-7689,False
2,성남시 분당구 축산시장,2007,소형,019-018-0767,True
3,수원시 축산시장,2013,소형,019-898-6087,True
4,천안시 서북구 축산시장,1991,중형,044-777-2917,False
5,가평군 축산시장,1973,대형,061-204-2782,True
6,안양시 축산시장,1996,중형,033-711-1117,True
7,용인시 기흥구 축산시장,1999,중형,043-180-6722,True
8,제천시 축산시장,1992,소형,055-581-3669,True
9,보은군 축산시장,1971,대형,018-241-5916,False
10,의정부시 축산시장,2015,소형,041-787-7929,False
11,계룡시 축산시장,1955,대형,063-557-4176,True
12,용인시 기흥구 축산시장,2010,중형,042-918-5400,True
13,정선군 축산시장,1977,대형,070-8453-9700,True
14,보령시 축산시장,1981,대형,019-198-3688,True
15,태안군 축산시장,1960,대형,019-263-3571,True
16,청주시 서원구 축산시장,1983,대형,051-367-9311,True
17,용인시 기흥구 축산시장,2014,대형,017-297-2036,True
18,안성시 축산시장,2000,소형,044-801-6687,False
19,고양시 축산시장,1973,대형,044-643-8681,True
20,군포시 축산시장,1960,소형,055-107-8956,True
21,수원시 영통구 축산시장,2009,중형,031-284-6699,True
22,여주시 축산시장,1980,중형,042-648-1149,False
23,수원시 장안구 축산시장,1980,중형,061-050-8816,True
24,공주시 축산시장,1993,중형,032-881-1627,True
25,아산시 축산시장,2006,대형,061-550-5222,True
26,단양군 축산시장,2000,중형,064-774-5530,True
27,수원시 축산시장,1976,대형,062-383-2925,True
28,수원시 장안구 축산시장,1983,중형,019-419-6904,True
29,수원시 영통구 축산시장,1972,대형,010-2854-0664,True
30,괴산군 축산시장,2003,대형,062-253-4271,True
31,수원시 장안구 축산시장,2005,대형,053-044-5773,False
32,부천시 소사구 축산시장,2013,중형,051-112-8994,False
33,구리시 축산시장,1956,대형,031-962-2617,False
34,철원군 축산시장,1975,대형,017-609-3646,True
35,시흥시 축산시장,1976,대형,062-633-7326,True
36,청양군 축산시장,2002,소형,032-016-2205,True
37,금산군 축산시장,1980,중형,019-858-2091,False
38,평창군 축산시장,1951,대형,011-386-5259,True
39,과천시 축산시장,1989,대형,054-015-4222,False
40,안양시 만안구 축산시장,1964,소형,070-5530-6771,True
41,파주시 축산시장,1975,소형,064-755-1563,True
42,용인시 기흥구 축산시장,1999,대형,051-089-7571,True
43,태백시 축산시장,2012,대형,033-659-1813,True
44,이천시 축산시장,1980,대형,052-859-0205,True
45,삼척시 축산시장,2006,중형,016-030-2903,False
46,괴산군 축산시장,1964,대형,019-345-7341,True
47,고양시 축산시장,1950,대형,053-346-0631,True
48,괴산군 축산시장,1955,중형,064-764-2358,True
49,수원시 영통구 축산시장,1966,중형,055-293-2599,True
50,수원시 팔달구 축산시장,1976,대형,051-064-6478,True
