analytics_id,livestock_mkt,avg_transaction_size,customer_satisfaction,market_share,growth_rate,last_updated
1,1,1125,4,0.133,-0.065,2025-05-03 18:55:06.339982
2,2,1299,3,0.011,0.175,2025-05-29 12:01:51.656715
3,3,6367,2,0.09,-0.011,2025-05-13 11:43:16.381623
4,4,2293,3,0.025,0.084,2025-05-11 03:53:13.153439
5,5,3999,2,0.148,-0.034,2025-05-24 07:33:47.206427
6,6,5772,5,0.05,-0.06,2025-05-17 14:15:15.310544
7,7,1514,5,0.148,-0.054,2025-05-04 22:47:06.781310
8,8,3299,2,0.086,0.124,2025-05-20 18:40:15.390815
9,9,3648,4,0.079,0.082,2025-05-18 08:45:14.731910
10,10,5229,3,0.141,0.025,2025-05-11 01:17:03.848355
11,11,5100,4,0.129,0.065,2025-05-21 21:30:21.869640
12,12,2350,5,0.076,0.041,2025-05-11 02:58:14.193666
13,13,6791,2,0.037,0.061,2025-05-10 13:54:28.871608
14,14,5001,2,0.026,0.099,2025-05-23 13:04:33.245028
15,15,8326,1,0.033,-0.034,2025-05-05 14:02:31.176625
16,16,8086,1,0.074,-0.026,2025-05-21 12:52:55.151650
17,17,8744,2,0.046,0.126,2025-05-19 11:50:05.652889
18,18,6530,5,0.036,0.162,2025-05-16 14:27:40.286086
19,19,6248,5,0.113,-0.075,2025-05-08 05:55:45.098230
20,20,9058,3,0.121,0.034,2025-05-19 17:47:57.717216
21,21,5644,4,0.089,0.111,2025-05-26 13:17:45.426144
22,22,3432,3,0.116,-0.077,2025-05-19 07:39:31.222857
23,23,3137,3,0.035,0.069,2025-05-18 15:36:53.599574
24,24,6175,2,0.13,-0.081,2025-05-16 12:50:23.289425
25,25,8661,2,0.136,0.064,2025-05-15 17:42:45.655221
26,26,4459,3,0.126,0.052,2025-05-18 17:27:53.634244
27,27,8530,4,0.082,0.072,2025-05-05 10:34:12.145148
28,28,2501,4,0.022,-0.055,2025-05-28 19:07:08.645991
29,29,3111,4,0.104,-0.002,2025-05-05 07:29:03.571070
30,30,5891,1,0.036,0.056,2025-05-08 14:36:15.464989
31,31,7028,5,0.03,-0.065,2025-05-11 22:42:11.457782
32,32,2414,4,0.055,-0.038,2025-05-28 01:29:03.099091
33,33,6075,5,0.045,0.075,2025-05-08 23:46:51.945107
34,34,5583,2,0.047,-0.073,2025-05-03 00:24:05.774275
35,35,8279,3,0.043,0.053,2025-05-14 20:47:00.401545
36,36,4495,3,0.116,0.143,2025-06-02 01:48:12.671452
37,37,7458,2,0.144,0.036,2025-05-14 20:07:34.437311
38,38,6924,2,0.052,0.054,2025-06-01 10:57:17.906217
39,39,7867,1,0.111,0.037,2025-05-14 15:25:50.001548
40,40,9924,3,0.012,-0.083,2025-05-10 16:17:02.674170
41,41,2837,4,0.102,0.039,2025-05-24 08:16:54.507569
42,42,7406,3,0.107,0.142,2025-05-26 14:16:29.379917
43,43,3905,1,0.019,0.117,2025-05-14 05:56:46.496234
44,44,8677,5,0.027,0.019,2025-05-06 17:28:04.890678
45,45,9289,1,0.053,0.145,2025-06-01 06:02:58.306155
46,46,4142,1,0.067,0.124,2025-05-20 21:06:37.172642
47,47,2729,2,0.08,0.073,2025-05-21 01:03:54.209996
48,48,1604,3,0.135,-0.086,2025-05-10 03:29:55.707950
49,49,7502,3,0.108,0.003,2025-05-19 18:28:12.331712
50,50,7322,5,0.054,-0.081,2025-05-18 06:05:37.221864
