setting_id,author_id,author_year,note_format,privacy_default,mood_tracking,weather_tracking,reminder_time,backup_enabled,theme_color,font_size,auto_save,updated_at
1,1,1999,백지 형식,공개,True,True,02:54:53,0,보라색,보통,예,2025-05-28 15:19:31.787378
2,2,1993,격자 형식,비공개,True,True,19:57:41,1,파란색,보통,예,2025-05-21 01:43:58.641064
3,3,1981,백지 형식,공개,True,True,20:52:15,1,파란색,작게,예,2025-05-07 07:21:04.809781
4,4,1996,줄글 형식,친구만,True,True,04:01:31,1,초록색,작게,예,2025-05-20 10:59:16.954260
5,5,2003,백지 형식,공개,True,False,05:20:21,0,핑크색,작게,예,2025-05-19 15:51:35.169543
6,6,1985,격자 형식,친구만,True,False,07:58:09,1,보라색,크게,예,2025-06-02 04:31:41.502916
7,7,1994,백지 형식,친구만,True,True,16:31:37,1,파란색,크게,예,2025-05-29 15:32:39.778431
8,8,1985,백지 형식,친구만,True,True,12:39:21,1,초록색,보통,예,2025-05-19 17:26:25.872702
9,9,1996,격자 형식,친구만,False,False,13:59:24,1,검은색,작게,예,2025-05-11 22:47:53.587610
10,10,2001,백지 형식,비공개,True,False,07:03:22,1,보라색,크게,예,2025-05-25 12:45:26.466558
11,11,1993,격자 형식,공개,True,True,15:35:39,1,핑크색,작게,예,2025-05-09 16:01:57.911285
12,12,2005,백지 형식,친구만,True,True,22:10:33,0,검은색,크게,예,2025-05-06 16:13:46.123773
13,13,1990,격자 형식,친구만,True,False,00:07:43,1,보라색,크게,예,2025-05-31 20:56:49.596233
14,14,1985,백지 형식,공개,True,False,12:37:49,1,검은색,작게,예,2025-05-26 23:21:07.054845
15,15,1997,줄글 형식,비공개,False,True,09:16:49,1,파란색,크게,예,2025-05-22 14:02:42.170760
16,16,1992,백지 형식,친구만,True,True,12:25:29,1,파란색,보통,예,2025-05-12 18:50:29.806667
17,17,1981,줄글 형식,공개,False,False,13:53:44,1,파란색,작게,예,2025-05-25 23:08:52.307332
18,18,1985,격자 형식,비공개,True,True,01:31:54,1,검은색,크게,예,2025-05-13 10:14:50.439899
19,19,1997,줄글 형식,친구만,True,True,11:37:42,1,핑크색,보통,예,2025-05-26 01:09:28.817069
20,20,1999,백지 형식,비공개,True,False,18:11:50,1,파란색,크게,예,2025-05-25 21:31:09.254627
21,21,1984,줄글 형식,비공개,False,True,00:31:01,1,보라색,작게,예,2025-05-25 15:36:14.881035
