setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,notification_tournament,privacy_level,timer_preference
204,204,중국어,True,True,True,보통,4,False,True,친구만,170
267,267,일본어,False,False,True,보통,11,False,True,친구만,60
153,153,중국어,True,True,True,빠름,6,False,True,공개,38
10,10,한국어,True,False,False,빠름,6,True,True,공개,148
234,234,중국어,True,True,True,보통,4,True,True,비공개,171
227,227,일본어,False,True,False,보통,7,True,True,공개,128
197,197,중국어,True,False,False,느림,17,True,True,비공개,47
110,110,영어,False,True,True,보통,3,False,True,공개,123
6,6,영어,True,False,False,빠름,5,True,True,비공개,46
176,176,중국어,True,True,False,보통,14,True,True,친구만,31
238,238,일본어,True,False,False,빠름,3,True,True,친구만,140
58,58,영어,False,False,True,느림,9,True,True,공개,169
219,219,한국어,True,True,True,느림,11,True,True,공개,53
46,46,일본어,True,False,False,느림,9,True,True,친구만,51
183,183,일본어,True,True,False,느림,11,True,False,비공개,35
222,222,영어,False,True,False,보통,11,True,True,공개,103
290,290,한국어,True,True,True,빠름,19,True,True,친구만,108
212,212,한국어,True,True,False,보통,17,True,True,공개,91
149,149,중국어,True,False,False,느림,10,True,True,친구만,128
166,166,한국어,True,False,True,빠름,7,True,True,친구만,107
79,79,영어,True,True,False,빠름,10,True,False,공개,47
114,114,중국어,True,False,False,느림,9,True,True,공개,47
250,250,한국어,True,False,False,느림,2,True,True,공개,146
251,251,한국어,True,False,True,보통,2,True,True,비공개,169
105,105,중국어,True,False,False,느림,5,True,True,비공개,175
43,43,한국어,True,True,False,느림,5,True,True,친구만,53
282,282,영어,True,True,False,빠름,20,False,True,공개,158
296,296,영어,True,False,False,빠름,14,True,True,공개,55
158,158,한국어,True,True,False,보통,12,True,False,공개,113
239,239,중국어,False,True,False,보통,20,True,True,공개,174
18,18,한국어,True,True,False,빠름,2,False,True,공개,140
165,165,영어,True,True,True,느림,11,True,True,비공개,38
34,34,일본어,True,True,False,빠름,17,True,True,친구만,39
25,25,한국어,False,True,False,빠름,12,True,True,공개,104
216,216,한국어,True,False,False,보통,14,False,True,친구만,172
120,120,영어,False,False,False,보통,10,False,True,비공개,46
8,8,일본어,False,True,True,느림,6,True,True,친구만,135
91,91,영어,True,True,False,느림,1,True,False,공개,159
47,47,영어,False,True,True,빠름,10,True,True,비공개,171
74,74,일본어,False,True,True,느림,20,True,True,친구만,173
94,94,영어,True,True,False,빠름,2,True,True,공개,166
77,77,중국어,True,False,True,보통,12,True,True,친구만,175
287,287,중국어,True,False,True,느림,5,False,True,친구만,96
61,61,일본어,True,True,False,느림,20,False,False,공개,171
78,78,영어,False,True,False,빠름,10,False,True,친구만,112
64,64,중국어,True,False,False,보통,10,False,True,비공개,76
235,235,영어,False,True,True,빠름,16,False,True,친구만,142
230,230,영어,True,True,False,보통,15,True,True,공개,111
112,112,영어,True,True,False,빠름,4,True,True,비공개,38
232,232,중국어,True,True,False,느림,6,True,True,친구만,34
181,181,한국어,True,False,True,빠름,12,True,True,친구만,110
