result_id,takers_id,validity_check,test_type,test_date,completion_time,total_score,personality_type,extraversion_score
1,1,False,Big5,2024-07-29,118,115,INTJ,9
2,2,True,Big5,2024-10-08,114,96,ENTP,2
3,3,True,Big5,2024-06-26,43,84,None,10
4,4,True,CPI,2024-10-29,34,105,None,5
5,5,True,Big5,2024-06-22,66,83,ENTJ,4
6,6,True,MMPI,2024-09-19,115,136,None,8
7,7,True,Big5,2025-04-20,77,145,ENFP,2
8,8,True,Big5,2024-12-27,18,124,ENFP,1
9,9,True,Big5,2024-08-16,55,62,INTJ,5
10,10,True,Big5,2024-08-04,113,102,INTJ,4
11,11,True,MBTI,2024-09-04,37,117,ISFP,9
12,12,False,MBTI,2024-11-07,49,102,ENTP,6
13,13,True,CPI,2024-10-10,98,130,ISFP,3
14,14,True,Big5,2024-12-25,67,89,ISFP,1
15,15,True,MBTI,2025-05-09,98,114,ENTP,8
16,16,True,MMPI,2024-08-05,72,134,ENTP,8
17,17,True,NEO-PI-R,2024-11-24,43,68,None,6
18,18,True,NEO-PI-R,2025-05-11,93,117,INTJ,4
19,19,True,CPI,2024-06-28,97,105,ISFP,1
20,20,True,CPI,2024-07-24,54,128,ENFP,5
21,21,True,MBTI,2025-01-25,92,149,ISFP,1
22,22,True,CPI,2025-05-13,27,70,INFP,1
23,23,True,Big5,2024-10-15,91,116,None,8
24,24,True,CPI,2025-05-13,50,104,ENFP,2
25,25,True,NEO-PI-R,2024-10-18,51,81,None,1
26,26,True,CPI,2025-05-21,62,137,None,2
27,27,True,CPI,2024-11-25,96,73,ISFJ,1
28,28,True,CPI,2024-12-05,109,135,ENFP,1
29,29,True,Big5,2025-04-07,31,132,INTJ,9
30,30,True,Big5,2024-07-27,96,117,ISFP,4
31,31,True,NEO-PI-R,2025-02-11,38,142,INFP,10
32,32,True,NEO-PI-R,2025-05-21,34,120,ENTP,4
33,33,True,NEO-PI-R,2024-11-17,31,149,INFP,2
34,34,True,Big5,2025-01-26,42,73,None,3
35,35,True,NEO-PI-R,2024-10-09,106,115,ISFP,3
36,36,True,MBTI,2025-02-27,80,109,ISFP,5
37,37,True,MMPI,2025-01-30,31,52,None,10
38,38,True,MBTI,2024-10-28,28,80,ISFP,2
39,39,True,Big5,2025-01-09,112,59,ISFJ,7
40,40,True,Big5,2025-01-09,65,129,INFP,10
41,41,True,MMPI,2025-02-13,63,54,ISFJ,8
42,42,True,CPI,2024-11-22,102,138,INFP,9
43,43,True,Big5,2025-02-03,50,82,INTJ,1
44,44,True,CPI,2024-07-23,93,55,None,9
45,45,True,CPI,2024-06-17,58,77,ENTJ,5
46,46,True,Big5,2024-10-06,84,79,None,2
47,47,True,MMPI,2025-05-31,110,126,ISFJ,7
48,48,True,CPI,2024-07-10,73,77,INTJ,3
49,49,True,CPI,2024-07-10,67,69,None,5
50,50,True,Big5,2025-02-03,96,62,ISFP,10
51,51,True,MBTI,2025-05-06,20,54,ENTP,1
52,52,True,MMPI,2024-06-23,82,137,ENTP,1
53,53,True,MMPI,2025-03-17,61,70,ENFP,3
54,54,True,NEO-PI-R,2024-09-17,36,95,INFP,7
55,55,True,Big5,2024-06-25,42,141,ENTJ,9
56,56,True,MBTI,2025-01-16,17,58,ENTP,7
57,57,True,CPI,2024-07-21,64,51,None,10
58,58,True,MBTI,2025-03-14,89,91,INFP,10
