result_id,takers_id,validity_check,neuroticism_score,openness_score,agreeableness_score,conscientiousness_score,stress_level,recommendation,report_generated
1,1,False,8,6,3,5,매우높음,"Sapiente ipsam corporis id itaque.
Eum excepturi expedita modi. Ex animi nesciunt id eligendi consequatur repudiandae repudiandae.
Recusandae accusamus repellendus ipsam dignissimos. Iure aspernatur omnis voluptate. Sit sequi dolore modi aut doloremque.",True
2,2,True,6,1,9,5,높음,"Minus debitis eum beatae ea vitae occaecati magnam. Blanditiis iste quasi praesentium illo totam illum.
Recusandae minus iste laboriosam. Nobis rem corrupti et unde cupiditate.",True
3,3,True,1,6,3,10,높음,Odio quasi neque quae fuga ut molestias ea. Excepturi pariatur porro reprehenderit quo sunt. Quae animi iure omnis. Magnam ea sint deleniti natus repellat fuga voluptate.,False
4,4,True,7,9,9,9,낮음,"Debitis ducimus cupiditate qui recusandae debitis. Dolorum fuga dolorum est.
Voluptates aspernatur perferendis nulla. Blanditiis architecto aspernatur necessitatibus error.
Consequuntur velit nulla voluptates tempora odio.",True
5,5,True,10,10,2,1,낮음,"Vitae voluptates impedit sint illo numquam. Quo eaque quasi numquam eaque totam adipisci libero.
Aspernatur magnam soluta odit. Voluptas quibusdam dolor reprehenderit possimus. Possimus non perspiciatis explicabo pariatur dicta occaecati laborum. Placeat ex reiciendis officia nisi.",True
6,6,True,6,5,8,6,높음,"Ipsa esse voluptatem harum aspernatur expedita. Corporis rerum ab laboriosam at ducimus odit. Et praesentium veniam et excepturi vel laudantium.
Delectus qui cupiditate quos voluptas optio omnis doloribus. Modi incidunt aut vel.",True
7,7,True,1,1,10,5,보통,"Optio in perferendis ex. Modi reiciendis hic eos laboriosam.
Repellat ab adipisci perspiciatis minima blanditiis. Excepturi quod amet asperiores totam consectetur.
Iste facere sapiente fuga ea nemo. Assumenda eum expedita corrupti et debitis voluptatum. Distinctio voluptatum asperiores labore.",True
8,8,True,9,9,3,1,낮음,"Maxime distinctio eum minus labore nihil exercitationem. Hic in laborum ipsum adipisci unde sunt.
Perferendis tenetur expedita fuga sapiente. Vitae vitae minus fuga id laudantium.
Voluptatum quod incidunt cumque blanditiis laborum. A neque repellendus. Voluptatem debitis commodi vel.",True
9,9,True,10,8,7,4,보통,"Corporis adipisci libero similique. Tempore aspernatur ad reprehenderit minima animi.
Voluptatibus possimus non alias autem. Provident nobis delectus sunt quis minima. Consequuntur aliquam laborum pariatur qui voluptatem alias.",True
10,10,True,6,10,7,6,보통,"Odio quidem qui vel impedit unde. Adipisci repellat sequi dicta.
Quisquam reprehenderit ab autem sit nobis quasi modi. Dicta dicta blanditiis qui corrupti.
Autem repellendus ex nisi hic nesciunt. Repudiandae excepturi dolores voluptate facere rerum.
Soluta iusto dolorum natus culpa nam.",True
11,11,True,2,4,3,5,낮음,"Odit nostrum eveniet ad eaque asperiores tempora inventore. Qui expedita adipisci aut nesciunt eum. Praesentium rerum adipisci repellendus aperiam dolores deserunt.
Voluptate vero placeat. Suscipit soluta quaerat commodi unde perferendis.",True
12,12,False,10,4,3,6,높음,"Et odio ea quis laudantium. Illum possimus blanditiis minima magnam adipisci iste. Temporibus veritatis voluptatum temporibus dolores aliquid.
Voluptatem nulla autem aliquam numquam facilis. A veritatis quia corporis laudantium occaecati ab. Provident dicta voluptate neque numquam mollitia.",True
13,13,True,4,2,10,6,보통,"Sunt quos tenetur iste repellendus beatae. Quasi totam consequatur minima corrupti. Consequatur nesciunt aperiam natus praesentium. Esse aspernatur doloremque a dolore repellat.
Dolore esse quam cumque eaque quaerat quasi voluptate. Suscipit consequuntur inventore adipisci. Ad eaque nostrum illo.",True
14,14,True,7,4,1,10,낮음,"Delectus aperiam pariatur dolor. Doloremque nisi incidunt minus eius quibusdam aperiam alias. Commodi magni facere quae asperiores dignissimos expedita.
Impedit quae perferendis adipisci ipsam quidem. Dolorem maxime vitae fugit officia blanditiis. Eaque corporis alias.",True
15,15,True,10,3,8,2,낮음,"Fuga dignissimos accusantium dolorem quibusdam. Occaecati unde inventore fuga esse vitae accusantium maiores.
Itaque consequatur nihil inventore velit. Quia esse eaque modi mollitia facilis est. Doloribus itaque sed voluptatem deleniti magni cumque officiis.",True
16,16,True,10,2,10,10,높음,"Saepe voluptatibus minima sed sequi. Non doloremque dicta provident itaque a sequi. Esse voluptas ipsam explicabo nobis.
Debitis ab consectetur accusantium explicabo molestias. Nulla tempora quibusdam quidem voluptatum. Commodi est totam blanditiis facilis.",True
17,17,True,5,2,6,8,매우높음,"Odit aliquam voluptatibus quos. Voluptates omnis quod ab ipsa iste. Amet in ut sapiente.
Itaque pariatur totam eligendi soluta reiciendis. Quam recusandae aperiam perferendis accusamus. Id eveniet aperiam ad.
Nemo consequatur velit modi. Temporibus ex eos quae atque quidem vitae.",True
18,18,True,8,9,6,7,높음,"Doloremque libero atque autem deserunt perspiciatis fugiat nobis. Accusantium corporis at ut architecto. Vitae ad provident explicabo facilis velit quas.
Minima magnam voluptatum magni earum. Praesentium earum distinctio optio vitae cupiditate. Cupiditate expedita fugit modi.",False
19,19,True,3,9,3,8,낮음,"Consequuntur in animi iste. Minima fuga odio doloribus inventore voluptate. Exercitationem aperiam odio saepe ad rerum. Inventore sequi beatae odio.
Ipsam doloribus iste voluptas id iste voluptatem delectus. Tempore itaque neque dolore. Ut sunt quaerat totam soluta.",True
20,20,True,2,4,10,3,낮음,"Quod dolore in ipsum. Tenetur neque atque. Quibusdam maiores autem neque minus.
Eveniet nemo perferendis minus voluptatibus. Deserunt neque ipsam quod maiores unde. Magnam iste nesciunt atque impedit.
Sapiente culpa ea ducimus sequi. Officia modi velit repellat neque.",True
21,21,True,7,2,6,4,낮음,"Neque temporibus voluptas architecto illum consectetur. Odit voluptatibus doloribus at modi fugit.
Aut est qui laboriosam veniam ullam est qui. Soluta similique facere temporibus a quasi.",True
