analytics_id,q1,total_answers,accepted_answer_id,avg_answer_length,best_answer_score,response_time_avg,tags,bookmark_count,share_count,updated_at
129,129,1,14.0,737,6,3,"['facere', 'porro', 'accusantium', 'qui', 'voluptates']",5,6,2025-03-08 22:19:59.387478
291,291,6,1.0,738,38,29,"['occaecati', 'animi']",16,19,2025-03-17 09:13:04.311932
9,9,13,83.0,293,38,56,"['repellendus', 'molestiae', 'aliquam', 'inventore', 'nisi']",37,2,2025-05-19 10:23:07.119980
71,71,6,,578,33,18,"['maxime', 'voluptatum']",16,9,2025-05-04 23:06:01.912129
265,265,10,57.0,103,16,3,"['eligendi', 'consectetur']",36,14,2025-03-14 08:58:39.048020
65,65,4,,638,7,14,"['repellendus', 'culpa', 'alias', 'nulla', 'id']",22,16,2025-05-30 05:54:15.136553
45,45,13,92.0,332,18,13,"['ea', 'omnis', 'amet', 'laudantium', 'aspernatur']",38,7,2025-03-04 16:13:42.711071
280,280,12,,633,12,26,"['inventore', 'voluptatum', 'ducimus', 'dicta', 'pariatur']",23,5,2025-05-01 04:29:53.184268
157,157,4,38.0,274,45,57,"['hic', 'quos', 'esse', 'officia']",23,15,2025-05-02 03:55:18.846639
41,41,11,43.0,475,34,65,"['dignissimos', 'necessitatibus']",33,7,2025-04-12 22:14:58.174976
124,124,7,,311,37,62,"['temporibus', 'quidem']",14,13,2025-04-06 07:15:11.547955
276,276,15,,602,23,34,"['iste', 'a']",22,14,2025-05-06 15:31:56.426284
217,217,0,94.0,421,6,17,"['consequatur', 'reiciendis', 'quod', 'ipsam', 'ipsa']",3,19,2025-05-27 22:54:45.381196
154,154,8,9.0,276,43,19,"['cum', 'voluptatibus', 'labore', 'ratione']",8,14,2025-06-01 00:54:43.989604
24,24,2,,506,50,2,"['voluptatibus', 'voluptates', 'qui']",17,18,2025-04-08 06:44:08.607197
262,262,9,14.0,638,22,7,"['sint', 'recusandae', 'ut', 'possimus', 'libero']",18,3,2025-05-30 00:06:44.996693
111,111,1,36.0,625,44,19,"['voluptatibus', 'ab', 'a']",37,8,2025-04-16 23:35:32.341146
82,82,12,13.0,408,9,3,"['unde', 'incidunt', 'voluptas']",24,4,2025-04-21 09:34:24.040602
208,208,15,35.0,720,3,11,"['quia', 'at', 'eius', 'ipsum', 'rerum']",39,15,2025-05-19 05:25:17.567075
213,213,5,,335,0,72,"['a', 'atque', 'quibusdam']",6,4,2025-04-13 10:25:49.081826
40,40,12,51.0,618,11,55,['nobis'],42,11,2025-05-10 18:33:25.248234
241,241,9,6.0,188,25,44,"['accusamus', 'quasi', 'pariatur']",31,9,2025-05-14 00:33:00.160769
292,292,12,100.0,347,35,53,"['iure', 'rerum', 'tempore', 'numquam', 'animi']",13,9,2025-05-25 17:51:24.613496
259,259,4,54.0,788,40,38,"['ipsa', 'optio', 'praesentium', 'iusto', 'eos']",22,13,2025-04-04 10:02:04.964829
200,200,14,,166,49,39,"['explicabo', 'perspiciatis']",26,14,2025-03-03 04:26:11.914082
15,15,14,28.0,312,11,42,"['dolorem', 'excepturi', 'consequatur', 'voluptatum', 'tenetur']",29,14,2025-03-13 06:16:55.688228
48,48,13,91.0,654,2,15,"['facilis', 'incidunt']",42,10,2025-05-09 11:58:43.313853
95,95,1,,695,28,65,"['ad', 'reiciendis']",4,14,2025-04-06 06:10:04.724936
264,264,7,15.0,423,16,41,"['itaque', 'fugiat']",15,5,2025-03-28 20:27:03.778353
228,228,3,,56,10,57,"['nemo', 'adipisci', 'nihil', 'nesciunt']",35,20,2025-04-07 11:01:21.379747
274,274,10,89.0,580,13,1,['quod'],4,14,2025-03-20 04:01:43.977663
202,202,11,46.0,281,17,61,"['quos', 'odio']",17,13,2025-05-08 02:09:55.531812
162,162,1,35.0,659,35,15,"['architecto', 'debitis']",11,14,2025-03-14 19:30:03.280836
44,44,14,88.0,381,7,16,['inventore'],38,6,2025-03-14 21:54:08.363772
218,218,6,,632,34,52,['veritatis'],38,4,2025-05-18 12:35:29.466182
146,146,1,,191,23,70,"['expedita', 'laboriosam', 'amet', 'officia']",4,14,2025-04-20 20:07:22.797278
191,191,1,27.0,259,27,33,['consequuntur'],19,3,2025-05-10 19:06:29.020521
221,221,14,65.0,160,37,4,['dignissimos'],40,13,2025-04-10 01:01:15.718565
252,252,1,57.0,431,4,4,"['reprehenderit', 'voluptas']",10,1,2025-05-08 09:08:16.995857
4,4,15,10.0,65,13,58,"['numquam', 'iusto', 'atque']",36,16,2025-04-17 17:28:33.183692
106,106,0,71.0,52,25,16,"['consectetur', 'dicta']",17,16,2025-04-10 07:28:08.715870
54,54,10,82.0,423,0,38,"['autem', 'corrupti', 'repudiandae', 'aperiam']",27,10,2025-04-15 16:13:48.861077
134,134,12,,221,30,7,"['soluta', 'nisi']",5,5,2025-05-11 18:56:39.727357
2,2,7,95.0,296,6,48,['id'],40,8,2025-04-29 00:57:00.810129
132,132,2,93.0,294,4,55,['dolorem'],39,0,2025-05-25 20:05:55.174720
104,104,9,78.0,466,30,50,['incidunt'],29,19,2025-05-26 21:51:34.023743
50,50,6,80.0,328,23,38,"['aut', 'optio', 'voluptate', 'alias', 'maxime']",2,7,2025-03-10 19:52:33.148100
81,81,11,52.0,590,26,57,"['illo', 'quibusdam']",4,1,2025-04-19 00:37:09.428721
206,206,8,,603,4,1,['deleniti'],50,1,2025-05-19 20:05:39.561139
35,35,7,72.0,449,8,59,"['voluptates', 'architecto', 'reprehenderit']",2,11,2025-05-05 06:55:50.190441
92,92,0,2.0,797,28,63,"['maiores', 'delectus', 'omnis', 'amet', 'distinctio']",11,7,2025-05-30 22:03:49.957402
53,53,2,,293,28,16,"['aliquid', 'eos', 'numquam']",18,16,2025-05-10 12:32:24.590413
242,242,4,,743,20,40,"['nostrum', 'esse', 'iusto']",31,12,2025-04-18 21:26:43.620350
14,14,6,,585,13,42,"['laudantium', 'iure', 'possimus']",3,7,2025-05-04 07:31:19.892227
89,89,11,,611,48,28,"['illo', 'quam', 'eaque', 'mollitia']",39,17,2025-03-18 04:48:47.440007
167,167,5,86.0,285,42,18,"['nulla', 'sapiente']",3,19,2025-06-02 04:22:55.146810
295,295,10,,68,14,17,"['laboriosam', 'molestias', 'adipisci']",17,16,2025-05-29 18:57:59.864102
135,135,10,53.0,582,25,7,['quam'],48,17,2025-05-23 09:10:59.964438
288,288,2,,588,40,28,"['omnis', 'occaecati']",2,0,2025-05-28 21:49:08.824458
244,244,0,3.0,600,6,43,['dolore'],14,1,2025-05-06 15:42:31.995098
55,55,10,,719,20,30,"['veritatis', 'at', 'accusantium', 'error', 'quis']",45,5,2025-03-29 15:34:43.184319
51,51,1,74.0,66,19,27,"['maiores', 'nostrum']",17,17,2025-03-07 19:38:01.403839
175,175,6,87.0,556,27,53,"['ipsam', 'dolores', 'quisquam', 'et']",47,5,2025-05-04 18:36:57.548043
190,190,3,,214,9,50,"['illum', 'harum', 'excepturi', 'molestias']",22,18,2025-04-30 16:10:43.785471
299,299,1,,748,26,8,"['repellendus', 'illo', 'ipsam']",15,7,2025-04-06 21:37:19.450369
188,188,4,,559,5,22,['voluptatum'],49,19,2025-04-21 14:30:42.984038
170,170,3,27.0,57,5,27,"['earum', 'doloremque']",9,17,2025-05-25 11:24:03.775091
59,59,5,36.0,233,9,63,"['possimus', 'est', 'nam', 'sequi', 'at']",44,11,2025-04-28 05:47:45.490361
49,49,5,41.0,692,26,27,"['esse', 'magni']",6,4,2025-04-27 14:05:04.854135
236,236,1,50.0,253,30,4,['ex'],14,9,2025-03-30 20:45:28.725880
253,253,11,33.0,488,4,56,['vel'],40,12,2025-05-24 15:00:42.276781
22,22,13,7.0,260,17,26,"['veniam', 'necessitatibus']",29,9,2025-04-10 14:47:47.508346
161,161,6,88.0,309,21,23,"['similique', 'deserunt', 'cupiditate', 'sunt', 'voluptatibus']",48,2,2025-04-14 12:29:50.693200
277,277,3,,80,23,48,"['rerum', 'id']",6,17,2025-05-30 08:54:18.284469
192,192,5,51.0,68,24,55,['eveniet'],37,0,2025-05-01 02:54:32.920598
258,258,15,,150,44,27,"['sapiente', 'reiciendis', 'sed']",50,11,2025-04-25 01:04:03.854489
150,150,10,48.0,301,48,51,['quia'],5,7,2025-03-19 05:41:08.074831
131,131,5,37.0,140,22,72,"['cumque', 'fugiat', 'aspernatur']",40,11,2025-05-31 07:39:54.350640
152,152,13,,659,14,55,"['quae', 'porro', 'repudiandae']",21,0,2025-05-13 04:18:07.263384
100,100,5,92.0,81,37,58,"['veniam', 'reprehenderit', 'totam']",45,8,2025-05-15 12:22:03.431986
88,88,12,95.0,356,35,18,"['iusto', 'occaecati']",43,0,2025-05-11 03:00:45.431101
215,215,4,,704,1,55,['libero'],20,7,2025-05-13 07:36:36.422351
122,122,2,,624,35,30,"['facere', 'occaecati', 'impedit', 'iure']",6,14,2025-05-02 02:52:41.511681
300,300,3,2.0,481,17,48,['quidem'],23,8,2025-05-28 06:36:52.920066
21,21,4,,484,43,21,"['maxime', 'perspiciatis']",5,15,2025-05-22 09:43:06.417762
189,189,15,29.0,590,19,62,"['beatae', 'accusamus', 'quisquam', 'provident', 'laboriosam']",44,18,2025-03-28 20:36:12.782966
72,72,15,99.0,419,47,58,"['tempora', 'ut', 'dolores', 'assumenda']",20,4,2025-05-06 07:27:46.392104
107,107,9,,341,17,35,"['distinctio', 'optio']",4,3,2025-04-23 09:34:14.967119
271,271,7,,70,25,18,"['impedit', 'quisquam', 'exercitationem']",3,8,2025-04-27 20:32:25.141675
103,103,14,,355,32,66,"['harum', 'dolorum', 'vel', 'dolor']",30,20,2025-04-18 22:01:33.208706
