question_id,title,content,created_at,difficulty,views,likes,resolve_count
1,Placeat cupiditate possimus ex.?,"Aperiam reprehenderit nemo dolores corrupti rem inventore. Est blanditiis ipsam tenetur aliquid. Magni occaecati cum.
Voluptates sit provident esse dolores assumenda suscipit. Minus porro sit totam aliquid delectus. Consequatur aspernatur iste iure dolorem tempora sit in.
Laudantium optio facere harum. Aut blanditiis tempore provident officiis pariatur unde.
Laboriosam corrupti nam. Eum tenetur neque dolores vitae.
Aliquid mollitia laborum ullam veritatis esse. Facere perferendis voluptatum.",2024-09-28 07:28:29.223279,중급,750,7,False
2,Quidem consectetur laboriosam officiis quia repellendus ipsa esse eaque maxime.?,"Error officia eligendi. Architecto corrupti fuga voluptatem sit beatae commodi necessitatibus. Officia excepturi exercitationem cumque mollitia.
Doloremque voluptas vel sunt. Modi eveniet amet minima eos.
Dolorem autem quia voluptates nulla voluptates. Rerum omnis aliquam excepturi expedita magnam. Fuga ullam at officia in.
Officia porro praesentium minus fugiat sint voluptatibus. Quidem eum temporibus debitis optio iusto nesciunt amet. Quibusdam quidem recusandae sequi labore eveniet.",2025-05-26 20:30:38.116691,초급,418,81,False
3,Iste debitis nesciunt eligendi possimus ad id in quasi.?,"Ad odio recusandae hic fugit velit. Ipsa ea doloremque distinctio. Enim quae iste repudiandae.
Soluta nulla reprehenderit assumenda. Molestias est odit soluta rerum minus. Voluptatibus hic inventore laboriosam. Voluptate culpa aspernatur maiores enim illum.
Tenetur fuga quidem laborum dolorum autem pariatur. Asperiores eligendi eius sequi iste quaerat.
Repudiandae ea aliquid quam. Voluptate optio molestias mollitia beatae quis. Repellat iusto est in assumenda.",2024-09-21 13:50:25.258511,중급,785,89,False
4,Laborum eaque voluptatibus ex voluptatem odio.?,"Delectus qui adipisci quae repellat. Quos atque esse temporibus debitis labore quibusdam. Nesciunt at illo.
Sunt odit rerum consequuntur consectetur error. Adipisci nulla voluptates alias nesciunt harum asperiores.
Dolores dolore nihil ad aut iure libero. Dolorem beatae repudiandae maxime dicta et nemo dolorum. Saepe a facilis. Porro ad error maxime consectetur fugit error.
Nihil debitis et neque. Doloribus itaque itaque iste.
Reiciendis ipsa veniam nostrum ipsum hic.",2025-03-16 11:30:37.192732,중급,686,57,True
5,Accusantium nobis ut corrupti soluta perspiciatis iusto maiores.?,"Vero blanditiis officia magni vitae numquam nihil. Nisi quae at cupiditate quae beatae soluta. Recusandae incidunt magni nesciunt eaque maxime accusantium. Natus debitis deserunt expedita quod distinctio tempora.
Deleniti sequi ipsum fugiat dignissimos impedit quibusdam. Ducimus enim earum enim.
Ducimus quasi reiciendis magnam sint distinctio.",2024-09-15 00:41:30.803039,중급,88,1,False
6,Nesciunt possimus est ab eveniet libero officia.?,"Impedit eum officiis.
Et laboriosam ea veritatis provident. Alias sint quasi eveniet. Consectetur aperiam voluptatem culpa velit.
Ex molestias ducimus sit commodi unde quidem. Maxime sunt molestiae reiciendis deleniti cupiditate quas eos. Ipsum consequuntur fuga occaecati est quis ex.
Voluptates nihil iure harum. Excepturi id rerum sed laborum recusandae sapiente.
Consequatur esse voluptates ratione. Atque perspiciatis aspernatur exercitationem.",2025-04-27 19:22:45.850423,중급,242,20,True
7,Corrupti laboriosam enim illum autem possimus ducimus dolores vero accusamus.?,"Sed ipsum ut molestiae suscipit optio nihil est. Aspernatur enim est voluptas voluptatem. Distinctio quasi pariatur vero consequatur.
Eaque officia corporis vitae veniam molestias provident sequi. Recusandae dolore inventore.
Rerum amet repudiandae perspiciatis cum aut. Voluptas excepturi eveniet accusantium tenetur quibusdam. Atque doloribus facere iure minus. Qui quasi eligendi quisquam.
Deleniti earum suscipit dolore laudantium sit. Dolor voluptas dolore veniam voluptas nostrum esse eius.",2025-03-13 10:48:42.334572,고급,329,82,True
8,Odit dolor iure quas eveniet occaecati incidunt voluptate vel odio.?,"Hic veritatis alias commodi. Veniam neque tempore quae minus. Libero fuga nulla praesentium facilis fugit dolorum.
Rerum quibusdam vel sint blanditiis. Qui dolorem exercitationem optio vitae iure itaque.
Quo minima tempora id harum quaerat tempora. Id deleniti nihil perferendis quae ut reprehenderit adipisci. Consectetur porro dolores ipsam exercitationem error.
Nostrum consequuntur amet perspiciatis. Quia harum illum delectus temporibus labore ad. Natus at incidunt beatae ad.",2024-07-03 08:01:36.075352,고급,788,87,True
9,Molestias optio illum dolores unde.?,"Eaque nostrum optio totam. A veniam at assumenda eligendi doloribus maiores.
Ut error molestiae placeat. Reprehenderit provident quasi delectus. Veritatis rerum pariatur nemo nulla iusto.
Perspiciatis eum ratione praesentium aspernatur. Enim ea repellendus non eveniet nostrum. Laudantium aut eligendi.
Voluptates excepturi fugit necessitatibus porro nisi repudiandae recusandae. Numquam officiis saepe soluta rem ullam.",2025-02-11 07:21:16.992001,초급,13,16,True
10,Iusto doloribus iste odio modi nam dolorum quis adipisci.?,"Eum voluptate molestias doloribus. Fugit possimus provident libero quisquam blanditiis iste alias.
Vero ipsum totam atque. Repellat tempore esse error perspiciatis quae nulla.
Eos laborum dicta rem. Ad amet omnis libero at voluptatibus provident.
Molestias provident repudiandae laboriosam fuga consequatur earum. Itaque eum sequi doloremque.
Illum molestiae qui ducimus. Et reiciendis hic vel atque doloremque inventore. Repudiandae esse consectetur.",2024-07-21 18:12:31.889853,초급,202,41,True
