profile_id,counselor,rating,available_languages,max_concurrent_chats,certification,profile_image,updated_at
1,1,5,한국어,7,일반,https://counselor.example.com/profile_1.jpg,2025-05-31 14:15:28.049700
2,2,2,한국어,7,심리상담사 2급,https://counselor.example.com/profile_2.jpg,2025-05-03 09:28:25.262149
3,3,1,한국어,6,심리상담사 2급,https://counselor.example.com/profile_3.jpg,2025-05-07 20:03:29.057115
4,4,3,중국어,3,심리상담사 1급,https://counselor.example.com/profile_4.jpg,2025-05-03 07:08:46.412127
5,5,2,영어,7,일반,https://counselor.example.com/profile_5.jpg,2025-05-19 15:05:52.344593
6,6,2,한국어,8,일반,https://counselor.example.com/profile_6.jpg,2025-05-12 14:57:13.726273
7,7,1,중국어,3,심리상담사 2급,https://counselor.example.com/profile_7.jpg,2025-05-23 04:55:07.163716
8,8,1,중국어,4,심리상담사 1급,https://counselor.example.com/profile_8.jpg,2025-05-17 06:20:20.706177
9,9,4,일본어,5,심리상담사 1급,https://counselor.example.com/profile_9.jpg,2025-05-12 20:57:16.234791
10,10,2,중국어,7,심리상담사 1급,https://counselor.example.com/profile_10.jpg,2025-05-13 16:39:51.377477
11,11,5,한국어,4,상담심리학 석사,https://counselor.example.com/profile_11.jpg,2025-05-03 23:23:22.593905
12,12,2,일본어,7,심리상담사 2급,https://counselor.example.com/profile_12.jpg,2025-05-09 07:17:16.551466
13,13,3,중국어,5,심리상담사 1급,https://counselor.example.com/profile_13.jpg,2025-05-03 18:27:48.227134
14,14,3,중국어,4,심리상담사 1급,https://counselor.example.com/profile_14.jpg,2025-05-16 19:41:15.867762
15,15,4,중국어,4,상담심리학 석사,https://counselor.example.com/profile_15.jpg,2025-05-21 10:11:03.712093
16,16,1,일본어,7,일반,https://counselor.example.com/profile_16.jpg,2025-05-08 04:26:07.454931
17,17,2,일본어,7,상담심리학 석사,https://counselor.example.com/profile_17.jpg,2025-05-09 15:30:16.235960
18,18,1,영어,6,상담심리학 석사,https://counselor.example.com/profile_18.jpg,2025-05-10 12:54:09.561462
19,19,2,일본어,8,상담심리학 석사,https://counselor.example.com/profile_19.jpg,2025-05-30 17:02:00.010749
20,20,2,영어,3,심리상담사 2급,https://counselor.example.com/profile_20.jpg,2025-05-06 00:20:14.557728
21,21,4,일본어,4,상담심리학 석사,https://counselor.example.com/profile_21.jpg,2025-05-25 09:45:46.109774
22,22,3,한국어,5,심리상담사 1급,https://counselor.example.com/profile_22.jpg,2025-05-11 22:23:25.198651
23,23,2,일본어,6,심리상담사 2급,https://counselor.example.com/profile_23.jpg,2025-05-08 09:05:41.496815
24,24,3,한국어,8,심리상담사 1급,https://counselor.example.com/profile_24.jpg,2025-05-14 09:39:38.193014
25,25,4,한국어,4,심리상담사 1급,https://counselor.example.com/profile_25.jpg,2025-05-31 02:52:22.168344
26,26,2,영어,3,심리상담사 2급,https://counselor.example.com/profile_26.jpg,2025-05-07 07:49:06.941696
27,27,3,영어,6,일반,https://counselor.example.com/profile_27.jpg,2025-05-14 05:57:55.077527
28,28,3,한국어,5,일반,https://counselor.example.com/profile_28.jpg,2025-05-16 23:08:22.295465
29,29,5,영어,6,심리상담사 1급,https://counselor.example.com/profile_29.jpg,2025-05-10 23:29:32.705052
30,30,3,중국어,4,상담심리학 석사,https://counselor.example.com/profile_30.jpg,2025-05-03 13:48:02.787705
31,31,2,일본어,3,상담심리학 석사,https://counselor.example.com/profile_31.jpg,2025-05-24 21:58:35.371983
32,32,3,중국어,8,심리상담사 2급,https://counselor.example.com/profile_32.jpg,2025-05-28 21:00:19.326321
33,33,4,한국어,6,일반,https://counselor.example.com/profile_33.jpg,2025-05-28 10:07:32.260643
34,34,2,중국어,3,상담심리학 석사,https://counselor.example.com/profile_34.jpg,2025-05-11 18:40:48.005586
35,35,4,중국어,8,상담심리학 석사,https://counselor.example.com/profile_35.jpg,2025-05-19 12:06:36.271803
36,36,3,중국어,8,심리상담사 1급,https://counselor.example.com/profile_36.jpg,2025-05-30 07:40:59.404765
37,37,2,중국어,8,심리상담사 2급,https://counselor.example.com/profile_37.jpg,2025-05-07 07:22:19.524838
38,38,4,영어,4,일반,https://counselor.example.com/profile_38.jpg,2025-05-31 15:45:50.561184
39,39,5,일본어,5,일반,https://counselor.example.com/profile_39.jpg,2025-05-05 19:44:10.158595
40,40,4,중국어,3,심리상담사 1급,https://counselor.example.com/profile_40.jpg,2025-05-10 22:04:11.007070
41,41,5,중국어,7,상담심리학 석사,https://counselor.example.com/profile_41.jpg,2025-05-18 13:40:32.218674
42,42,3,일본어,8,상담심리학 석사,https://counselor.example.com/profile_42.jpg,2025-05-11 15:52:29.090719
43,43,2,한국어,5,심리상담사 2급,https://counselor.example.com/profile_43.jpg,2025-05-15 21:50:46.603925
44,44,2,한국어,6,일반,https://counselor.example.com/profile_44.jpg,2025-05-06 19:50:21.739256
45,45,1,중국어,8,상담심리학 석사,https://counselor.example.com/profile_45.jpg,2025-05-03 05:12:12.780006
46,46,3,중국어,6,심리상담사 2급,https://counselor.example.com/profile_46.jpg,2025-05-31 15:14:57.891428
47,47,5,한국어,8,일반,https://counselor.example.com/profile_47.jpg,2025-05-18 02:29:04.974762
48,48,1,중국어,5,상담심리학 석사,https://counselor.example.com/profile_48.jpg,2025-05-26 00:31:03.618940
49,49,4,한국어,7,심리상담사 1급,https://counselor.example.com/profile_49.jpg,2025-05-28 18:19:51.822923
50,50,1,영어,5,심리상담사 1급,https://counselor.example.com/profile_50.jpg,2025-05-12 02:11:15.049615
