setting_id,user_id,notification_enabled,investment_experience,preferred_sectors,investment_goal
1,1,True,10년 미만,소비재,단기수익
2,2,True,5년 미만,혼합,안정적보존
3,3,False,5년 미만,혼합,안정적보존
4,4,True,5년 미만,혼합,단기수익
5,5,True,1년 미만,금융주,장기성장
6,6,False,5년 미만,혼합,배당수익
7,7,False,1년 미만,혼합,안정적보존
8,8,False,5년 미만,금융주,안정적보존
9,9,False,10년 미만,기술주,장기성장
10,10,True,1년 미만,에너지,장기성장
11,11,False,10년 미만,기술주,장기성장
12,12,False,10년 미만,기술주,장기성장
13,13,False,1년 미만,혼합,장기성장
14,14,False,10년 미만,혼합,안정적보존
15,15,False,1년 미만,혼합,안정적보존
16,16,False,10년 미만,기술주,단기수익
17,17,True,10년 미만,에너지,단기수익
18,18,True,1년 미만,혼합,장기성장
19,19,False,1년 미만,기술주,단기수익
20,20,False,5년 미만,소비재,단기수익
21,21,False,10년 미만,소비재,단기수익
22,22,False,1년 미만,기술주,장기성장
23,23,True,5년 미만,에너지,장기성장
24,24,False,10년 미만,금융주,안정적보존
25,25,True,1년 미만,에너지,장기성장
26,26,False,5년 미만,혼합,배당수익
27,27,True,1년 미만,헬스케어,장기성장
28,28,False,10년 미만,헬스케어,단기수익
29,29,True,5년 미만,에너지,안정적보존
30,30,False,5년 미만,에너지,장기성장
31,31,False,10년 미만,헬스케어,배당수익
32,32,True,1년 미만,기술주,배당수익
33,33,False,10년 미만,기술주,안정적보존
34,34,True,1년 미만,헬스케어,안정적보존
35,35,True,10년 미만,기술주,배당수익
36,36,True,5년 미만,헬스케어,안정적보존
37,37,False,5년 미만,헬스케어,안정적보존
38,38,False,5년 미만,기술주,안정적보존
39,39,False,1년 미만,기술주,단기수익
40,40,False,10년 미만,금융주,배당수익
41,41,True,10년 미만,기술주,안정적보존
42,42,False,5년 미만,금융주,장기성장
43,43,True,10년 미만,금융주,장기성장
44,44,False,10년 미만,에너지,단기수익
45,45,False,1년 미만,혼합,장기성장
46,46,True,5년 미만,기술주,배당수익
47,47,False,1년 미만,혼합,안정적보존
48,48,False,5년 미만,헬스케어,장기성장
49,49,False,5년 미만,금융주,단기수익
50,50,False,5년 미만,에너지,장기성장
51,51,True,5년 미만,소비재,장기성장
52,52,False,10년 미만,금융주,안정적보존
53,53,False,1년 미만,기술주,안정적보존
54,54,False,1년 미만,소비재,안정적보존
55,55,False,5년 미만,헬스케어,장기성장
56,56,False,1년 미만,금융주,단기수익
57,57,True,10년 미만,헬스케어,안정적보존
58,58,True,5년 미만,헬스케어,단기수익
59,59,False,10년 미만,혼합,배당수익
60,60,False,5년 미만,금융주,안정적보존
61,61,False,1년 미만,에너지,장기성장
62,62,True,5년 미만,헬스케어,안정적보존
63,63,False,10년 미만,금융주,안정적보존
64,64,True,1년 미만,헬스케어,배당수익
65,65,False,5년 미만,기술주,배당수익
66,66,True,1년 미만,기술주,단기수익
67,67,False,5년 미만,헬스케어,단기수익
68,68,True,5년 미만,혼합,장기성장
69,69,True,5년 미만,소비재,안정적보존
70,70,False,1년 미만,소비재,안정적보존
71,71,True,1년 미만,혼합,장기성장
72,72,False,10년 미만,금융주,안정적보존
73,73,True,5년 미만,소비재,장기성장
74,74,True,10년 미만,혼합,배당수익
75,75,True,5년 미만,기술주,장기성장
76,76,True,1년 미만,혼합,배당수익
77,77,False,10년 미만,소비재,장기성장
78,78,False,5년 미만,소비재,장기성장
79,79,True,5년 미만,기술주,단기수익
80,80,False,1년 미만,기술주,장기성장
81,81,True,10년 미만,혼합,단기수익
82,82,False,10년 미만,에너지,배당수익
83,83,True,5년 미만,혼합,안정적보존
84,84,True,5년 미만,에너지,안정적보존
85,85,True,1년 미만,기술주,배당수익
86,86,True,10년 미만,헬스케어,안정적보존
87,87,True,5년 미만,금융주,안정적보존
88,88,False,1년 미만,에너지,단기수익
89,89,False,10년 미만,금융주,배당수익
90,90,True,1년 미만,헬스케어,안정적보존
91,91,True,1년 미만,기술주,배당수익
92,92,False,5년 미만,헬스케어,안정적보존
93,93,False,5년 미만,금융주,장기성장
94,94,False,10년 미만,기술주,단기수익
95,95,True,1년 미만,소비재,배당수익
96,96,False,10년 미만,에너지,안정적보존
97,97,False,10년 미만,금융주,안정적보존
98,98,True,1년 미만,헬스케어,배당수익
99,99,True,1년 미만,금융주,안정적보존
100,100,False,5년 미만,소비재,장기성장
