setting_id,author_id,author_year,note_format,privacy_default,mood_tracking,weather_tracking,reminder_time,backup_enabled,theme_color,font_size,auto_save,updated_at,device_type,click_through_rate
1,1,1999,백지 형식,공개,True,True,02:54:53,False,보라색,보통,True,2025-05-28 15:19:31.787378,태블릿,0.091
2,2,1993,격자 형식,비공개,True,True,19:57:41,True,파란색,보통,True,2025-05-21 01:43:58.641064,태블릿,0.059
3,3,1981,백지 형식,공개,True,True,20:52:15,True,파란색,작게,True,2025-05-07 07:21:04.809781,태블릿,0.046
4,4,1996,줄글 형식,친구만,True,True,04:01:31,True,초록색,작게,True,2025-05-20 10:59:16.954260,모바일,0.149
5,5,2003,백지 형식,공개,True,False,05:20:21,False,핑크색,작게,True,2025-05-19 15:51:35.169543,태블릿,0.039
6,6,1985,격자 형식,친구만,True,False,07:58:09,True,보라색,크게,True,2025-06-02 04:31:41.502916,모바일,0.027
7,7,1994,백지 형식,친구만,True,True,16:31:37,True,파란색,크게,True,2025-05-29 15:32:39.778431,모바일,0.049
8,8,1985,백지 형식,친구만,True,True,12:39:21,True,초록색,보통,True,2025-05-19 17:26:25.872702,모바일,0.12
9,9,1996,격자 형식,친구만,False,False,13:59:24,True,검은색,작게,True,2025-05-11 22:47:53.587610,데스크톱,0.076
10,10,2001,백지 형식,비공개,True,False,07:03:22,True,보라색,크게,True,2025-05-25 12:45:26.466558,데스크톱,0.101
11,11,1993,격자 형식,공개,True,True,15:35:39,True,핑크색,작게,True,2025-05-09 16:01:57.911285,태블릿,0.08
12,12,2005,백지 형식,친구만,True,True,22:10:33,False,검은색,크게,True,2025-05-06 16:13:46.123773,태블릿,0.055
13,13,1990,격자 형식,친구만,True,False,00:07:43,True,보라색,크게,True,2025-05-31 20:56:49.596233,태블릿,0.034
14,14,1985,백지 형식,공개,True,False,12:37:49,True,검은색,작게,True,2025-05-26 23:21:07.054845,모바일,0.128
15,15,1997,줄글 형식,비공개,False,True,09:16:49,True,파란색,크게,True,2025-05-22 14:02:42.170760,모바일,0.026
16,16,1992,백지 형식,친구만,True,True,12:25:29,True,파란색,보통,True,2025-05-12 18:50:29.806667,태블릿,0.049
17,17,1981,줄글 형식,공개,False,False,13:53:44,True,파란색,작게,True,2025-05-25 23:08:52.307332,모바일,0.055
18,18,1985,격자 형식,비공개,True,True,01:31:54,True,검은색,크게,True,2025-05-13 10:14:50.439899,태블릿,0.031
19,19,1997,줄글 형식,친구만,True,True,11:37:42,True,핑크색,보통,True,2025-05-26 01:09:28.817069,태블릿,0.122
20,20,1999,백지 형식,비공개,True,False,18:11:50,True,파란색,크게,True,2025-05-25 21:31:09.254627,데스크톱,0.099
21,21,1984,줄글 형식,비공개,False,True,00:31:01,True,보라색,작게,True,2025-05-25 15:36:14.881035,모바일,0.032
22,22,1997,격자 형식,친구만,False,True,07:32:13,True,핑크색,크게,True,2025-05-09 17:00:30.076729,모바일,0.075
23,23,2005,줄글 형식,비공개,True,True,08:43:46,True,초록색,보통,True,2025-05-31 01:29:25.888100,모바일,0.146
24,24,1986,줄글 형식,비공개,True,True,14:55:27,True,파란색,작게,True,2025-05-22 22:05:57.872981,데스크톱,0.073
25,25,1992,격자 형식,공개,True,True,23:09:36,True,핑크색,작게,True,2025-06-01 13:26:54.061767,데스크톱,0.038
26,26,1981,격자 형식,공개,True,True,20:43:40,True,검은색,크게,True,2025-05-14 18:46:41.994565,모바일,0.103
27,27,1984,격자 형식,친구만,True,False,03:50:13,True,초록색,작게,True,2025-05-10 14:54:54.424545,데스크톱,0.012
28,28,1980,줄글 형식,비공개,True,True,05:21:15,True,핑크색,보통,True,2025-05-15 02:29:27.964964,태블릿,0.017
29,29,1984,격자 형식,비공개,True,True,16:56:08,True,보라색,보통,True,2025-05-12 01:33:51.693157,모바일,0.146
30,30,2000,격자 형식,공개,True,True,04:39:14,True,초록색,보통,True,2025-05-21 05:29:18.997099,모바일,0.033
31,31,1997,격자 형식,공개,False,True,08:38:53,True,검은색,작게,True,2025-05-08 04:10:11.158040,모바일,0.101
32,32,2003,격자 형식,친구만,True,True,11:28:21,True,보라색,작게,True,2025-05-21 09:00:15.742291,데스크톱,0.108
33,33,2000,줄글 형식,친구만,True,True,19:27:23,True,보라색,크게,True,2025-05-21 21:01:04.183262,데스크톱,0.103
34,34,1993,백지 형식,친구만,True,True,02:11:32,True,보라색,크게,True,2025-05-26 20:24:37.741250,모바일,0.04
35,35,1996,백지 형식,친구만,False,True,15:18:18,True,핑크색,보통,True,2025-05-23 16:07:23.611755,데스크톱,0.015
36,36,1984,백지 형식,공개,True,True,06:50:06,True,보라색,보통,True,2025-05-23 01:44:47.197367,데스크톱,0.096
37,37,1988,격자 형식,친구만,False,False,01:14:03,True,보라색,작게,True,2025-05-28 23:45:25.482938,태블릿,0.115
38,38,1991,백지 형식,공개,False,True,06:58:57,True,핑크색,크게,True,2025-05-08 19:01:55.205844,데스크톱,0.146
39,39,1985,백지 형식,공개,True,False,08:02:14,True,핑크색,보통,True,2025-05-16 23:15:03.472019,데스크톱,0.116
40,40,2002,줄글 형식,공개,True,True,04:42:36,True,파란색,보통,True,2025-05-31 02:15:25.127019,태블릿,0.082
41,41,2003,격자 형식,친구만,True,True,12:35:40,True,초록색,크게,True,2025-05-05 22:52:03.476301,모바일,0.047
42,42,2003,격자 형식,친구만,True,True,08:30:39,True,파란색,크게,True,2025-05-22 20:09:15.547734,모바일,0.085
43,43,1989,격자 형식,공개,True,False,08:02:37,True,핑크색,보통,True,2025-05-08 10:51:51.041212,모바일,0.045
44,44,2001,격자 형식,비공개,False,True,12:47:02,True,검은색,작게,True,2025-05-25 11:09:42.991295,데스크톱,0.095
45,45,2005,백지 형식,비공개,True,True,18:30:44,True,보라색,크게,True,2025-05-30 20:55:10.167882,태블릿,0.047
46,46,1996,격자 형식,비공개,False,False,06:12:14,True,파란색,작게,False,2025-05-10 00:06:24.224845,데스크톱,0.032
47,47,2005,백지 형식,친구만,True,False,00:17:03,True,파란색,크게,True,2025-05-15 09:40:20.647753,모바일,0.145
48,48,1986,백지 형식,친구만,True,True,09:47:10,True,초록색,크게,True,2025-05-13 07:06:08.498155,데스크톱,0.105
49,49,1980,격자 형식,공개,False,True,15:32:43,True,핑크색,크게,True,2025-05-18 21:31:19.107169,태블릿,0.015
50,50,1988,백지 형식,비공개,True,True,02:56:46,True,검은색,크게,False,2025-05-04 19:06:09.901263,모바일,0.132
51,51,1980,격자 형식,친구만,True,False,14:19:51,True,보라색,작게,True,2025-05-17 02:47:38.230119,모바일,0.131
52,52,1985,백지 형식,공개,False,True,00:20:43,True,보라색,보통,True,2025-05-23 03:20:47.884104,태블릿,0.023
53,53,1996,백지 형식,친구만,True,True,21:53:40,True,초록색,크게,True,2025-05-31 03:48:59.760458,데스크톱,0.107
54,54,1986,격자 형식,공개,True,True,19:10:12,True,핑크색,크게,True,2025-05-24 22:54:43.129234,데스크톱,0.064
55,55,1998,줄글 형식,비공개,True,True,10:44:03,True,파란색,보통,True,2025-05-30 06:52:04.839131,모바일,0.105
56,56,1989,줄글 형식,비공개,False,True,07:40:02,True,보라색,작게,True,2025-05-06 03:25:15.844386,태블릿,0.106
57,57,1980,격자 형식,비공개,True,True,22:37:14,True,검은색,작게,True,2025-06-01 11:18:58.560696,모바일,0.092
58,58,1996,줄글 형식,친구만,False,True,20:48:07,True,검은색,보통,True,2025-05-13 05:02:17.418800,태블릿,0.076
59,59,1982,격자 형식,비공개,True,True,02:29:32,True,보라색,작게,True,2025-05-22 20:33:48.680548,모바일,0.065
60,60,1983,격자 형식,친구만,False,False,20:04:57,False,초록색,크게,True,2025-05-03 19:05:32.696245,데스크톱,0.133
61,61,2002,줄글 형식,공개,False,True,13:34:56,True,초록색,크게,True,2025-05-24 13:45:59.054961,데스크톱,0.145
62,62,1992,백지 형식,비공개,False,True,23:25:01,True,초록색,크게,True,2025-05-27 19:30:43.458492,데스크톱,0.111
63,63,1984,줄글 형식,공개,False,True,23:34:08,True,검은색,보통,True,2025-05-15 13:43:18.359576,데스크톱,0.137
64,64,1981,줄글 형식,비공개,True,False,22:03:53,True,핑크색,작게,True,2025-05-15 13:06:46.473320,데스크톱,0.053
65,65,2003,백지 형식,친구만,True,False,06:54:28,True,핑크색,작게,True,2025-05-07 02:52:23.051073,데스크톱,0.078
66,66,1990,격자 형식,공개,True,True,00:49:30,True,보라색,보통,True,2025-05-16 01:04:33.997102,모바일,0.025
67,67,1999,백지 형식,비공개,False,True,00:58:28,True,핑크색,보통,True,2025-05-13 03:35:41.498203,모바일,0.071
68,68,2003,백지 형식,공개,False,True,08:00:53,True,검은색,보통,True,2025-05-08 07:40:41.188418,태블릿,0.039
69,69,1993,백지 형식,공개,True,False,07:09:20,False,검은색,보통,True,2025-05-07 19:42:45.859953,데스크톱,0.134
70,70,1987,백지 형식,친구만,True,True,01:37:38,True,핑크색,작게,True,2025-05-08 20:45:54.817958,데스크톱,0.019
71,71,1990,줄글 형식,공개,True,True,03:46:17,False,보라색,보통,False,2025-05-05 20:56:26.920353,태블릿,0.066
72,72,1999,백지 형식,친구만,True,False,18:18:28,True,초록색,작게,True,2025-05-10 02:22:04.201994,태블릿,0.109
73,73,1990,백지 형식,친구만,True,True,05:20:31,True,파란색,보통,True,2025-05-22 22:37:49.869543,모바일,0.017
74,74,1988,백지 형식,공개,True,True,13:20:20,True,파란색,보통,True,2025-05-12 02:45:41.759698,모바일,0.048
75,75,2000,백지 형식,공개,True,True,23:22:07,True,검은색,크게,False,2025-05-05 18:05:20.937314,데스크톱,0.14
76,76,1989,격자 형식,공개,False,True,06:49:59,False,초록색,크게,True,2025-05-10 16:29:40.987216,데스크톱,0.117
77,77,1998,격자 형식,비공개,False,True,08:02:57,True,초록색,크게,True,2025-05-23 09:51:25.003963,모바일,0.061
78,78,1996,줄글 형식,비공개,False,True,13:50:32,True,핑크색,작게,True,2025-05-07 11:40:36.026394,태블릿,0.023
79,79,1983,백지 형식,비공개,True,True,00:50:34,True,보라색,크게,True,2025-05-05 05:43:14.969154,데스크톱,0.149
80,80,1998,격자 형식,공개,True,True,21:41:34,True,보라색,보통,True,2025-05-05 00:50:19.623463,데스크톱,0.031
