setting_id,user_id,risk_level,notification_enabled,investment_experience,preferred_sectors,investment_goal,conversion_rate,bounce_rate
1,1,공격형,True,10년 미만,소비재,단기수익,0.1,0.74
2,2,공격형,True,5년 미만,혼합,안정적보존,0.098,0.58
3,3,안정형,False,5년 미만,혼합,안정적보존,0.039,0.63
4,4,중립형,True,5년 미만,혼합,단기수익,0.019,0.21
5,5,공격형,True,1년 미만,금융주,장기성장,0.025,0.46
6,6,안정형,False,5년 미만,혼합,배당수익,0.09,0.68
7,7,공격형,False,1년 미만,혼합,안정적보존,0.094,0.58
8,8,안정형,False,5년 미만,금융주,안정적보존,0.038,0.44
9,9,중립형,False,10년 미만,기술주,장기성장,0.091,0.8
10,10,안정형,True,1년 미만,에너지,장기성장,0.044,0.64
11,11,중립형,False,10년 미만,기술주,장기성장,0.039,0.4
12,12,안정형,False,10년 미만,기술주,장기성장,0.034,0.32
13,13,안정형,False,1년 미만,혼합,장기성장,0.09,0.57
14,14,공격형,False,10년 미만,혼합,안정적보존,0.099,0.7
15,15,중립형,False,1년 미만,혼합,안정적보존,0.072,0.59
16,16,공격형,False,10년 미만,기술주,단기수익,0.096,0.59
17,17,공격형,True,10년 미만,에너지,단기수익,0.026,0.75
18,18,안정형,True,1년 미만,혼합,장기성장,0.034,0.59
19,19,중립형,False,1년 미만,기술주,단기수익,0.062,0.7
20,20,공격형,False,5년 미만,소비재,단기수익,0.065,0.48
21,21,공격형,False,10년 미만,소비재,단기수익,0.089,0.35
22,22,안정형,False,1년 미만,기술주,장기성장,0.058,0.75
23,23,공격형,True,5년 미만,에너지,장기성장,0.08,0.62
24,24,공격형,False,10년 미만,금융주,안정적보존,0.081,0.29
25,25,안정형,True,1년 미만,에너지,장기성장,0.093,0.4
26,26,공격형,False,5년 미만,혼합,배당수익,0.055,0.63
27,27,안정형,True,1년 미만,헬스케어,장기성장,0.022,0.41
28,28,공격형,False,10년 미만,헬스케어,단기수익,0.026,0.35
29,29,안정형,True,5년 미만,에너지,안정적보존,0.04,0.35
30,30,안정형,False,5년 미만,에너지,장기성장,0.012,0.54
31,31,안정형,False,10년 미만,헬스케어,배당수익,0.033,0.6
32,32,중립형,True,1년 미만,기술주,배당수익,0.016,0.4
33,33,중립형,False,10년 미만,기술주,안정적보존,0.061,0.48
34,34,중립형,True,1년 미만,헬스케어,안정적보존,0.051,0.27
35,35,중립형,True,10년 미만,기술주,배당수익,0.061,0.39
36,36,공격형,True,5년 미만,헬스케어,안정적보존,0.024,0.33
37,37,중립형,False,5년 미만,헬스케어,안정적보존,0.07,0.68
38,38,공격형,False,5년 미만,기술주,안정적보존,0.063,0.48
39,39,중립형,False,1년 미만,기술주,단기수익,0.036,0.36
40,40,중립형,False,10년 미만,금융주,배당수익,0.048,0.74
41,41,안정형,True,10년 미만,기술주,안정적보존,0.072,0.47
42,42,중립형,False,5년 미만,금융주,장기성장,0.023,0.23
43,43,공격형,True,10년 미만,금융주,장기성장,0.086,0.24
44,44,공격형,False,10년 미만,에너지,단기수익,0.073,0.53
45,45,중립형,False,1년 미만,혼합,장기성장,0.012,0.27
46,46,중립형,True,5년 미만,기술주,배당수익,0.026,0.78
47,47,공격형,False,1년 미만,혼합,안정적보존,0.017,0.77
48,48,중립형,False,5년 미만,헬스케어,장기성장,0.067,0.47
49,49,안정형,False,5년 미만,금융주,단기수익,0.089,0.68
50,50,안정형,False,5년 미만,에너지,장기성장,0.017,0.5
51,51,중립형,True,5년 미만,소비재,장기성장,0.085,0.71
52,52,중립형,False,10년 미만,금융주,안정적보존,0.064,0.55
53,53,공격형,False,1년 미만,기술주,안정적보존,0.079,0.23
54,54,중립형,False,1년 미만,소비재,안정적보존,0.01,0.68
55,55,안정형,False,5년 미만,헬스케어,장기성장,0.054,0.49
56,56,중립형,False,1년 미만,금융주,단기수익,0.073,0.43
57,57,중립형,True,10년 미만,헬스케어,안정적보존,0.066,0.57
58,58,안정형,True,5년 미만,헬스케어,단기수익,0.024,0.59
59,59,안정형,False,10년 미만,혼합,배당수익,0.083,0.39
60,60,공격형,False,5년 미만,금융주,안정적보존,0.091,0.24
61,61,공격형,False,1년 미만,에너지,장기성장,0.044,0.48
62,62,중립형,True,5년 미만,헬스케어,안정적보존,0.029,0.38
63,63,공격형,False,10년 미만,금융주,안정적보존,0.021,0.79
64,64,중립형,True,1년 미만,헬스케어,배당수익,0.074,0.66
65,65,중립형,False,5년 미만,기술주,배당수익,0.09,0.65
66,66,안정형,True,1년 미만,기술주,단기수익,0.049,0.43
67,67,안정형,False,5년 미만,헬스케어,단기수익,0.076,0.67
68,68,공격형,True,5년 미만,혼합,장기성장,0.091,0.61
69,69,중립형,True,5년 미만,소비재,안정적보존,0.05,0.73
70,70,공격형,False,1년 미만,소비재,안정적보존,0.011,0.79
71,71,중립형,True,1년 미만,혼합,장기성장,0.056,0.3
72,72,안정형,False,10년 미만,금융주,안정적보존,0.076,0.76
73,73,안정형,True,5년 미만,소비재,장기성장,0.019,0.58
74,74,공격형,True,10년 미만,혼합,배당수익,0.054,0.25
75,75,안정형,True,5년 미만,기술주,장기성장,0.012,0.41
76,76,중립형,True,1년 미만,혼합,배당수익,0.054,0.45
77,77,공격형,False,10년 미만,소비재,장기성장,0.046,0.67
78,78,중립형,False,5년 미만,소비재,장기성장,0.068,0.67
79,79,안정형,True,5년 미만,기술주,단기수익,0.026,0.43
80,80,중립형,False,1년 미만,기술주,장기성장,0.086,0.46
81,81,안정형,True,10년 미만,혼합,단기수익,0.056,0.53
82,82,공격형,False,10년 미만,에너지,배당수익,0.097,0.27
83,83,중립형,True,5년 미만,혼합,안정적보존,0.063,0.21
84,84,안정형,True,5년 미만,에너지,안정적보존,0.021,0.47
85,85,공격형,True,1년 미만,기술주,배당수익,0.035,0.21
86,86,중립형,True,10년 미만,헬스케어,안정적보존,0.013,0.52
87,87,공격형,True,5년 미만,금융주,안정적보존,0.06,0.34
88,88,중립형,False,1년 미만,에너지,단기수익,0.049,0.69
89,89,중립형,False,10년 미만,금융주,배당수익,0.08,0.78
90,90,안정형,True,1년 미만,헬스케어,안정적보존,0.048,0.26
91,91,중립형,True,1년 미만,기술주,배당수익,0.075,0.52
92,92,안정형,False,5년 미만,헬스케어,안정적보존,0.023,0.43
93,93,공격형,False,5년 미만,금융주,장기성장,0.018,0.73
94,94,중립형,False,10년 미만,기술주,단기수익,0.075,0.46
95,95,중립형,True,1년 미만,소비재,배당수익,0.098,0.73
96,96,중립형,False,10년 미만,에너지,안정적보존,0.013,0.45
97,97,중립형,False,10년 미만,금융주,안정적보존,0.049,0.37
98,98,안정형,True,1년 미만,헬스케어,배당수익,0.084,0.31
