market_id,market_name,location,market_type,operating_days,region,established_year,market_size,contact_phone,certification,completion_rate,tags
1,성남시 중원구 축산시장,경상남도 영동군 논현로 지하498 (옥순김동),도매시장,평일만,전북,1979,대형,053-792-4221,True,0.77,"maxime,nemo,tempora"
2,여주시 축산시장,대구광역시 도봉구 압구정길 211 (영진한손리),직거래장,주3회,충남,2002,소형,017-751-4004,True,0.08,"excepturi,iusto,beatae"
3,안산시 상록구 축산시장,충청남도 의정부시 삼성7길 768,도매시장,평일만,서울,1979,중형,018-450-1369,True,0.13,"voluptatum,autem,possimus"
4,부천시 축산시장,제주특별자치도 삼척시 영동대길 902-71,소매시장,주3회,서울,1970,대형,016-739-6326,True,0.12,"quo,assumenda,perspiciatis"
5,부여군 축산시장,부산광역시 남구 봉은사95길 897-6 (진우김면),직거래장,주말만,강원,2019,중형,052-847-4718,True,0.53,"veritatis,quaerat,saepe"
6,홍천군 축산시장,전라북도 홍천군 압구정로 812-39 (성현이윤리),직거래장,주3회,경북,2004,소형,063-741-2938,True,0.4,"culpa,aperiam,nulla"
7,화천군 축산시장,전라남도 가평군 개포거리 지하584 (서준박박리),직거래장,평일만,충북,1977,중형,043-803-5609,True,0.99,"dolorum,temporibus,sapiente"
8,단양군 축산시장,제주특별자치도 동두천시 백제고분127거리 506-51 (민수김우동),도매시장,주3회,충남,1973,중형,018-763-8182,False,0.67,"soluta,autem,iure"
9,논산시 축산시장,전라북도 옥천군 도산대6길 730-45 (예준이이동),도매시장,평일만,전북,2003,중형,052-844-9798,True,0.79,"beatae,sint,dolore"
10,성남시 수정구 축산시장,전라북도 수원시 팔달구 도산대가 782,직거래장,매일,전남,1982,소형,02-1429-6025,False,0.9,"illo,ex,qui"
11,동해시 축산시장,울산광역시 성북구 역삼676길 357,소매시장,주말만,서울,1960,중형,054-087-2569,False,0.8,"quaerat,quos,tempore"
12,부천시 축산시장,전라북도 용인시 처인구 강남대가 281,도매시장,매일,충남,2020,소형,010-0923-6490,True,0.38,"provident,sunt,dolores"
13,고양시 축산시장,울산광역시 관악구 영동대63길 196 (도현최박읍),소매시장,주3회,서울,2007,중형,062-593-4793,True,0.58,"tempore,id,quasi"
14,광주시 축산시장,인천광역시 서대문구 학동길 924 (지우하홍마을),소매시장,평일만,경기,1958,대형,042-002-5091,True,0.34,"dolorem,a,id"
15,예산군 축산시장,경기도 용인시 수지구 석촌호수로 지하987 (민재김허마을),소매시장,주말만,경기,1983,소형,042-212-0699,True,0.89,"numquam,quidem,delectus"
16,제천시 축산시장,울산광역시 성북구 언주16길 103-25 (은영김동),직거래장,주3회,경북,1956,중형,042-283-5627,True,0.5,"at,dolore,sit"
17,성남시 분당구 축산시장,광주광역시 금천구 논현가 480 (정자허이동),도매시장,주3회,경북,2011,중형,042-619-5148,False,0.61,"sunt,rem,deleniti"
18,강릉시 축산시장,대전광역시 북구 선릉476길 974-99 (종수김면),직거래장,주3회,강원,1977,소형,070-1846-1605,True,0.72,"minima,quibusdam,numquam"
19,인제군 축산시장,충청북도 성남시 수정구 선릉로 296-95 (진우류박마을),소매시장,매일,경기,2016,대형,018-053-3932,False,0.73,"nulla,velit,ipsum"
20,동해시 축산시장,제주특별자치도 천안시 동남구 개포50길 891 (하은김읍),도매시장,평일만,서울,1952,중형,017-227-8424,True,0.29,"autem,quae,laborum"
21,증평군 축산시장,광주광역시 성동구 학동길 149 (아름김읍),직거래장,주말만,경남,1982,소형,016-741-1092,True,0.94,"quam,autem,asperiores"
22,춘천시 축산시장,대전광역시 서대문구 삼성길 지하157 (지민문박리),소매시장,주말만,충남,2004,중형,053-321-4398,True,0.33,"cupiditate,perspiciatis,ad"
23,연천군 축산시장,충청북도 단양군 학동784거리 844-96,도매시장,매일,경북,2002,중형,054-884-2049,True,0.1,"aperiam,quo,enim"
24,청주시 흥덕구 축산시장,서울특별시 서초구 압구정0거리 지하891 (미숙홍박동),소매시장,주말만,경기,2004,중형,011-387-1794,True,0.14,"cum,non,corrupti"
25,음성군 축산시장,인천광역시 서구 도산대238로 지하866,직거래장,주말만,경기,2000,대형,010-2032-0294,False,0.57,"voluptatem,quis,beatae"
