match_id,user_id,matched_user_id,match_status,match_score,matched_at,processed,notes
1,31,6,성사,61,2025-05-24 05:51:16.588355,True,Vitae voluptatibus architecto quas minus. Natus dolor libero hic possimus voluptas laudantium.
2,56,53,만료,64,2025-03-11 13:43:37.251694,False,Qui voluptas magni similique quas. Rerum quae blanditiis ab aperiam. Similique eius deserunt nostrum sint.
3,54,25,거절,89,2025-03-08 07:28:25.228004,True,Sint quis culpa. Optio minima iste vitae ea. Fugit omnis vel optio dolores distinctio.
4,34,30,만료,68,2025-04-12 04:10:44.345134,True,Atque praesentium at sequi sunt necessitatibus corrupti.
5,22,22,만료,66,2025-04-27 02:24:10.212094,False,Voluptatum impedit odit. Suscipit hic a excepturi. Vero alias sit aperiam dolor cumque harum.
6,40,11,만료,63,2025-03-19 23:17:10.999138,False,"Voluptatem nihil ab consequuntur facilis sint asperiores est.
Doloribus fugiat deserunt eligendi voluptatem soluta."
7,56,3,대기중,99,2025-03-05 04:08:11.958102,True,Eum ad eum consequatur. Expedita modi veritatis in voluptates quisquam.
8,48,1,거절,65,2025-04-27 03:10:43.870433,True,Nesciunt eos reiciendis pariatur aperiam iste dolorem. Id soluta dignissimos.
9,42,27,거절,85,2025-04-17 04:20:28.212235,True,Dolore placeat perspiciatis impedit blanditiis animi. Odit officiis voluptates vel iusto qui amet.
10,6,49,성사,67,2025-03-14 01:29:53.468864,False,Consequatur enim eius ad. Odio molestias quam ullam saepe asperiores vitae nostrum.
11,52,56,만료,61,2025-03-28 13:09:10.573088,False,Ad voluptate quam consectetur nihil dolores dolores quaerat. Ad ea nesciunt deleniti voluptas. Ut architecto ad.
12,30,7,대기중,71,2025-03-31 18:38:05.054499,True,Corrupti rem illo non at quae.
13,20,49,대기중,69,2025-05-16 14:57:59.105443,False,Illo praesentium iste. Doloribus accusamus voluptates eum.
14,16,25,거절,61,2025-04-13 17:35:09.515812,False,Illo magni quas officia. Qui debitis saepe vitae ipsa perspiciatis.
15,52,15,대기중,81,2025-03-17 17:25:43.413105,False,Praesentium dignissimos ipsam sit. Facere non sunt. Voluptatem voluptates voluptate quia.
16,13,5,대기중,60,2025-03-08 06:31:52.367150,False,Totam molestiae iste similique. A ea voluptatem consequuntur ullam. Doloribus perspiciatis maxime nam.
17,53,7,대기중,91,2025-05-22 02:09:58.690230,True,Occaecati itaque error qui eveniet odit. Unde impedit dolorem sapiente officiis. Labore quo eaque consectetur architecto.
18,21,1,만료,84,2025-05-18 06:15:32.835144,False,Ab aliquid dignissimos sit corporis velit quod. Quos ducimus minus quo quasi fugiat.
19,57,39,만료,89,2025-04-09 14:33:50.129363,True,Quaerat explicabo quo dicta numquam itaque nesciunt. Quos eum quam iste harum doloribus. Nisi deserunt dicta molestias praesentium velit accusamus.
