setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,notification_tournament,privacy_level,timer_preference,marketing_consent,timezone
1,1,한국어,True,True,False,느림,2,True,False,공개,107,False,Europe/Bratislava
2,2,한국어,True,True,True,느림,19,True,True,공개,94,False,Europe/Madrid
3,3,일본어,True,False,False,느림,17,False,True,친구만,128,True,Europe/Vilnius
4,4,영어,True,False,False,빠름,2,True,True,비공개,172,True,Asia/Tbilisi
5,5,한국어,True,True,False,보통,19,False,True,공개,136,False,Europe/Zagreb
6,6,영어,True,False,False,빠름,5,True,True,비공개,46,True,Asia/Kuwait
7,7,중국어,True,True,False,보통,9,False,True,비공개,112,False,Europe/Ljubljana
8,8,일본어,False,True,True,느림,6,True,True,친구만,135,False,America/Argentina/Cordoba
9,9,중국어,True,True,True,보통,18,True,True,비공개,83,True,Asia/Amman
10,10,한국어,True,False,False,빠름,6,True,True,공개,148,True,Europe/Dublin
11,11,한국어,True,True,False,느림,13,True,True,친구만,31,True,Africa/Banjul
12,12,중국어,True,True,True,느림,3,True,False,친구만,113,False,Asia/Hovd
13,13,한국어,True,True,True,느림,11,True,True,비공개,98,True,America/St_Vincent
14,14,한국어,True,True,True,빠름,14,True,True,공개,95,False,Pacific/Palau
15,15,중국어,True,True,True,빠름,3,True,True,친구만,40,True,America/Panama
16,16,영어,True,True,False,보통,6,True,True,비공개,128,True,Europe/Bratislava
17,17,한국어,True,False,False,느림,9,False,True,공개,123,False,Asia/Dushanbe
18,18,한국어,True,True,False,빠름,2,False,True,공개,140,False,Europe/Lisbon
19,19,중국어,True,True,True,느림,13,False,True,공개,97,True,America/Guyana
20,20,한국어,True,True,True,빠름,20,True,True,공개,30,False,America/Grenada
21,21,일본어,False,True,False,보통,17,False,True,공개,30,True,Europe/Stockholm
22,22,영어,False,False,False,느림,16,False,True,공개,163,False,Africa/Accra
23,23,영어,True,True,False,빠름,5,False,True,비공개,49,True,Africa/Bangui
24,24,중국어,True,True,False,느림,5,False,True,비공개,109,False,America/Dominica
25,25,한국어,False,True,False,빠름,12,True,True,공개,104,True,Africa/Cairo
26,26,한국어,False,True,False,빠름,11,True,True,공개,41,False,Europe/London
27,27,영어,True,True,False,빠름,9,True,True,친구만,40,False,Europe/Amsterdam
28,28,한국어,False,True,False,느림,17,True,True,친구만,35,True,Asia/Aqtau
29,29,일본어,False,True,False,보통,3,True,True,공개,102,False,America/Grenada
30,30,영어,False,True,True,보통,1,True,True,비공개,52,False,Europe/Vatican
31,31,한국어,False,True,True,느림,8,False,True,공개,144,True,Europe/Copenhagen
32,32,중국어,True,False,False,느림,9,True,True,공개,55,True,Asia/Bangkok
33,33,한국어,True,False,True,보통,9,True,True,친구만,77,True,Asia/Kabul
34,34,일본어,True,True,False,빠름,17,True,True,친구만,39,False,Pacific/Funafuti
35,35,중국어,False,True,True,빠름,14,True,True,공개,41,False,America/Antigua
36,36,중국어,True,True,True,보통,19,True,True,공개,168,False,Pacific/Auckland
37,37,한국어,False,False,False,빠름,9,True,True,비공개,97,True,Africa/Kigali
38,38,영어,True,True,True,느림,6,False,True,친구만,84,True,Europe/Belgrade
39,39,영어,True,True,True,느림,8,True,True,공개,79,True,Europe/Oslo
40,40,중국어,True,True,True,느림,8,False,True,친구만,98,True,Australia/Melbourne
41,41,한국어,True,True,False,빠름,4,True,True,친구만,141,True,Africa/Freetown
42,42,중국어,True,False,True,빠름,18,True,False,비공개,76,True,Africa/Lome
43,43,한국어,True,True,False,느림,5,True,True,친구만,53,False,Africa/Kinshasa
44,44,중국어,True,True,False,느림,17,False,False,친구만,104,False,Asia/Tbilisi
45,45,영어,True,True,False,느림,16,True,True,공개,133,False,Asia/Brunei
46,46,일본어,True,False,False,느림,9,True,True,친구만,51,True,Europe/Dublin
47,47,영어,False,True,True,빠름,10,True,True,비공개,171,False,Europe/Ljubljana
48,48,영어,False,True,False,보통,8,True,True,공개,53,True,Australia/Darwin
49,49,중국어,True,False,False,느림,18,True,True,친구만,65,False,America/St_Vincent
50,50,한국어,False,True,False,보통,13,True,True,공개,148,False,Africa/Nouakchott
51,51,영어,True,True,True,느림,14,True,True,비공개,79,False,Africa/Ouagadougou
52,52,한국어,False,False,False,빠름,7,True,True,친구만,114,True,Africa/Bujumbura
53,53,일본어,True,True,False,느림,16,False,True,비공개,147,True,Asia/Almaty
54,54,중국어,True,True,False,느림,20,False,True,비공개,142,False,Europe/Istanbul
55,55,일본어,True,True,False,빠름,20,True,True,비공개,140,False,Asia/Brunei
56,56,일본어,True,True,False,빠름,4,False,True,친구만,87,True,Asia/Makassar
57,57,중국어,True,True,False,느림,11,True,True,공개,103,False,Europe/Paris
58,58,영어,False,False,True,느림,9,True,True,공개,169,False,Asia/Colombo
59,59,영어,True,False,False,빠름,4,False,True,공개,88,True,Asia/Baku
60,60,한국어,True,True,True,보통,15,False,True,공개,72,False,Europe/Lisbon
61,61,일본어,True,True,False,느림,20,False,False,공개,171,True,Asia/Dushanbe
62,62,일본어,True,True,False,느림,17,False,True,친구만,164,False,America/Belize
63,63,중국어,True,False,False,보통,5,False,True,친구만,158,True,Europe/San_Marino
64,64,중국어,True,False,False,보통,10,False,True,비공개,76,True,Africa/Luanda
65,65,중국어,True,False,False,느림,14,False,True,비공개,152,True,Africa/Mbabane
66,66,중국어,True,False,False,느림,2,True,True,친구만,162,True,America/St_Lucia
67,67,영어,True,True,False,보통,20,True,True,친구만,157,False,Africa/Gaborone
68,68,영어,False,True,True,느림,8,True,True,비공개,46,True,Europe/London
69,69,한국어,True,True,False,보통,7,False,True,친구만,171,True,Africa/Asmera
70,70,영어,True,True,False,느림,20,False,True,비공개,78,False,Africa/Maputo
71,71,일본어,True,True,True,빠름,4,False,True,친구만,175,False,Asia/Ashgabat
72,72,영어,True,True,False,빠름,5,True,True,비공개,76,True,Africa/Nouakchott
73,73,중국어,False,True,False,보통,2,True,True,친구만,47,False,Africa/Johannesburg
74,74,일본어,False,True,True,느림,20,True,True,친구만,173,False,Africa/Malabo
75,75,영어,True,True,True,빠름,1,False,True,비공개,115,False,Europe/Ljubljana
76,76,영어,False,False,True,보통,15,True,True,친구만,48,True,Africa/Luanda
77,77,중국어,True,False,True,보통,12,True,True,친구만,175,True,Africa/Addis_Ababa
