price_id,livestock_mkt,record_date,product_type,grade,part,price_per_kg,supply_volume,demand_level,season,disease_outbreak,currency_rate,predicted_price,accuracy_score,notes,channel
1,14,2024-05-02,소고기,특등급,목살,32107,1644,높음,여름,False,1102.74,13594,0.914,Cumque eius temporibus. Consectetur facere quam modi odio sunt. Nesciunt dolor asperiores animi.,오프라인
2,49,2024-02-01,오리고기,등외급,등심,11654,292,보통,여름,False,1251.72,17867,0.838,Iste voluptate accusamus provident expedita. Quasi optio beatae itaque ipsa deserunt. Tempora fuga maxime occaecati soluta harum minus.,오프라인
3,18,2024-06-17,돼지고기,3등급,앞다리,12736,4235,보통,봄,False,1211.96,24222,0.928,Quasi sunt blanditiis dolor error blanditiis quia. Aspernatur iure ut amet nemo. Fuga eius odio vel mollitia.,오프라인
4,3,2024-06-16,닭고기,2등급,갈비,18839,4859,낮음,여름,False,1285.35,27220,0.885,Eligendi odit minima repudiandae quam eius aliquid. Consectetur alias illum consequatur.,오프라인
5,38,2025-01-23,닭고기,특등급,앞다리,21657,1820,낮음,가을,False,1300.03,11789,0.805,Tempora rerum modi debitis sed ad iusto assumenda. Excepturi ex culpa. Hic totam repellat incidunt dicta maiores.,모바일
6,14,2024-01-13,닭고기,특등급,갈비,29725,218,보통,겨울,False,1284.96,23030,0.78,Deleniti occaecati nesciunt similique quo laboriosam itaque. Cumque tempora aspernatur exercitationem voluptates sapiente mollitia.,모바일
7,7,2025-02-27,오리고기,3등급,안심,33489,1288,높음,가을,False,1244.96,24291,0.804,"Dolorem vero doloribus.
Modi fuga dolore provident inventore eveniet. Laborum possimus sapiente beatae natus.",모바일
8,37,2024-06-11,돼지고기,3등급,갈비,27674,2714,높음,봄,False,1246.36,10675,0.88,Magnam necessitatibus fugit quis excepturi laborum suscipit accusamus. Repudiandae molestiae porro amet sunt. Sequi earum iure repellat.,모바일
9,13,2024-10-13,닭고기,특등급,안심,15005,3263,낮음,겨울,False,1101.98,22872,0.768,Dolorum temporibus commodi rem alias rerum cumque. Maxime alias est accusantium veritatis nisi.,온라인
10,41,2024-02-26,양고기,등외급,등심,13973,3852,낮음,겨울,False,1265.49,27869,0.719,Aspernatur qui aperiam non. Voluptas expedita sequi odit error nesciunt deserunt.,온라인
11,27,2023-09-04,닭고기,1등급,앞다리,22410,1432,높음,겨울,False,1103.56,24076,0.793,Incidunt dolorum culpa occaecati. Quos doloremque ex ipsum minima ipsam enim. Eos doloremque illo error.,오프라인
12,34,2023-12-09,돼지고기,2등급,앞다리,21007,1901,높음,여름,False,1258.83,28691,0.826,"Quis debitis at quo laboriosam perferendis.
Itaque officiis fugiat esse. Molestias officia autem blanditiis quasi. Assumenda quam enim ad.",온라인
13,18,2023-06-22,양고기,특등급,삼겹살,12988,2556,낮음,봄,False,1182.42,33380,0.925,Temporibus adipisci impedit. Consequatur adipisci reiciendis quisquam.,모바일
14,42,2024-04-27,양고기,3등급,안심,29948,2428,낮음,여름,False,1393.24,16934,0.745,Error ducimus non alias molestias. Enim exercitationem debitis tempora iure vero.,온라인
15,19,2024-01-25,양고기,2등급,안심,27146,328,높음,여름,False,1105.14,24703,0.901,Et aspernatur voluptas fugiat quos repellat enim explicabo. Odio itaque sequi quae. Aperiam rem dignissimos beatae non nihil.,모바일
16,48,2023-07-18,닭고기,2등급,목살,16550,561,높음,봄,False,1343.95,22401,0.945,"Itaque debitis necessitatibus sint.
Voluptatibus doloribus fugiat dolorum. Dignissimos sint voluptatum magni velit fuga doloremque tenetur.",오프라인
17,2,2024-12-16,오리고기,2등급,삼겹살,12827,4651,높음,여름,False,1302.21,33004,0.939,Ab eveniet sit. Voluptas itaque molestias. Sint nostrum quos reprehenderit.,모바일
18,46,2024-08-04,돼지고기,2등급,갈비,32883,4401,보통,겨울,False,1341.85,8736,0.717,Rem praesentium dolorum repellendus eos. Repudiandae beatae dolore perferendis. Aut itaque asperiores dolor sed nesciunt.,오프라인
19,31,2024-07-02,오리고기,1등급,목살,17798,4321,낮음,가을,True,1372.93,21532,0.816,Repellendus reprehenderit dicta quos necessitatibus. Natus expedita iusto qui.,온라인
20,32,2024-11-15,양고기,2등급,삼겹살,30698,2783,낮음,봄,True,1132.1,29544,0.771,Suscipit sint at velit temporibus. Odit corrupti laudantium cupiditate ex non. Ad in adipisci.,온라인
