result_id,takers_id,test_type,test_date,completion_time,total_score,personality_type,stress_level,validity_check,report_generated,bounce_rate,impression_count
1,192,MMPI,2025-05-31,23,102,ENTP,낮음,True,True,0.43,24354
2,31,MMPI,2025-03-28,25,100,ENFP,매우높음,True,True,0.25,27819
3,108,Big5,2024-08-21,119,79,ENTJ,매우높음,True,True,0.28,16592
4,159,MBTI,2025-03-13,20,77,None,높음,True,True,0.52,27727
5,83,MMPI,2024-10-14,106,106,ENFP,높음,False,True,0.27,14824
6,183,MMPI,2025-04-11,110,133,ESTP,보통,True,False,0.54,8993
7,91,Big5,2024-11-01,91,140,ENTJ,낮음,False,True,0.54,49856
8,188,MBTI,2025-04-13,90,106,ISFP,높음,True,False,0.42,42191
9,24,MMPI,2025-03-18,57,126,ENFP,높음,True,True,0.38,16388
10,103,MMPI,2025-01-09,61,64,ISFJ,매우높음,True,False,0.48,35042
11,95,MBTI,2024-10-31,52,148,ESTP,매우높음,True,True,0.33,13940
12,52,NEO-PI-R,2025-05-02,19,138,ENFP,매우높음,True,False,0.78,30166
13,161,MBTI,2024-12-16,102,97,ISFP,매우높음,True,False,0.65,40891
14,143,MMPI,2025-03-07,70,137,ENTJ,낮음,True,True,0.5,20436
15,37,MBTI,2024-07-26,49,66,INFP,높음,True,True,0.22,45849
16,37,NEO-PI-R,2024-10-24,28,138,ENTP,보통,True,True,0.75,12500
17,5,Big5,2025-04-02,87,82,INTJ,보통,False,True,0.73,2449
18,119,NEO-PI-R,2024-09-09,104,92,ISFP,낮음,True,False,0.5,45351
19,111,NEO-PI-R,2024-11-09,80,88,ENTJ,매우높음,True,True,0.38,32861
20,94,MBTI,2025-02-25,106,96,ISFJ,높음,True,True,0.31,8831
21,178,Big5,2025-01-09,106,110,INTJ,보통,True,True,0.43,13163
22,5,MMPI,2024-12-20,90,85,ENTP,보통,True,True,0.47,27824
23,151,MBTI,2025-02-24,36,145,INFP,매우높음,True,False,0.32,35339
24,93,MMPI,2025-05-18,71,129,None,보통,True,True,0.62,49829
25,80,NEO-PI-R,2025-03-21,83,50,ISFP,매우높음,True,True,0.74,22570
26,100,CPI,2024-12-16,77,101,ESTP,낮음,True,True,0.35,20752
27,63,Big5,2024-10-10,99,84,ENTP,보통,True,True,0.47,29715
28,119,MMPI,2024-07-02,24,95,None,보통,True,True,0.61,7106
29,20,CPI,2024-06-08,88,73,ENTP,매우높음,True,True,0.55,27363
30,197,NEO-PI-R,2024-06-21,23,105,INTJ,매우높음,True,False,0.39,2693
31,114,MMPI,2025-03-27,59,120,ENFP,보통,True,False,0.31,35791
32,37,MMPI,2025-01-09,80,134,ENTP,높음,True,True,0.49,47726
33,80,NEO-PI-R,2024-06-18,16,89,ENFP,매우높음,True,True,0.52,43452
34,39,MMPI,2025-04-12,45,52,ISFP,낮음,True,False,0.5,35587
35,122,NEO-PI-R,2024-10-20,39,56,None,높음,True,False,0.73,26416
