transaction_id,user_id,stock_code,stock_name,transaction_type,quantity,price,transaction_date,score,processed
1,2,005930,삼성바이오로직스,매수,18,228166,2025-02-21 07:24:06.857763,78,True
2,49,005380,SK하이닉스,매도,84,388292,2025-01-17 10:24:59.686928,61,False
3,14,005930,현대차,매도,70,341670,2024-12-17 07:41:10.768967,63,True
4,18,000660,SK하이닉스,매도,90,117501,2024-12-02 02:36:40.976274,61,False
5,1,005930,삼성전자,매수,52,14037,2024-12-05 09:41:38.417798,94,True
6,21,005930,삼성바이오로직스,매수,78,254627,2024-12-14 21:19:58.793726,2,True
7,30,005930,SK하이닉스,매수,55,406171,2025-05-15 01:50:48.008857,86,False
8,28,035420,NAVER,매도,20,126770,2025-02-15 03:16:32.083216,64,True
9,4,000660,현대차,매도,30,197373,2025-02-26 04:16:56.156330,80,True
10,2,000660,현대차,매도,20,353301,2025-05-14 22:38:22.527454,90,True
11,37,207940,삼성전자,매수,79,114866,2025-05-15 00:22:08.202894,56,True
12,16,035420,삼성전자,매수,88,407842,2025-05-19 08:47:11.247634,60,False
13,8,005380,현대차,매수,95,198317,2024-12-14 14:04:56.611255,62,False
14,5,035420,삼성바이오로직스,매도,82,402234,2025-05-31 02:34:45.779950,29,True
15,27,035420,삼성바이오로직스,매수,13,244801,2025-04-12 16:20:05.034652,4,False
16,41,207940,삼성바이오로직스,매도,10,96812,2025-01-19 19:21:32.390102,37,True
17,19,207940,NAVER,매수,42,336041,2025-05-25 06:07:29.539263,89,True
18,18,005380,현대차,매수,86,485894,2025-04-19 04:23:00.551744,83,True
19,30,035420,현대차,매수,86,124430,2025-04-07 02:44:12.095245,74,False
20,45,005930,삼성바이오로직스,매도,90,105733,2025-01-25 07:57:16.126724,55,False
21,39,207940,SK하이닉스,매수,37,278081,2025-02-05 12:24:14.115212,31,False
22,12,035420,삼성전자,매도,55,96354,2025-03-23 23:02:30.712585,28,False
23,38,005380,삼성바이오로직스,매수,44,453861,2025-05-20 06:17:15.030755,100,False
24,36,207940,SK하이닉스,매도,66,42558,2025-02-12 16:35:12.355951,16,False
25,23,035420,현대차,매수,58,337311,2025-01-19 01:10:47.623063,99,False
26,39,000660,SK하이닉스,매도,61,291197,2025-03-31 22:46:15.341320,37,True
27,38,005930,삼성전자,매도,64,419415,2025-03-13 10:38:30.458240,64,False
28,5,005380,현대차,매수,19,276650,2024-12-21 04:22:48.338627,57,True
29,37,207940,삼성전자,매수,100,47616,2025-04-08 12:24:33.855804,6,True
30,41,035420,삼성바이오로직스,매도,41,43263,2025-05-13 23:45:18.695100,49,True
31,42,207940,NAVER,매도,43,159372,2025-05-01 01:23:25.372254,56,False
32,49,000660,삼성바이오로직스,매도,23,390618,2025-02-25 14:23:18.419309,33,False
33,12,005930,SK하이닉스,매도,61,442014,2025-03-23 15:49:23.883221,81,False
34,50,035420,NAVER,매도,40,62118,2025-05-22 18:14:41.485515,68,True
35,42,005930,SK하이닉스,매수,16,48859,2025-01-03 22:52:37.759365,28,True
36,1,035420,삼성바이오로직스,매도,93,443837,2025-03-16 20:57:56.481527,43,True
37,41,000660,삼성전자,매도,41,35718,2025-05-06 23:35:47.979168,71,True
38,37,005380,삼성전자,매수,80,251246,2024-12-23 18:28:15.647848,30,True
39,30,005930,NAVER,매도,84,298885,2025-03-23 14:52:08.738023,87,False
40,17,035420,삼성전자,매수,92,460138,2025-02-16 10:08:21.638764,25,False
41,4,207940,현대차,매도,11,140906,2025-01-20 08:12:25.469481,63,False
42,47,207940,삼성바이오로직스,매수,75,131902,2025-04-17 05:09:05.402716,94,False
43,16,005380,SK하이닉스,매도,18,268240,2025-05-12 19:54:24.154068,68,True
44,21,005930,NAVER,매도,62,400421,2025-04-13 01:38:59.952430,98,True
45,44,005380,SK하이닉스,매도,46,490304,2025-04-17 23:30:40.200584,31,False
46,6,207940,NAVER,매수,58,144214,2025-03-27 15:42:08.498358,59,True
47,41,035420,현대차,매도,18,303787,2024-12-25 17:04:25.447664,26,False
48,42,005380,현대차,매도,38,163981,2024-12-19 23:48:06.836482,20,False
49,47,207940,현대차,매수,83,413913,2025-04-30 12:02:00.097816,31,True
50,15,000660,삼성전자,매수,23,294823,2025-01-12 08:42:02.014420,12,True
51,20,005930,삼성전자,매수,74,149940,2024-12-02 09:28:13.979436,62,False
52,13,000660,삼성전자,매수,73,96057,2025-05-23 19:12:56.415824,81,True
53,7,005380,삼성바이오로직스,매도,68,256265,2025-01-13 02:43:50.157882,48,True
54,42,035420,삼성바이오로직스,매도,60,101545,2025-03-16 18:48:01.444576,15,False
55,27,005930,NAVER,매도,10,218260,2025-02-17 23:39:54.691513,14,False
56,17,035420,SK하이닉스,매도,83,333411,2025-02-21 14:55:08.919224,8,True
57,47,000660,SK하이닉스,매도,68,165037,2025-01-29 21:48:37.015560,92,True
58,37,000660,현대차,매수,77,49278,2024-12-19 14:42:15.249498,3,False
59,49,005930,SK하이닉스,매도,71,312734,2025-03-29 08:56:52.246166,24,True
60,38,005380,삼성전자,매도,10,155866,2025-04-12 19:30:07.628496,55,False
61,38,207940,SK하이닉스,매수,73,330782,2024-12-08 08:56:09.301521,57,False
62,35,207940,SK하이닉스,매도,2,260464,2025-05-15 20:56:35.959927,42,True
63,8,005380,현대차,매도,27,192036,2025-03-04 14:43:05.036149,72,False
64,20,035420,NAVER,매수,11,281607,2025-01-21 18:13:25.141149,73,False
65,2,207940,SK하이닉스,매수,35,272794,2025-02-16 05:42:32.517931,32,True
66,27,005380,삼성전자,매도,57,111867,2025-01-08 10:05:38.978890,69,True
67,46,035420,삼성전자,매수,71,450593,2025-01-01 08:36:11.431666,34,False
68,31,005380,현대차,매수,7,265204,2025-02-07 21:40:11.619760,89,True
69,33,000660,NAVER,매도,66,401712,2024-12-14 09:04:43.367182,37,True
70,23,005380,NAVER,매수,50,258796,2025-04-13 17:17:49.619857,59,False
71,46,005930,삼성바이오로직스,매도,12,254318,2025-01-19 21:58:33.664586,90,False
72,17,035420,현대차,매수,75,151851,2025-01-22 08:42:37.282093,22,True
73,16,005930,삼성전자,매도,22,249469,2025-01-03 01:33:55.467122,19,False
74,30,005930,현대차,매수,74,423879,2025-04-07 13:27:17.676163,40,False
75,2,005930,SK하이닉스,매수,56,304655,2025-03-05 00:13:47.346707,96,True
76,3,207940,NAVER,매수,45,433028,2025-05-07 02:49:35.972015,44,False
77,4,035420,NAVER,매수,78,62015,2024-12-29 07:37:20.451319,4,True
78,38,035420,SK하이닉스,매도,76,24028,2025-02-18 14:06:25.853420,3,False
79,3,035420,SK하이닉스,매수,26,478338,2025-03-01 18:40:56.430633,60,False
80,8,005380,삼성바이오로직스,매도,92,490951,2025-01-31 16:40:41.116784,14,False
81,25,005380,NAVER,매도,9,475639,2025-03-27 01:40:31.578956,59,False
82,18,035420,삼성전자,매수,55,23583,2025-04-01 13:13:43.824851,32,False
83,14,005380,삼성바이오로직스,매수,8,172837,2025-03-02 10:22:36.654688,58,False
84,13,005930,NAVER,매수,21,337265,2025-05-07 14:02:47.225364,77,False
85,12,035420,SK하이닉스,매도,81,71411,2025-05-17 14:29:25.179892,95,False
86,8,005380,삼성바이오로직스,매수,51,495122,2025-05-09 23:08:27.007132,33,True
87,14,000660,삼성전자,매도,10,415632,2024-12-31 22:37:51.882114,53,False
88,44,207940,NAVER,매수,53,321015,2025-04-04 23:58:16.325090,31,False
89,7,000660,삼성바이오로직스,매도,14,96857,2024-12-16 04:20:02.730464,65,False
90,21,000660,삼성전자,매수,46,314663,2025-02-18 02:26:38.445797,16,True
91,28,005930,현대차,매수,53,492641,2025-04-20 15:37:19.427268,8,True
92,39,000660,삼성전자,매수,95,160228,2025-02-14 08:07:16.062940,52,True
93,17,035420,현대차,매수,15,458890,2025-02-24 21:57:36.193522,79,False
94,24,035420,현대차,매수,33,480674,2025-01-24 07:01:00.205240,62,False
95,18,207940,SK하이닉스,매수,16,337705,2024-12-06 16:41:13.383674,23,True
96,21,000660,SK하이닉스,매수,57,337253,2025-05-16 22:14:33.081100,30,True
97,23,005930,현대차,매도,96,332516,2025-01-18 15:18:11.133834,45,False
98,4,207940,삼성바이오로직스,매도,32,27365,2025-03-07 12:03:47.455860,72,False
99,21,000660,SK하이닉스,매도,7,476692,2025-02-26 08:29:25.591895,28,True
100,31,207940,NAVER,매수,25,308575,2025-04-15 04:12:54.298718,85,True
101,8,000660,현대차,매도,87,164615,2025-03-13 14:14:44.388927,5,False
102,42,035420,삼성전자,매수,45,405880,2025-05-27 13:31:40.695655,92,False
103,43,000660,삼성바이오로직스,매도,73,349603,2025-02-08 13:37:56.780231,57,False
104,1,207940,SK하이닉스,매도,34,151741,2025-05-05 02:15:09.435979,71,False
105,4,005930,SK하이닉스,매도,7,36255,2025-01-26 10:08:39.592130,4,False
106,1,005380,삼성전자,매수,64,444393,2025-02-23 19:26:03.730102,17,False
107,19,005930,SK하이닉스,매수,38,141571,2025-03-06 23:31:32.179069,16,True
108,7,005930,현대차,매수,88,366687,2025-02-04 15:22:11.245312,16,True
109,48,207940,현대차,매수,24,488427,2024-12-26 05:02:28.710115,43,False
110,50,035420,SK하이닉스,매도,82,490664,2025-01-24 05:46:48.571858,57,False
111,3,005930,NAVER,매수,74,57226,2025-03-23 06:40:52.359507,57,True
112,30,000660,NAVER,매수,51,194168,2025-05-21 13:27:56.887480,5,False
113,25,000660,SK하이닉스,매수,40,98216,2024-12-09 16:22:13.563194,26,False
114,26,000660,NAVER,매도,34,475497,2025-03-26 21:11:02.071970,21,False
115,2,000660,NAVER,매수,93,368087,2025-05-19 11:13:29.720218,92,True
116,38,035420,현대차,매수,43,273616,2024-12-30 18:13:50.059323,61,False
117,32,035420,현대차,매도,84,208488,2024-12-05 18:33:53.736203,27,False
118,50,005930,현대차,매도,83,139815,2024-12-31 16:46:00.184045,65,False
119,32,005930,삼성바이오로직스,매수,49,482984,2025-03-23 05:54:15.818112,87,False
120,50,005380,삼성바이오로직스,매도,42,416767,2025-03-24 12:29:29.711305,96,False
121,37,035420,SK하이닉스,매도,65,272945,2025-05-10 03:46:48.953597,27,True
122,35,000660,NAVER,매도,63,347164,2025-03-26 00:36:47.530098,37,False
123,23,005380,삼성바이오로직스,매도,5,364304,2025-03-29 16:28:55.906607,81,False
124,3,005930,삼성전자,매수,79,391825,2025-01-29 10:26:15.691069,81,True
125,39,005380,현대차,매수,13,134332,2025-05-08 09:37:01.390162,35,False
126,25,035420,현대차,매수,94,336198,2025-03-26 13:02:16.891391,58,True
127,44,000660,SK하이닉스,매수,80,197263,2025-05-27 09:02:51.921504,72,False
128,48,005930,SK하이닉스,매도,56,45143,2025-02-06 23:18:25.288792,44,False
129,25,005380,삼성바이오로직스,매도,30,370249,2025-03-08 16:19:51.396156,35,False
130,45,005380,NAVER,매도,66,312354,2025-05-19 23:10:33.386079,31,False
131,37,035420,현대차,매도,9,320832,2024-12-27 09:26:25.275891,50,False
132,40,000660,SK하이닉스,매수,65,483714,2025-04-26 23:36:53.830484,57,True
133,30,035420,현대차,매도,64,335475,2025-06-01 11:39:01.306283,25,True
134,3,005930,SK하이닉스,매도,44,338520,2025-03-19 13:00:59.065774,45,False
135,33,035420,현대차,매수,33,264124,2025-01-30 20:59:04.238983,71,True
136,39,035420,SK하이닉스,매도,22,18588,2025-04-25 03:18:39.916713,22,True
137,38,005380,삼성전자,매수,41,218690,2024-12-08 19:39:41.899269,15,False
138,37,005380,NAVER,매수,94,203024,2025-01-20 12:12:55.248723,39,True
139,16,005380,SK하이닉스,매도,32,321595,2025-04-22 20:33:16.724464,40,False
140,1,005930,NAVER,매도,56,220533,2025-02-03 00:29:54.186609,14,False
141,34,005380,삼성전자,매수,50,57652,2025-04-19 22:40:42.943088,39,True
142,4,207940,SK하이닉스,매수,99,161014,2025-02-08 18:33:16.355208,82,False
143,38,005930,삼성바이오로직스,매수,75,377393,2024-12-29 18:19:27.165569,79,True
144,38,035420,NAVER,매도,24,56622,2025-03-04 22:14:40.860598,15,True
145,30,035420,NAVER,매수,32,409596,2025-01-02 15:12:58.804223,32,False
146,31,000660,현대차,매도,44,442635,2025-01-30 00:51:53.941525,39,True
147,43,005930,NAVER,매수,3,348202,2025-02-07 19:38:33.481494,44,False
148,34,005930,삼성바이오로직스,매도,31,409497,2025-04-08 16:21:17.220698,94,True
149,23,005930,SK하이닉스,매수,14,290093,2025-04-11 07:28:54.278494,5,False
150,30,207940,삼성전자,매도,32,203130,2025-05-10 17:35:50.904638,95,True
151,13,000660,NAVER,매수,96,63612,2024-12-13 00:26:24.914044,56,True
152,9,000660,NAVER,매도,75,115376,2025-02-26 01:30:59.203696,96,False
153,12,035420,삼성전자,매도,15,300165,2025-01-18 11:19:15.205749,94,False
154,18,035420,삼성전자,매도,8,479295,2025-06-02 00:52:20.575783,74,True
155,38,005380,삼성전자,매수,9,159359,2025-05-06 07:41:11.381692,94,True
156,32,000660,삼성바이오로직스,매수,37,26854,2025-05-11 23:57:40.861967,78,False
157,22,005380,삼성바이오로직스,매도,88,469286,2024-12-22 10:52:34.477455,89,False
158,23,000660,삼성전자,매도,63,126683,2025-05-16 03:36:59.446201,86,False
159,31,207940,삼성전자,매도,30,470120,2025-05-06 13:48:54.172723,34,False
160,16,005930,SK하이닉스,매도,91,32910,2025-03-28 10:14:57.530842,81,True
161,45,005380,삼성바이오로직스,매도,49,202814,2025-05-20 16:59:17.525532,69,False
162,14,000660,SK하이닉스,매도,63,440920,2025-05-04 15:12:03.034295,93,True
163,16,035420,현대차,매도,70,351146,2025-01-14 08:18:27.563768,27,True
164,27,000660,삼성전자,매수,98,165721,2025-01-10 05:12:10.018504,93,True
165,46,035420,SK하이닉스,매수,70,319805,2025-05-28 18:53:14.824512,56,False
166,20,005380,NAVER,매도,21,261978,2025-04-30 16:33:50.917037,96,False
167,8,035420,삼성전자,매도,88,356153,2025-05-02 16:25:42.623897,39,False
168,30,207940,SK하이닉스,매수,60,209819,2025-04-15 17:36:57.705255,3,True
169,38,035420,삼성전자,매도,39,145091,2025-04-16 21:39:29.935727,43,True
170,33,035420,삼성바이오로직스,매도,33,454312,2025-03-25 08:14:12.177085,63,False
171,1,035420,삼성전자,매수,15,104855,2025-01-04 13:15:39.194072,95,False
172,9,000660,삼성바이오로직스,매수,54,36396,2025-04-21 20:17:36.565341,53,False
173,23,005380,NAVER,매수,100,90892,2025-04-02 12:03:11.154586,32,False
174,5,000660,NAVER,매도,34,374637,2025-05-07 21:03:12.532608,52,False
175,41,005930,삼성전자,매도,99,453070,2024-12-14 22:27:14.072142,56,False
176,9,207940,삼성바이오로직스,매도,78,461699,2025-01-20 16:03:45.545187,59,False
177,19,035420,삼성바이오로직스,매도,50,85302,2025-02-21 00:23:47.811137,74,False
178,15,207940,SK하이닉스,매도,61,149683,2025-03-09 00:49:09.605125,65,False
179,48,005930,NAVER,매수,55,483003,2024-12-13 04:43:17.738583,95,False
180,29,000660,현대차,매도,57,172367,2025-03-28 02:34:45.789568,19,False
181,17,005930,삼성전자,매도,41,103823,2024-12-16 12:37:44.023924,2,False
182,15,005380,삼성바이오로직스,매수,30,25579,2025-04-04 11:13:03.674191,39,False
183,37,000660,삼성전자,매도,75,120230,2025-04-19 18:45:02.620213,4,False
184,4,005380,NAVER,매도,98,28417,2025-03-20 21:31:01.711752,26,True
185,48,035420,삼성전자,매수,60,494757,2025-01-22 17:00:09.294007,98,True
186,18,005380,삼성바이오로직스,매도,94,100707,2025-02-07 00:58:18.128701,55,False
187,6,207940,현대차,매도,90,215710,2025-04-30 23:55:38.285760,73,True
188,36,000660,삼성전자,매수,47,354110,2024-12-10 01:14:50.223190,94,True
189,38,005930,SK하이닉스,매수,1,438358,2025-05-06 06:28:10.409338,18,False
190,21,035420,SK하이닉스,매수,74,53380,2025-02-11 21:34:36.808336,94,True
191,31,005380,삼성바이오로직스,매도,46,476740,2024-12-29 10:35:51.052778,48,False
192,42,005380,삼성전자,매수,100,429777,2025-01-15 15:16:26.677136,53,False
193,13,035420,현대차,매도,22,14191,2025-04-23 23:27:05.606757,44,True
194,37,035420,삼성전자,매도,26,302294,2025-05-18 01:17:09.084762,41,True
195,36,005380,SK하이닉스,매도,29,216667,2025-02-07 09:27:44.408858,32,True
