profile_id,counselor,updated_at,max_concurrent_chats,certification,profile_image
1,1,2025-05-31 14:15:28.049700,7,일반,https://counselor.example.com/profile_1.jpg
2,2,2025-05-03 09:28:25.262149,7,심리상담사 2급,https://counselor.example.com/profile_2.jpg
3,3,2025-05-07 20:03:29.057115,6,심리상담사 2급,https://counselor.example.com/profile_3.jpg
4,4,2025-05-03 07:08:46.412127,3,심리상담사 1급,https://counselor.example.com/profile_4.jpg
5,5,2025-05-19 15:05:52.344593,7,일반,https://counselor.example.com/profile_5.jpg
6,6,2025-05-12 14:57:13.726273,8,일반,https://counselor.example.com/profile_6.jpg
7,7,2025-05-23 04:55:07.163716,3,심리상담사 2급,https://counselor.example.com/profile_7.jpg
8,8,2025-05-17 06:20:20.706177,4,심리상담사 1급,https://counselor.example.com/profile_8.jpg
9,9,2025-05-12 20:57:16.234791,5,심리상담사 1급,https://counselor.example.com/profile_9.jpg
10,10,2025-05-13 16:39:51.377477,7,심리상담사 1급,https://counselor.example.com/profile_10.jpg
11,11,2025-05-03 23:23:22.593905,4,상담심리학 석사,https://counselor.example.com/profile_11.jpg
12,12,2025-05-09 07:17:16.551466,7,심리상담사 2급,https://counselor.example.com/profile_12.jpg
13,13,2025-05-03 18:27:48.227134,5,심리상담사 1급,https://counselor.example.com/profile_13.jpg
14,14,2025-05-16 19:41:15.867762,4,심리상담사 1급,https://counselor.example.com/profile_14.jpg
15,15,2025-05-21 10:11:03.712093,4,상담심리학 석사,https://counselor.example.com/profile_15.jpg
16,16,2025-05-08 04:26:07.454931,7,일반,https://counselor.example.com/profile_16.jpg
17,17,2025-05-09 15:30:16.235960,7,상담심리학 석사,https://counselor.example.com/profile_17.jpg
18,18,2025-05-10 12:54:09.561462,6,상담심리학 석사,https://counselor.example.com/profile_18.jpg
19,19,2025-05-30 17:02:00.010749,8,상담심리학 석사,https://counselor.example.com/profile_19.jpg
20,20,2025-05-06 00:20:14.557728,3,심리상담사 2급,https://counselor.example.com/profile_20.jpg
21,21,2025-05-25 09:45:46.109774,4,상담심리학 석사,https://counselor.example.com/profile_21.jpg
22,22,2025-05-11 22:23:25.198651,5,심리상담사 1급,https://counselor.example.com/profile_22.jpg
23,23,2025-05-08 09:05:41.496815,6,심리상담사 2급,https://counselor.example.com/profile_23.jpg
24,24,2025-05-14 09:39:38.193014,8,심리상담사 1급,https://counselor.example.com/profile_24.jpg
25,25,2025-05-31 02:52:22.168344,4,심리상담사 1급,https://counselor.example.com/profile_25.jpg
26,26,2025-05-07 07:49:06.941696,3,심리상담사 2급,https://counselor.example.com/profile_26.jpg
27,27,2025-05-14 05:57:55.077527,6,일반,https://counselor.example.com/profile_27.jpg
28,28,2025-05-16 23:08:22.295465,5,일반,https://counselor.example.com/profile_28.jpg
29,29,2025-05-10 23:29:32.705052,6,심리상담사 1급,https://counselor.example.com/profile_29.jpg
30,30,2025-05-03 13:48:02.787705,4,상담심리학 석사,https://counselor.example.com/profile_30.jpg
31,31,2025-05-24 21:58:35.371983,3,상담심리학 석사,https://counselor.example.com/profile_31.jpg
32,32,2025-05-28 21:00:19.326321,8,심리상담사 2급,https://counselor.example.com/profile_32.jpg
33,33,2025-05-28 10:07:32.260643,6,일반,https://counselor.example.com/profile_33.jpg
34,34,2025-05-11 18:40:48.005586,3,상담심리학 석사,https://counselor.example.com/profile_34.jpg
35,35,2025-05-19 12:06:36.271803,8,상담심리학 석사,https://counselor.example.com/profile_35.jpg
36,36,2025-05-30 07:40:59.404765,8,심리상담사 1급,https://counselor.example.com/profile_36.jpg
37,37,2025-05-07 07:22:19.524838,8,심리상담사 2급,https://counselor.example.com/profile_37.jpg
38,38,2025-05-31 15:45:50.561184,4,일반,https://counselor.example.com/profile_38.jpg
39,39,2025-05-05 19:44:10.158595,5,일반,https://counselor.example.com/profile_39.jpg
40,40,2025-05-10 22:04:11.007070,3,심리상담사 1급,https://counselor.example.com/profile_40.jpg
41,41,2025-05-18 13:40:32.218674,7,상담심리학 석사,https://counselor.example.com/profile_41.jpg
42,42,2025-05-11 15:52:29.090719,8,상담심리학 석사,https://counselor.example.com/profile_42.jpg
43,43,2025-05-15 21:50:46.603925,5,심리상담사 2급,https://counselor.example.com/profile_43.jpg
44,44,2025-05-06 19:50:21.739256,6,일반,https://counselor.example.com/profile_44.jpg
45,45,2025-05-03 05:12:12.780006,8,상담심리학 석사,https://counselor.example.com/profile_45.jpg
46,46,2025-05-31 15:14:57.891428,6,심리상담사 2급,https://counselor.example.com/profile_46.jpg
47,47,2025-05-18 02:29:04.974762,8,일반,https://counselor.example.com/profile_47.jpg
48,48,2025-05-26 00:31:03.618940,5,상담심리학 석사,https://counselor.example.com/profile_48.jpg
49,49,2025-05-28 18:19:51.822923,7,심리상담사 1급,https://counselor.example.com/profile_49.jpg
50,50,2025-05-12 02:11:15.049615,5,심리상담사 1급,https://counselor.example.com/profile_50.jpg
