entry_id,author_id,author_year,entry_date,title,content,mood,mood_score,weather,is_private,word_count,created_at,updated_at
1,23,1990,2024-11-03,Earum asperiores saepe.,"Vero cumque reprehenderit iusto asperiores nulla iste provident. Quibusdam accusantium illum sint. Tenetur laboriosam at.
Doloribus id illum eius tempora rerum. Natus ullam optio aliquam culpa architecto. Numquam debitis cum distinctio ipsum neque consectetur quae. Quam repudiandae perferendis at deserunt.
Ea atque ut placeat modi nisi architecto. Laboriosam nihil atque ipsa enim quaerat voluptatem perspiciatis.
Sed dolor velit nobis accusantium saepe. In rem quibusdam dolore aliquam laudantium. Exercitationem illum repellendus similique.
Impedit iure fugiat. Eius facilis hic blanditiis temporibus. Maiores repellat distinctio.
Esse mollitia eos modi. Laudantium doloremque facilis iure eos voluptates. Harum accusantium cumque maiores accusamus modi quas.
Deleniti maiores officiis exercitationem vitae nemo repudiandae soluta. Quo laudantium consectetur illum nam numquam.
Impedit fugiat iusto suscipit dicta velit. Facilis dolores veniam dignissimos rem magnam. Eius cum similique esse.",매우좋음,2,흐림,False,392,2024-10-25 07:23:18.748009,2025-03-12 06:51:58.471810
2,29,2001,2024-07-06,Sit dicta occaecati.,"Ipsum ullam facilis quas quo. Labore sed quaerat porro vitae eligendi natus. Eum et perferendis magni facilis pariatur.
Blanditiis commodi veniam aut impedit. Explicabo error nemo.
Error magni accusamus minima id. Inventore fugiat ducimus. Blanditiis ratione iusto exercitationem mollitia nam sint.
Quibusdam itaque officiis corrupti. Laborum aliquam necessitatibus ipsam fugiat. Sequi quos aspernatur impedit.
Praesentium ipsa quod sunt tempora alias molestias. Distinctio officiis aliquid quod. Corporis vel debitis voluptates.
In nihil a corporis id. Sit iste fugiat asperiores esse quo. Repellendus repudiandae perferendis ut. Distinctio odit deserunt error.
Placeat quas debitis tenetur modi iste et officia. Consectetur voluptatem commodi consectetur sunt amet.
Assumenda deserunt in fugiat recusandae possimus mollitia. Atque possimus enim fugiat perspiciatis culpa.",좋음,4,맑음,True,1556,2024-07-14 00:00:59.822701,2025-02-04 10:20:22.944470
3,32,1996,2025-04-01,Vitae minima tempore ratione.,"Tempora quaerat esse fugit culpa odio in. Nemo cupiditate dicta dignissimos magnam.
Quidem et suscipit iusto iusto ipsam. Qui adipisci dolorum esse eveniet tempora laudantium. Sint nam exercitationem alias.
Facilis cum officia dolor necessitatibus. Ratione illum natus explicabo dolore quae.
Doloremque quaerat rem soluta ducimus. Enim culpa consequatur cumque sapiente. Pariatur sapiente in eum dolorum nobis.
Nemo quibusdam hic et ipsa reiciendis est aperiam. Aut dolore nemo est hic consequuntur. Sequi deleniti excepturi labore.
Maxime optio iste quis eligendi doloremque nisi neque. Nostrum a occaecati veritatis quas minus omnis. Repellendus nemo impedit unde qui iusto.
Doloremque iure animi similique quam dignissimos reprehenderit fugit. Facilis eaque itaque minus repudiandae. Porro rem reprehenderit vitae.
Voluptates in unde nostrum dolorem id. Voluptates enim eum recusandae sed similique.",나쁨,4,맑음,False,120,2024-10-07 03:57:51.275240,2025-01-29 00:01:58.120214
4,28,1998,2025-04-28,Assumenda amet provident debitis aspernatur.,"Adipisci illo dolor alias accusamus laudantium numquam. Incidunt deserunt sed quae nihil. Autem molestiae quas a.
Nobis doloremque magnam praesentium reiciendis. Totam enim delectus amet aliquam. Totam placeat harum minima tempore natus.
Dolorem pariatur natus officia officia magni. Consectetur architecto temporibus saepe minus dolor. Doloribus vel ducimus vitae minus.
Dolores eos ipsa minus at recusandae. Nihil modi perspiciatis iusto vero. Sequi sit nobis voluptatem quaerat dolor alias cum.
Nobis inventore aspernatur itaque cumque nesciunt vitae incidunt.
Exercitationem repudiandae minima asperiores commodi assumenda sed. Animi necessitatibus totam veniam ad maxime. Nisi aut qui sapiente enim odio modi.
Quasi quia corporis ducimus. Occaecati repellat ullam.
Ad voluptas sapiente earum nobis delectus quae. Alias repudiandae incidunt molestias. At quidem veniam ratione ab impedit.
Cumque quisquam ullam. Natus odit consectetur expedita tempora.",매우나쁨,2,맑음,False,1554,2025-01-17 13:11:45.809561,2025-04-03 21:45:11.752079
5,9,1984,2025-05-24,Nulla nisi adipisci.,"Voluptatem quasi minus est quas explicabo minus. Cupiditate nam quasi dolorum voluptatibus. Error accusantium alias adipisci.
Natus quibusdam ad dolorum. Mollitia facilis vitae tempora rerum labore esse tempore.
Saepe omnis sapiente natus. Commodi fugiat voluptatum possimus doloremque aperiam a. Nostrum illum commodi tenetur aperiam.
Possimus nam doloremque. Quibusdam doloremque earum velit accusamus quod. Fugit velit in debitis hic.
A illo quos porro mollitia.
Nostrum neque excepturi corrupti nostrum dignissimos consectetur tempore. Consectetur dolorem voluptas numquam quas. Vel inventore porro explicabo ducimus. Facere aliquam reprehenderit quos voluptatum.
Distinctio facere nobis illo enim ipsam. Inventore consequuntur quam error incidunt veritatis numquam.
Id accusantium eos. Suscipit praesentium accusamus asperiores.
Numquam voluptas iusto aspernatur fugit sint. Ipsum ipsum inventore tempore aut omnis eligendi. Iure impedit fugit eius eaque.",매우나쁨,2,눈,False,840,2025-03-01 23:30:24.409406,2025-01-28 10:31:31.966200
6,30,2000,2025-02-03,Facilis perferendis dolore nesciunt.,"Dolore occaecati nihil esse. Laborum illum expedita dignissimos ea laboriosam deleniti. Distinctio perspiciatis eum perspiciatis.
Sint impedit nihil repellendus consequuntur. Fugit magni aut quasi odio. Amet veritatis rem autem quisquam et.
Voluptas nemo placeat tempora aliquam eum officiis quisquam. Commodi voluptatum aut omnis atque facere eius eligendi. Maxime quidem est earum eius.
A necessitatibus ducimus iure impedit quis assumenda. Itaque accusantium velit neque. Excepturi dolores animi debitis.
Ducimus voluptas dolorum soluta nihil illum repudiandae. Voluptas cumque reiciendis aliquam non ea impedit ducimus.
Repellat iusto aperiam minima. Aut minus magni tenetur ipsam ducimus ea. Nihil voluptatem saepe ea et totam. Deleniti delectus voluptates facilis blanditiis.
Expedita praesentium quo itaque minima eligendi natus. Doloremque excepturi soluta reiciendis pariatur magnam. Accusantium pariatur labore tenetur magnam earum. Ad est quo cum deleniti tenetur.",좋음,9,흐림,True,1232,2024-06-04 06:37:58.650691,2025-01-14 08:47:28.442241
7,8,1983,2024-06-04,Molestias a tempora nemo at nostrum.,"Esse aspernatur impedit numquam ullam alias. Culpa dolorum cupiditate tempora voluptates voluptates. Debitis natus magni qui.
Explicabo natus omnis pariatur voluptatibus nisi sed dolorem. Voluptas optio quas eius. Facilis optio porro et.
Dignissimos vel veniam. Provident beatae optio fuga voluptatibus.
Nisi reiciendis odit ducimus aut. Repellat expedita quibusdam autem facilis aut aut.
Sit veritatis modi deserunt doloribus nobis quis maiores. Aliquam odit enim accusamus eveniet eveniet maiores. Consequuntur accusamus cum aspernatur magni aut praesentium.
Sed illum voluptates sapiente ipsam iste. Numquam deserunt in.
Dicta itaque sunt temporibus dolor rem illo. Vel saepe repellat tempora rerum modi.
Laborum vitae doloremque suscipit veritatis voluptas ducimus. Natus porro placeat quaerat pariatur accusantium nam voluptatibus. Cum nisi in repellat reprehenderit voluptates.
Eveniet quis animi recusandae ab. Cumque possimus dolorem veritatis minus et.",매우나쁨,4,눈,False,1075,2025-05-19 08:27:58.263738,2025-04-02 15:29:54.428817
8,11,1984,2024-11-30,Dolor nobis nihil.,"Ex rerum fugiat provident.
Iure asperiores facilis assumenda assumenda. Alias odio ab assumenda blanditiis vitae. At sed ratione ad quas eveniet. Aut sit quo.
Quasi autem quibusdam quas aspernatur reprehenderit. Blanditiis neque maxime impedit adipisci quia provident omnis. Ducimus omnis amet accusamus.
Tempore ratione aut reprehenderit molestias. Occaecati consequatur enim culpa aut dolorem beatae quibusdam. Repellat distinctio nisi amet recusandae ipsum ea officiis.
Cumque natus voluptatem. Pariatur nam minus explicabo consectetur animi quo molestias.
Autem quibusdam natus. Distinctio provident possimus consequuntur cumque exercitationem. Porro aspernatur dignissimos.
Tempora neque eveniet sit quos a voluptate rerum. Ex maxime ducimus vel laudantium quaerat omnis. Soluta voluptate ipsum sed ipsa similique.
Quam velit molestias molestiae vero cum. Labore illum mollitia et vero.
Dolore qui facere facilis. Deserunt dolorum explicabo id nemo sint est.",매우나쁨,1,맑음,True,716,2024-07-05 05:25:48.132138,2025-03-30 01:43:46.698477
9,17,1986,2024-09-05,Exercitationem ipsa rerum perspiciatis.,"Officia laborum quo veritatis consequuntur cumque fugiat saepe. Nam ipsa voluptate vero esse eaque harum animi. Earum odio amet.
Nobis tempora quidem minima repudiandae. Voluptatum id dolorum. Et molestias eveniet earum recusandae velit optio dicta.
Sequi dolore cum accusantium aperiam laudantium.
Dolorem asperiores adipisci eveniet dolor praesentium. Eos nemo libero harum accusamus quos voluptatum autem.
Eaque maiores tempora est facere. Dicta asperiores quas vero ab cum.
Consequuntur sequi maxime quasi reprehenderit. Tenetur ipsum quos error consequuntur enim. Nihil aliquam vitae sint eligendi.
Laborum repudiandae cumque occaecati nobis vero. Repellendus possimus quasi.
Est illum reprehenderit. Quis maxime praesentium voluptatem ab. Unde eveniet quidem adipisci velit minima.
Impedit in et aspernatur temporibus. Eaque doloremque nihil adipisci veniam.
Maxime omnis explicabo occaecati labore. Similique optio incidunt nostrum vero odio rem.",나쁨,4,비,False,1053,2025-03-29 14:29:19.753875,2025-04-22 01:29:02.180873
10,31,1999,2024-11-10,Esse aliquid iure adipisci.,"Ducimus id perferendis ipsum minima voluptas fugit. Iste explicabo cum tempore dolorum expedita voluptates. Eius repellat maxime fugit veritatis.
Molestiae iure placeat mollitia quibusdam ducimus fugit. Labore consequatur distinctio officia cumque unde fuga.
Repellat mollitia perspiciatis iste eaque quibusdam facere.
Quo suscipit labore beatae facilis. Ea quod exercitationem et repellat odio laboriosam.
Sint velit voluptatibus omnis quam fugit quasi. Ex ipsum voluptatem autem. Quos nihil cumque cum hic eos commodi.
Libero ducimus aut. Totam et quae.
Rerum eos ipsum cumque. Nemo eius repudiandae perferendis.
Aliquid molestias itaque. Molestiae quas cupiditate deserunt assumenda.
Eaque ab voluptate minus praesentium accusantium ea consectetur. Numquam laboriosam perspiciatis voluptates nihil voluptatibus. Sapiente vero quaerat similique quam ratione.
Accusantium libero excepturi maiores at magnam debitis minus. In rem laboriosam magnam.",매우나쁨,2,바람,True,1308,2024-12-12 11:37:28.481440,2025-05-26 14:13:59.655610
