entry_id,author_id,author_year,entry_date,title,content,mood,mood_score,weather,is_private,word_count,created_at,updated_at
233,24,1987,2025-01-07,Officiis ipsam ad nihil.,"Ducimus accusamus modi tempora veritatis. Quas impedit quas doloribus.
Quos officia sed. Qui similique eaque quisquam laborum blanditiis. Assumenda quod quis aut itaque.
Saepe perspiciatis dolorum nobis a laborum possimus. Harum nihil voluptas eaque officia voluptates. Est possimus rerum voluptate amet voluptatibus.
Reprehenderit aperiam nulla doloremque nobis. Laboriosam sequi totam qui culpa. Adipisci architecto occaecati ipsam non ea.
Omnis est molestias delectus ab cumque. Id id porro. Voluptatum est tempora repellendus deserunt.
Numquam laboriosam nam dolorum. Et quaerat nemo. Consequatur voluptates non debitis.
Vel nulla dolore odio iste ducimus. Voluptas temporibus commodi quam inventore nemo. Placeat quisquam libero facilis vitae.
Architecto fugiat minima sequi. Impedit corporis culpa ex sunt quos.
Exercitationem eum dolorum itaque a. Tenetur consequatur unde culpa itaque. Placeat dolore perspiciatis deleniti vero.",매우나쁨,9,비,True,309,2024-11-24 21:09:27.439834,2025-05-08 09:13:14.436883
50,40,2005,2024-06-23,Velit iure ad.,"Quia nostrum sunt. Placeat magni ullam.
Perspiciatis quae nemo recusandae amet officia. Saepe sint exercitationem porro consectetur assumenda.
Error possimus aperiam atque quod architecto ad. Deleniti ut consectetur.
Nobis nisi commodi saepe perferendis voluptatibus. Expedita ducimus aliquid tempore dolores odio magni. Quod aut eius.
Adipisci saepe tempore occaecati laboriosam saepe reprehenderit. Et fugiat nihil atque iusto. Architecto quisquam maiores ea.
Sequi alias corporis itaque fuga praesentium esse numquam.
Explicabo repudiandae quo temporibus inventore. Blanditiis occaecati veritatis totam autem.
Labore aliquam atque. Molestiae est vitae facere neque possimus fugiat. Rem dolores voluptatibus quos consequuntur dolores. Temporibus voluptatibus dolorum.
Aliquid ad culpa nisi culpa dignissimos. Voluptas consequuntur voluptas doloremque sequi in optio quam.",좋음,9,맑음,True,254,2024-11-27 17:20:59.969973,2025-01-06 00:18:34.681897
164,7,1993,2024-09-17,Quas voluptatibus quibusdam ipsam.,"Eaque nulla repellendus. Quam et sed ipsum. Reiciendis eos dignissimos corporis beatae nulla minus commodi.
Atque ex illum dignissimos exercitationem aspernatur. Modi est beatae laboriosam sed tempore ullam. Ex neque dicta sapiente deleniti.
Cumque ipsa facere. Nemo laudantium vitae repudiandae deserunt quam.
Ab libero eligendi sed maxime. Rerum tempore quod a natus.
Ipsum recusandae aperiam reiciendis inventore. Illo qui quidem blanditiis dolor sed nemo. Repellat ipsa quisquam molestiae fugit.
Dolorem harum aliquid quae. Consequatur quibusdam culpa eum nemo itaque iusto odio. Dolore quisquam quisquam blanditiis doloribus maiores dicta quos.
Maxime quis adipisci tenetur asperiores maxime. Ratione fugit omnis alias modi aut. Neque blanditiis adipisci ab. Nam sequi exercitationem sunt placeat quae explicabo nam.
Mollitia in veniam sequi iusto. Quo at in aperiam.",보통,4,바람,True,876,2025-03-11 16:27:06.252581,2025-04-17 07:04:13.104420
81,10,2003,2024-12-16,Minus aperiam magni animi officiis repellendus.,"Consequuntur aliquam optio omnis. Atque ullam distinctio molestiae. Accusamus temporibus voluptates facere aliquam omnis beatae.
Suscipit minima ratione ad incidunt laudantium. Ducimus placeat ex fugit rerum quas ex repellat.
Expedita repellendus hic consequuntur. Expedita veniam in dicta. Accusamus suscipit harum eaque nostrum sit. Aperiam harum deleniti temporibus sit voluptates.
Earum et nihil libero vero facere. Sequi magnam architecto vel possimus ducimus quaerat.
Magni officiis iste explicabo est. Tempora odit unde pariatur. Commodi eos blanditiis totam.
Odit placeat eum dicta voluptatum. Molestias facere ducimus.
Deleniti fugit ipsam est et sed quod. Consequuntur eligendi perferendis libero enim dicta provident. Consectetur laborum voluptatibus nesciunt.
Earum quae culpa molestias quam nam reprehenderit. Magni distinctio nihil consequuntur. Reprehenderit reiciendis accusamus repellat. Velit quos esse expedita tenetur.
A non omnis porro. Explicabo sint quasi quasi.",나쁨,1,바람,True,1894,2025-03-09 13:03:19.505257,2024-12-19 10:35:44.057609
35,20,1994,2024-10-21,Totam distinctio ipsum maiores.,"Facere incidunt quae explicabo veritatis. Corporis explicabo aperiam modi.
Quia quasi quas perferendis beatae unde. Perspiciatis praesentium totam.
At consectetur velit quo pariatur recusandae.
Deleniti optio aut. Ex inventore expedita iusto ducimus ducimus. Sequi quibusdam accusantium sint cupiditate.
Dolorem blanditiis perferendis libero est nihil. Dolorem quod perferendis. Nulla quo suscipit nisi similique consequatur adipisci.
Fuga ipsam ipsa dolores numquam deserunt. Accusantium illo voluptatibus amet. Quia harum ducimus quasi voluptate soluta odit.
Labore aut dolor ex quae. Qui aperiam dolore totam amet. Qui ex sint non ipsum at praesentium doloremque.
Aliquid optio est. Debitis enim cum sequi delectus blanditiis.
Exercitationem omnis architecto ipsa cumque. Nisi id culpa veniam facere ipsa aspernatur.
Veniam fugiat hic inventore cum atque nisi. Officia blanditiis soluta voluptate architecto a laborum. Veritatis facere quidem ducimus.",나쁨,1,흐림,False,1611,2025-03-10 07:05:18.126127,2025-03-29 20:10:20.585500
207,10,1986,2025-02-27,Cumque adipisci sunt odio.,"Aut iste ullam ipsa. Similique odio ipsam qui.
Quidem veniam rerum sed. Magnam ratione ullam ratione culpa totam cupiditate deleniti.
Ratione fuga eveniet ullam. Nihil neque repellat saepe nobis ratione. Molestias totam exercitationem cupiditate voluptatibus.
Ea autem porro mollitia tenetur sint. Quos repellendus ratione quibusdam non odio.
Enim rerum quaerat tenetur. Officia saepe delectus optio iure. Eum reiciendis tempora repellendus consequuntur.
Totam vitae beatae aspernatur similique eligendi. Quo ipsum minima labore nostrum modi eaque dolores.
Odio illum tempora doloremque voluptate. Neque iure repellat laborum amet ea ab suscipit.
Repellat minima consequuntur quia dicta cupiditate. Quos laboriosam perspiciatis modi veniam. Quas ea inventore doloremque odio debitis sit. Aliquam accusantium dolorum consequatur.
Quidem eligendi suscipit inventore molestias. Voluptatibus excepturi quisquam maxime sunt culpa minima.
Voluptatum doloremque labore.",매우좋음,3,바람,True,658,2025-03-13 12:54:59.441275,2025-05-14 11:40:32.444102
8,11,1984,2024-11-30,Dolor nobis nihil.,"Ex rerum fugiat provident.
Iure asperiores facilis assumenda assumenda. Alias odio ab assumenda blanditiis vitae. At sed ratione ad quas eveniet. Aut sit quo.
Quasi autem quibusdam quas aspernatur reprehenderit. Blanditiis neque maxime impedit adipisci quia provident omnis. Ducimus omnis amet accusamus.
Tempore ratione aut reprehenderit molestias. Occaecati consequatur enim culpa aut dolorem beatae quibusdam. Repellat distinctio nisi amet recusandae ipsum ea officiis.
Cumque natus voluptatem. Pariatur nam minus explicabo consectetur animi quo molestias.
Autem quibusdam natus. Distinctio provident possimus consequuntur cumque exercitationem. Porro aspernatur dignissimos.
Tempora neque eveniet sit quos a voluptate rerum. Ex maxime ducimus vel laudantium quaerat omnis. Soluta voluptate ipsum sed ipsa similique.
Quam velit molestias molestiae vero cum. Labore illum mollitia et vero.
Dolore qui facere facilis. Deserunt dolorum explicabo id nemo sint est.",매우나쁨,1,맑음,True,716,2024-07-05 05:25:48.132138,2025-03-30 01:43:46.698477
172,8,1995,2024-12-21,Illo distinctio corporis officiis consectetur consequatur.,"Ea eius asperiores cum id. Pariatur delectus quod magnam aliquid aspernatur fugit.
Dignissimos tenetur totam mollitia sint repellat. Ut quisquam error itaque natus nostrum occaecati. Occaecati eligendi dolorem iure temporibus explicabo voluptatum.
Dicta est nulla unde. Accusantium numquam suscipit excepturi provident reiciendis. Quos architecto officia corporis recusandae.
Ea libero fuga doloremque velit ut. Ab quod blanditiis veritatis amet harum.
Commodi cum excepturi ipsum. Corporis quas consectetur soluta ex id. Esse aspernatur provident distinctio asperiores.
Explicabo explicabo est aliquam nulla. Ratione consequuntur dolores hic voluptatem.
Quam id repellendus magnam officiis ex reiciendis consequuntur. Suscipit laborum ab molestiae voluptatem accusantium. A optio repellendus necessitatibus rem culpa exercitationem.
Dolore repellat culpa exercitationem aperiam minus. Assumenda reiciendis eligendi nihil quis eius. Nisi dolores quam illum.",보통,10,흐림,True,1367,2025-05-31 00:46:12.510668,2025-02-28 11:43:51.375657
111,6,1994,2024-08-08,Tempora id doloremque similique.,"Rem magnam accusantium voluptatibus. Modi qui blanditiis doloremque facere ullam vitae nobis. Pariatur esse recusandae repellendus atque natus aperiam.
Voluptatum occaecati eligendi ab maiores. Dolorum at deserunt debitis excepturi repellendus.
Nesciunt facilis sit illo laboriosam quasi odit. Animi earum doloribus eum ducimus vel animi.
Expedita debitis iusto provident esse iusto sequi mollitia. Optio expedita inventore alias voluptatem et minus laboriosam. Quo quas est earum.
Omnis officia eaque aut quos reprehenderit voluptates. Neque perspiciatis deleniti quo tempore explicabo unde. Neque in repellat occaecati sequi praesentium.
Labore corporis fuga quae ullam. Possimus ducimus sunt odio magnam fugiat rerum. Eum est voluptatibus commodi consectetur quas magnam.
Perferendis nesciunt maxime dolores ullam. Necessitatibus accusantium voluptatum molestiae.
Architecto fuga distinctio atque tempora veritatis similique vero. Veniam distinctio quo. Corrupti eius assumenda consequuntur at.",매우좋음,1,흐림,False,1372,2025-05-28 19:33:06.964567,2025-03-08 05:04:38.819937
92,32,1981,2025-01-23,Pariatur laborum porro.,"At vero assumenda ratione. Neque eius doloremque vitae alias quod recusandae tempora.
Sint voluptate tempore vitae ea. Excepturi laboriosam tempora itaque itaque molestias.
Veniam praesentium occaecati ducimus optio fugit. Voluptatem quod optio. Pariatur perferendis accusamus molestias. Labore a neque accusantium nobis possimus.
Odio tempora ab commodi. Debitis ea error deleniti harum inventore fugiat. Aperiam atque eaque totam.
Voluptatem quod perspiciatis nulla. Architecto asperiores soluta aut perferendis accusantium perferendis delectus.
Dolor aperiam magnam optio porro sint voluptatem. Natus commodi nemo quaerat nostrum fugiat.
Nisi sunt ducimus maiores quas aspernatur dolore. Aut vero ipsa vitae quis quos.
Voluptas cupiditate consectetur natus. Quod neque a minima. Aperiam reiciendis veniam vero.
Eveniet possimus illum sit. Temporibus corrupti ab consectetur excepturi quia ipsa.",보통,10,흐림,True,682,2024-06-19 23:40:04.117977,2025-02-22 21:52:59.433779
