entry_id,author_id,author_year,entry_date,title,content,mood,mood_score,weather,is_private,word_count,created_at,updated_at
143,23,2002,2024-11-30,Fugiat ipsum ex eligendi atque.,"Ullam laborum fugit corporis nesciunt non. Voluptatibus veritatis quidem.
Quis quis alias culpa ipsum possimus. Magni optio neque odit optio beatae.
Minus repellat odio vero ut maiores fuga recusandae. Officia dignissimos rerum distinctio exercitationem corrupti animi.
Maxime praesentium voluptate temporibus quos. Quia incidunt nisi inventore. Illo distinctio mollitia asperiores expedita distinctio.
Consequatur commodi non. Ratione perspiciatis nisi iusto soluta reprehenderit. Nostrum architecto voluptatibus.
Adipisci consequuntur aut dignissimos. Velit perspiciatis quos quo vero perspiciatis.
Explicabo corporis sunt ut a laborum voluptates. Maiores cupiditate quisquam reiciendis cupiditate necessitatibus ullam.
Minima laudantium ullam reiciendis atque.
Deleniti neque amet quo numquam saepe laudantium repudiandae. Deleniti rem velit est. Illo nulla architecto culpa totam laboriosam ipsa.",보통,7,바람,False,62,2024-07-03 02:32:55.536755,2025-02-03 17:21:41.961968
7,8,1983,2024-06-04,Molestias a tempora nemo at nostrum.,"Esse aspernatur impedit numquam ullam alias. Culpa dolorum cupiditate tempora voluptates voluptates. Debitis natus magni qui.
Explicabo natus omnis pariatur voluptatibus nisi sed dolorem. Voluptas optio quas eius. Facilis optio porro et.
Dignissimos vel veniam. Provident beatae optio fuga voluptatibus.
Nisi reiciendis odit ducimus aut. Repellat expedita quibusdam autem facilis aut aut.
Sit veritatis modi deserunt doloribus nobis quis maiores. Aliquam odit enim accusamus eveniet eveniet maiores. Consequuntur accusamus cum aspernatur magni aut praesentium.
Sed illum voluptates sapiente ipsam iste. Numquam deserunt in.
Dicta itaque sunt temporibus dolor rem illo. Vel saepe repellat tempora rerum modi.
Laborum vitae doloremque suscipit veritatis voluptas ducimus. Natus porro placeat quaerat pariatur accusantium nam voluptatibus. Cum nisi in repellat reprehenderit voluptates.
Eveniet quis animi recusandae ab. Cumque possimus dolorem veritatis minus et.",매우나쁨,4,눈,False,1075,2025-05-19 08:27:58.263738,2025-04-02 15:29:54.428817
98,14,1994,2025-04-12,Doloribus quidem illum.,"Sequi inventore velit alias id. Accusantium harum voluptate id ratione dolorem. Architecto rem eos velit velit. Suscipit iusto in hic doloribus.
Fuga velit esse doloremque accusamus. Eligendi aut id tempora ad blanditiis eligendi.
Distinctio minima quos itaque magni placeat. Quis aut necessitatibus vero.
Eum optio animi unde occaecati mollitia suscipit perspiciatis. Ad sit quam optio harum.
Voluptates in quaerat molestias amet. Sapiente suscipit molestiae repellendus.
Beatae qui sed ipsam assumenda minus nobis aperiam.
Placeat consequuntur sequi perferendis accusantium beatae. Perspiciatis ipsa est ullam repellendus.
Dicta maiores necessitatibus quos repellat nesciunt. Earum quos id amet et. Quo architecto quos deserunt nihil. Ipsa molestiae dolorum nobis at ut officiis neque.
Cum fugiat fugit fugit error ad sint. Cum molestiae quia quasi eos soluta vel.
Nobis ipsam saepe nam aliquid officia deserunt.",나쁨,7,눈,True,1261,2025-03-13 03:28:55.349339,2025-04-23 16:57:44.771698
61,6,2005,2024-11-21,Iusto quod qui blanditiis beatae distinctio.,"Reprehenderit voluptate numquam ducimus facere accusamus voluptate. Explicabo eaque dicta saepe accusantium placeat temporibus.
Soluta recusandae dolores maiores ut. Molestias ut unde delectus.
Necessitatibus consequatur adipisci id perferendis voluptas tenetur aperiam.
Deserunt expedita sequi repellendus dolore nam. Dolore quasi tenetur dignissimos. Id ipsum blanditiis. Quisquam accusantium vitae quod blanditiis eum.
Vero illo totam. Reprehenderit omnis in autem aspernatur eum. Labore cumque molestiae doloremque quaerat esse. Quae ad placeat maxime.
Odit tenetur sunt nobis doloribus totam dolorum. Unde porro delectus eum ratione veniam voluptatum fugiat.
Magni nostrum tempora. Magnam culpa qui. Minus vel dolores possimus.
Incidunt tenetur inventore recusandae sint. Nobis ea dignissimos sunt.
Magni nihil officia. Nam ut ex omnis accusantium perspiciatis.
Deleniti voluptatum odio eum ipsam odio vitae non.",매우좋음,4,비,True,594,2025-02-18 17:38:39.369925,2025-02-06 08:48:53.079551
113,14,2005,2024-07-06,Officiis officiis officiis similique.,"Omnis assumenda quam reiciendis deserunt. Praesentium fuga asperiores id numquam. Eum modi fugit maxime.
Ullam dicta molestias consequuntur molestias. Aliquam suscipit adipisci ratione. Laborum distinctio commodi excepturi suscipit maxime.
Non consectetur repellat culpa sed repellat. Facilis necessitatibus similique accusantium quod doloremque. Corrupti animi cumque consequuntur quae assumenda. Fugit ratione voluptatibus maiores.
Iure consequatur in eveniet quas corporis quisquam. Quia vel eius voluptatem in vel.
Iste laborum eos repellat aliquid. Libero iste laboriosam ipsa. Repudiandae voluptate amet sit ab sed aperiam.
Magnam ut deserunt expedita veritatis. Dolor numquam temporibus accusantium.
Exercitationem fuga hic aperiam tenetur magni vel. Neque repudiandae enim dicta eligendi necessitatibus.
Omnis error quisquam repellendus explicabo velit possimus. Officiis recusandae hic eos et molestiae perspiciatis vitae. Doloremque error at eos voluptas nobis delectus.",나쁨,8,바람,True,1695,2024-09-06 07:55:55.427889,2024-12-14 16:23:36.887706
182,24,1997,2025-04-07,Mollitia laborum eos.,"Ex occaecati iste neque. Quia quisquam ratione. Dolor quas aperiam adipisci in exercitationem.
Temporibus impedit minus ea recusandae. Reprehenderit illo eaque quaerat. Libero tempore fuga autem tempora.
Aut occaecati natus consequuntur eos voluptatibus atque aperiam. Corrupti cumque omnis modi consequuntur eum earum perspiciatis. Voluptas maxime corrupti voluptate magnam nobis sed.
Minus hic nihil doloremque fuga deserunt. A reprehenderit quas. Quod aliquam sit illo.
Incidunt dicta explicabo dolorum repudiandae accusantium. Harum vitae minima a dolore magni deleniti.
Exercitationem expedita tenetur maxime sunt dolorum occaecati. Odit laboriosam ipsam dignissimos.
Ut odit hic nobis fugiat. Voluptatem aliquid odit non labore. Porro quia ut debitis libero.
Voluptates cupiditate adipisci dicta sapiente illo cumque inventore. Occaecati et aperiam ab eius ducimus corporis.
Reprehenderit dolore iste officia dicta id. Quaerat quidem magni repudiandae blanditiis soluta aut.",매우좋음,6,바람,True,348,2024-12-14 00:04:08.832909,2025-01-14 04:25:48.346047
198,40,2004,2024-06-17,Id sed dicta.,"Veritatis nobis neque porro quidem. Vel vel repellat voluptate iusto. Impedit aut optio aperiam tempora.
Earum ea quos sunt quasi natus. Quidem corporis quidem voluptas quaerat expedita.
Est accusamus pariatur vel amet aperiam. Recusandae nulla ad. Est dignissimos tempore tempora.
Qui quis officia suscipit porro. Nihil minima nam. Dignissimos accusantium a ducimus doloribus rerum.
Repudiandae quam voluptates exercitationem sed minus fuga.
Iste soluta illum eius et. Deserunt deserunt perspiciatis velit occaecati incidunt. Aut inventore quo delectus nemo adipisci deleniti.
Dignissimos facilis dignissimos perspiciatis commodi animi voluptates. Aperiam ut aliquam at commodi ab atque. Harum illum aliquam repellat praesentium illo animi sint.
Commodi consequuntur nulla optio eius ab. Maxime unde facere.
Similique reprehenderit aspernatur rerum. Pariatur mollitia molestias voluptate nobis. Tempore ab illum deleniti accusamus.",보통,10,바람,False,1113,2025-02-27 08:48:48.539516,2025-04-30 10:50:16.978473
185,28,1997,2024-10-11,Vitae cupiditate nostrum.,"Nesciunt vitae a inventore facilis. Eligendi sequi harum. Asperiores dignissimos accusamus facilis porro est incidunt.
Officia sit totam praesentium dolorem veritatis ut. Fugiat architecto inventore animi placeat officia provident.
Possimus dolorum quos doloribus beatae quis. Neque aspernatur odit commodi excepturi.
Ex provident culpa dolor aspernatur. Numquam sed eveniet tempore.
Accusamus inventore sed fugit. Nulla quaerat suscipit repellat voluptates dolorem quam.
Dolore reiciendis fugit. Magnam quidem quo nam quaerat. Dolore quas exercitationem officiis eius laboriosam nesciunt.
Possimus at quaerat eius. Ab asperiores laboriosam quis veritatis. Natus exercitationem voluptatem pariatur labore.
Vero et ab suscipit pariatur. Culpa nemo voluptatum eveniet minus. Animi hic eos.
Eveniet in possimus nam voluptatem dolorum. Id laudantium iste atque fugiat et.
Quisquam pariatur minima nostrum quis. Ratione aspernatur quasi ipsum sunt optio dicta. Odio iure earum neque fugit.",좋음,8,흐림,True,1739,2025-02-05 09:44:54.827598,2025-05-14 05:08:19.927957
10,31,1999,2024-11-10,Esse aliquid iure adipisci.,"Ducimus id perferendis ipsum minima voluptas fugit. Iste explicabo cum tempore dolorum expedita voluptates. Eius repellat maxime fugit veritatis.
Molestiae iure placeat mollitia quibusdam ducimus fugit. Labore consequatur distinctio officia cumque unde fuga.
Repellat mollitia perspiciatis iste eaque quibusdam facere.
Quo suscipit labore beatae facilis. Ea quod exercitationem et repellat odio laboriosam.
Sint velit voluptatibus omnis quam fugit quasi. Ex ipsum voluptatem autem. Quos nihil cumque cum hic eos commodi.
Libero ducimus aut. Totam et quae.
Rerum eos ipsum cumque. Nemo eius repudiandae perferendis.
Aliquid molestias itaque. Molestiae quas cupiditate deserunt assumenda.
Eaque ab voluptate minus praesentium accusantium ea consectetur. Numquam laboriosam perspiciatis voluptates nihil voluptatibus. Sapiente vero quaerat similique quam ratione.
Accusantium libero excepturi maiores at magnam debitis minus. In rem laboriosam magnam.",매우나쁨,2,바람,True,1308,2024-12-12 11:37:28.481440,2025-05-26 14:13:59.655610
105,31,1994,2025-03-25,Ratione expedita voluptatibus.,"Nostrum id molestiae magni accusantium illum ullam.
Debitis hic incidunt necessitatibus non cum. Possimus accusantium iure corrupti. Recusandae repudiandae suscipit quibusdam quibusdam sapiente.
In maxime omnis at debitis. A cum nihil necessitatibus odit iste ipsam quas. Totam facilis reprehenderit consequatur qui.
Quo perferendis qui in voluptatum. Aliquam voluptate nemo recusandae incidunt labore. Voluptas magni nobis eaque quo atque quae.
Error cumque neque tempore. Id expedita voluptas accusantium consequatur asperiores inventore.
Magnam consequatur animi aliquid. Sunt facere impedit dolorum.
Minima veniam libero aspernatur culpa sunt. Non iste modi corrupti sunt nisi quasi.
Aliquid quidem autem exercitationem eveniet fugiat eveniet. Error optio fuga nesciunt.
Culpa rem explicabo libero in labore illum.
Expedita deserunt consequatur sunt quidem similique pariatur distinctio. Laborum inventore modi necessitatibus. Molestias fugiat ipsum temporibus praesentium nobis cupiditate.",보통,9,눈,False,1731,2024-10-18 19:57:11.942117,2025-03-16 15:05:29.845595
