setting_id,author_id,author_year,note_format,privacy_default,mood_tracking,weather_tracking,reminder_time,backup_enabled,theme_color,font_size,auto_save,updated_at
49,49,1980,격자 형식,공개,False,True,15:32:43,True,핑크색,크게,True,2025-05-18 21:31:19.107169
25,25,1992,격자 형식,공개,True,True,23:09:36,True,핑크색,작게,True,2025-06-01 13:26:54.061767
44,44,2001,격자 형식,비공개,False,True,12:47:02,True,검은색,작게,True,2025-05-25 11:09:42.991295
78,78,1996,줄글 형식,비공개,False,True,13:50:32,True,핑크색,작게,True,2025-05-07 11:40:36.026394
58,58,1996,줄글 형식,친구만,False,True,20:48:07,True,검은색,보통,True,2025-05-13 05:02:17.418800
12,12,2005,백지 형식,친구만,True,True,22:10:33,False,검은색,크게,True,2025-05-06 16:13:46.123773
33,33,2000,줄글 형식,친구만,True,True,19:27:23,True,보라색,크게,True,2025-05-21 21:01:04.183262
76,76,1989,격자 형식,공개,False,True,06:49:59,False,초록색,크게,True,2025-05-10 16:29:40.987216
60,60,1983,격자 형식,친구만,False,False,20:04:57,False,초록색,크게,True,2025-05-03 19:05:32.696245
64,64,1981,줄글 형식,비공개,True,False,22:03:53,True,핑크색,작게,True,2025-05-15 13:06:46.473320
70,70,1987,백지 형식,친구만,True,True,01:37:38,True,핑크색,작게,True,2025-05-08 20:45:54.817958
38,38,1991,백지 형식,공개,False,True,06:58:57,True,핑크색,크게,True,2025-05-08 19:01:55.205844
30,30,2000,격자 형식,공개,True,True,04:39:14,True,초록색,보통,True,2025-05-21 05:29:18.997099
2,2,1993,격자 형식,비공개,True,True,19:57:41,True,파란색,보통,True,2025-05-21 01:43:58.641064
53,53,1996,백지 형식,친구만,True,True,21:53:40,True,초록색,크게,True,2025-05-31 03:48:59.760458
22,22,1997,격자 형식,친구만,False,True,07:32:13,True,핑크색,크게,True,2025-05-09 17:00:30.076729
3,3,1981,백지 형식,공개,True,True,20:52:15,True,파란색,작게,True,2025-05-07 07:21:04.809781
24,24,1986,줄글 형식,비공개,True,True,14:55:27,True,파란색,작게,True,2025-05-22 22:05:57.872981
75,75,2000,백지 형식,공개,True,True,23:22:07,True,검은색,크게,False,2025-05-05 18:05:20.937314
21,21,1984,줄글 형식,비공개,False,True,00:31:01,True,보라색,작게,True,2025-05-25 15:36:14.881035
61,61,2002,줄글 형식,공개,False,True,13:34:56,True,초록색,크게,True,2025-05-24 13:45:59.054961
72,72,1999,백지 형식,친구만,True,False,18:18:28,True,초록색,작게,True,2025-05-10 02:22:04.201994
15,15,1997,줄글 형식,비공개,False,True,09:16:49,True,파란색,크게,True,2025-05-22 14:02:42.170760
52,52,1985,백지 형식,공개,False,True,00:20:43,True,보라색,보통,True,2025-05-23 03:20:47.884104
