setting_id,author_id,author_year,updated_at,reminder_time,backup_enabled,theme_color,font_size,auto_save
1,1,1999,2025-05-28 15:19:31.787378,02:54:53,False,보라색,보통,True
2,2,1993,2025-05-21 01:43:58.641064,19:57:41,True,파란색,보통,True
3,3,1981,2025-05-07 07:21:04.809781,20:52:15,True,파란색,작게,True
4,4,1996,2025-05-20 10:59:16.954260,04:01:31,True,초록색,작게,True
5,5,2003,2025-05-19 15:51:35.169543,05:20:21,False,핑크색,작게,True
6,6,1985,2025-06-02 04:31:41.502916,07:58:09,True,보라색,크게,True
7,7,1994,2025-05-29 15:32:39.778431,16:31:37,True,파란색,크게,True
8,8,1985,2025-05-19 17:26:25.872702,12:39:21,True,초록색,보통,True
9,9,1996,2025-05-11 22:47:53.587610,13:59:24,True,검은색,작게,True
10,10,2001,2025-05-25 12:45:26.466558,07:03:22,True,보라색,크게,True
11,11,1993,2025-05-09 16:01:57.911285,15:35:39,True,핑크색,작게,True
12,12,2005,2025-05-06 16:13:46.123773,22:10:33,False,검은색,크게,True
13,13,1990,2025-05-31 20:56:49.596233,00:07:43,True,보라색,크게,True
14,14,1985,2025-05-26 23:21:07.054845,12:37:49,True,검은색,작게,True
15,15,1997,2025-05-22 14:02:42.170760,09:16:49,True,파란색,크게,True
16,16,1992,2025-05-12 18:50:29.806667,12:25:29,True,파란색,보통,True
17,17,1981,2025-05-25 23:08:52.307332,13:53:44,True,파란색,작게,True
18,18,1985,2025-05-13 10:14:50.439899,01:31:54,True,검은색,크게,True
19,19,1997,2025-05-26 01:09:28.817069,11:37:42,True,핑크색,보통,True
20,20,1999,2025-05-25 21:31:09.254627,18:11:50,True,파란색,크게,True
21,21,1984,2025-05-25 15:36:14.881035,00:31:01,True,보라색,작게,True
22,22,1997,2025-05-09 17:00:30.076729,07:32:13,True,핑크색,크게,True
23,23,2005,2025-05-31 01:29:25.888100,08:43:46,True,초록색,보통,True
24,24,1986,2025-05-22 22:05:57.872981,14:55:27,True,파란색,작게,True
25,25,1992,2025-06-01 13:26:54.061767,23:09:36,True,핑크색,작게,True
26,26,1981,2025-05-14 18:46:41.994565,20:43:40,True,검은색,크게,True
27,27,1984,2025-05-10 14:54:54.424545,03:50:13,True,초록색,작게,True
28,28,1980,2025-05-15 02:29:27.964964,05:21:15,True,핑크색,보통,True
29,29,1984,2025-05-12 01:33:51.693157,16:56:08,True,보라색,보통,True
30,30,2000,2025-05-21 05:29:18.997099,04:39:14,True,초록색,보통,True
31,31,1997,2025-05-08 04:10:11.158040,08:38:53,True,검은색,작게,True
32,32,2003,2025-05-21 09:00:15.742291,11:28:21,True,보라색,작게,True
33,33,2000,2025-05-21 21:01:04.183262,19:27:23,True,보라색,크게,True
34,34,1993,2025-05-26 20:24:37.741250,02:11:32,True,보라색,크게,True
35,35,1996,2025-05-23 16:07:23.611755,15:18:18,True,핑크색,보통,True
36,36,1984,2025-05-23 01:44:47.197367,06:50:06,True,보라색,보통,True
37,37,1988,2025-05-28 23:45:25.482938,01:14:03,True,보라색,작게,True
38,38,1991,2025-05-08 19:01:55.205844,06:58:57,True,핑크색,크게,True
39,39,1985,2025-05-16 23:15:03.472019,08:02:14,True,핑크색,보통,True
40,40,2002,2025-05-31 02:15:25.127019,04:42:36,True,파란색,보통,True
41,41,2003,2025-05-05 22:52:03.476301,12:35:40,True,초록색,크게,True
42,42,2003,2025-05-22 20:09:15.547734,08:30:39,True,파란색,크게,True
43,43,1989,2025-05-08 10:51:51.041212,08:02:37,True,핑크색,보통,True
44,44,2001,2025-05-25 11:09:42.991295,12:47:02,True,검은색,작게,True
45,45,2005,2025-05-30 20:55:10.167882,18:30:44,True,보라색,크게,True
46,46,1996,2025-05-10 00:06:24.224845,06:12:14,True,파란색,작게,False
47,47,2005,2025-05-15 09:40:20.647753,00:17:03,True,파란색,크게,True
48,48,1986,2025-05-13 07:06:08.498155,09:47:10,True,초록색,크게,True
49,49,1980,2025-05-18 21:31:19.107169,15:32:43,True,핑크색,크게,True
50,50,1988,2025-05-04 19:06:09.901263,02:56:46,True,검은색,크게,False
51,51,1980,2025-05-17 02:47:38.230119,14:19:51,True,보라색,작게,True
52,52,1985,2025-05-23 03:20:47.884104,00:20:43,True,보라색,보통,True
53,53,1996,2025-05-31 03:48:59.760458,21:53:40,True,초록색,크게,True
54,54,1986,2025-05-24 22:54:43.129234,19:10:12,True,핑크색,크게,True
55,55,1998,2025-05-30 06:52:04.839131,10:44:03,True,파란색,보통,True
56,56,1989,2025-05-06 03:25:15.844386,07:40:02,True,보라색,작게,True
57,57,1980,2025-06-01 11:18:58.560696,22:37:14,True,검은색,작게,True
58,58,1996,2025-05-13 05:02:17.418800,20:48:07,True,검은색,보통,True
59,59,1982,2025-05-22 20:33:48.680548,02:29:32,True,보라색,작게,True
60,60,1983,2025-05-03 19:05:32.696245,20:04:57,False,초록색,크게,True
61,61,2002,2025-05-24 13:45:59.054961,13:34:56,True,초록색,크게,True
62,62,1992,2025-05-27 19:30:43.458492,23:25:01,True,초록색,크게,True
63,63,1984,2025-05-15 13:43:18.359576,23:34:08,True,검은색,보통,True
64,64,1981,2025-05-15 13:06:46.473320,22:03:53,True,핑크색,작게,True
65,65,2003,2025-05-07 02:52:23.051073,06:54:28,True,핑크색,작게,True
66,66,1990,2025-05-16 01:04:33.997102,00:49:30,True,보라색,보통,True
67,67,1999,2025-05-13 03:35:41.498203,00:58:28,True,핑크색,보통,True
68,68,2003,2025-05-08 07:40:41.188418,08:00:53,True,검은색,보통,True
69,69,1993,2025-05-07 19:42:45.859953,07:09:20,False,검은색,보통,True
70,70,1987,2025-05-08 20:45:54.817958,01:37:38,True,핑크색,작게,True
71,71,1990,2025-05-05 20:56:26.920353,03:46:17,False,보라색,보통,False
72,72,1999,2025-05-10 02:22:04.201994,18:18:28,True,초록색,작게,True
73,73,1990,2025-05-22 22:37:49.869543,05:20:31,True,파란색,보통,True
74,74,1988,2025-05-12 02:45:41.759698,13:20:20,True,파란색,보통,True
75,75,2000,2025-05-05 18:05:20.937314,23:22:07,True,검은색,크게,False
76,76,1989,2025-05-10 16:29:40.987216,06:49:59,False,초록색,크게,True
77,77,1998,2025-05-23 09:51:25.003963,08:02:57,True,초록색,크게,True
78,78,1996,2025-05-07 11:40:36.026394,13:50:32,True,핑크색,작게,True
79,79,1983,2025-05-05 05:43:14.969154,00:50:34,True,보라색,크게,True
80,80,1998,2025-05-05 00:50:19.623463,21:41:34,True,보라색,보통,True
