record_id,owner,game_type,score,result,play_time,created_at
611,285,이벤트,7375,승리,44,2025-01-30 05:08:20.450060
298,10,PvP,7321,승리,97,2025-04-19 03:29:35.513581
415,255,이벤트,5218,패배,36,2025-04-12 16:08:50.831657
151,40,이벤트,3355,무승부,117,2025-02-25 13:10:57.000236
711,253,이벤트,7891,패배,43,2025-04-04 15:43:03.287456
797,132,PvP,5372,승리,36,2025-01-14 00:48:08.979477
551,193,퀘스트,8059,승리,12,2025-03-26 15:10:46.235013
489,138,레이드,6399,승리,63,2025-02-05 01:47:32.034015
148,128,퀘스트,1252,패배,55,2025-05-18 08:32:35.896216
147,261,퀘스트,8298,승리,110,2025-02-23 23:27:41.829745
652,211,이벤트,8886,무승부,55,2025-03-17 01:24:54.906063
834,79,PvP,5860,승리,33,2025-03-30 13:10:06.880398
667,128,PvP,8707,승리,49,2024-12-05 23:51:56.157825
349,41,PvP,7988,패배,103,2025-05-21 03:01:48.136060
464,54,PvE,3834,패배,57,2025-04-16 01:05:02.935039
326,204,퀘스트,7412,무승부,83,2025-05-23 10:21:25.402168
187,273,PvE,2987,승리,33,2024-12-11 01:21:10.568320
124,254,이벤트,1392,무승부,108,2025-04-04 14:02:39.718584
766,57,레이드,8062,승리,101,2025-03-30 19:16:52.248443
609,54,이벤트,1444,패배,100,2025-04-13 08:20:36.306913
144,94,PvP,9290,패배,51,2025-04-23 10:46:24.457805
860,300,이벤트,728,승리,46,2024-12-24 16:19:13.317314
198,150,레이드,7498,패배,91,2024-12-16 12:04:18.614213
610,91,퀘스트,7398,승리,98,2025-02-16 11:50:30.648849
280,126,이벤트,1767,패배,34,2025-03-03 19:26:43.760912
294,70,PvP,2775,무승부,98,2025-04-15 10:32:14.421922
401,224,PvE,5296,승리,59,2025-05-20 22:05:35.856015
123,49,레이드,5280,승리,118,2024-12-27 23:10:41.385890
184,265,PvE,4481,무승부,46,2025-03-06 14:02:32.329808
203,112,PvE,721,무승부,119,2024-12-28 12:38:52.990831
439,78,이벤트,7867,패배,67,2025-06-01 12:21:07.399905
247,25,레이드,6680,승리,114,2025-03-13 07:54:33.999815
416,289,PvP,2074,패배,42,2024-12-31 22:06:45.106714
796,16,PvP,7549,무승부,29,2025-03-26 15:59:46.318789
130,254,PvE,3028,무승부,11,2025-04-21 13:59:17.667699
638,280,이벤트,1077,승리,29,2024-12-26 04:48:45.083179
403,90,PvP,6574,승리,108,2025-02-19 00:38:06.181441
707,178,PvE,1710,패배,36,2025-05-27 21:13:31.677907
695,52,퀘스트,5899,승리,110,2025-01-03 19:12:56.201973
818,126,이벤트,3213,무승부,98,2025-03-15 08:11:45.044766
220,91,이벤트,286,승리,15,2025-05-06 05:51:32.111294
642,69,레이드,847,무승부,114,2025-01-26 22:16:18.113603
820,65,PvP,6807,패배,105,2025-04-02 06:25:28.183168
