record_id,owner,result,created_at,score,play_time
1,233,승리,2025-04-24 10:41:48.611932,7766,25
2,213,무승부,2025-01-29 09:21:32.412649,7601,45
3,34,승리,2025-02-11 00:50:00.089283,3781,30
4,135,무승부,2025-01-27 18:38:51.176263,7677,114
5,2,무승부,2025-03-03 02:44:54.615086,2166,91
6,83,패배,2025-04-26 15:09:00.441153,914,35
7,284,승리,2025-03-26 13:13:22.063479,5475,88
8,38,패배,2024-12-13 23:55:30.708511,4642,5
9,135,승리,2025-05-24 05:12:42.357821,5725,11
10,48,패배,2025-06-01 23:37:08.298499,2316,59
11,288,승리,2025-04-20 04:09:15.389162,6408,97
12,124,승리,2025-01-13 17:49:28.517090,3842,58
13,261,패배,2024-12-17 00:38:50.882149,241,51
14,28,무승부,2025-01-06 06:51:16.655278,8222,80
15,115,패배,2025-05-03 11:39:17.795385,5108,53
16,281,무승부,2025-01-28 06:37:54.125597,4944,93
17,48,승리,2025-01-06 11:32:08.796104,4186,120
18,103,패배,2025-02-13 15:49:36.859595,6230,5
19,52,무승부,2025-03-23 09:45:54.764845,3017,81
20,169,무승부,2025-05-21 12:49:45.600276,9710,94
21,145,패배,2025-05-03 17:10:00.697758,3897,31
22,291,무승부,2025-02-15 08:51:42.657635,4771,44
23,198,승리,2024-12-21 21:54:06.287721,9283,99
24,78,패배,2025-03-17 20:23:55.185383,6242,74
25,9,무승부,2025-01-02 23:34:02.376453,956,69
26,50,패배,2025-03-16 11:39:58.943732,1067,109
27,217,무승부,2025-02-21 22:58:57.914614,7047,61
28,267,패배,2025-01-09 01:45:25.920628,1911,53
29,238,패배,2024-12-30 21:31:07.041600,587,28
30,146,무승부,2025-02-21 10:30:15.861305,1553,106
31,83,패배,2025-03-05 22:19:48.310338,7707,42
32,155,패배,2025-02-05 16:25:00.703310,9856,7
33,157,승리,2025-01-21 18:40:30.609481,4225,91
34,228,승리,2025-03-07 00:02:47.429086,2801,60
35,68,승리,2025-04-19 03:03:56.105491,9760,75
36,129,승리,2025-02-05 18:30:48.017085,1682,102
37,209,승리,2025-01-20 04:18:09.025280,652,21
38,76,패배,2025-01-19 15:12:05.990000,583,57
39,165,무승부,2025-04-02 17:15:50.327363,6779,88
40,220,승리,2025-03-20 02:59:44.191396,160,38
41,66,승리,2025-03-08 17:35:10.094082,2012,11
42,82,무승부,2025-03-29 16:00:44.152615,7945,105
43,221,패배,2025-05-30 05:18:39.211608,8828,116
44,164,무승부,2025-01-24 20:23:07.460005,3375,87
45,138,패배,2025-02-12 15:49:28.993496,1574,39
46,150,패배,2025-02-09 10:26:51.697634,6683,118
47,57,무승부,2025-03-23 16:18:24.668932,7908,77
48,52,패배,2024-12-20 14:03:29.210925,2239,70
49,103,무승부,2025-03-29 14:38:52.309413,946,89
50,52,무승부,2025-05-01 13:10:32.383733,2348,32
51,269,승리,2025-06-01 01:36:47.653562,9468,103
52,45,승리,2025-02-19 18:30:18.890338,3955,9
53,215,패배,2024-12-18 06:00:52.848672,2080,98
54,192,패배,2025-04-22 11:46:08.824278,9484,15
55,300,무승부,2025-05-04 12:38:06.580265,808,31
56,247,승리,2024-12-27 18:26:17.989206,3554,63
57,143,패배,2025-04-21 01:29:47.911805,3936,65
58,75,무승부,2024-12-07 09:39:48.495537,3240,44
59,125,패배,2025-05-03 13:54:33.085427,3391,98
60,161,승리,2025-02-25 03:41:54.762764,8529,56
61,126,패배,2025-02-05 02:39:02.743339,7435,49
62,79,승리,2025-01-06 22:36:28.814671,9733,99
63,221,승리,2024-12-25 02:08:06.217015,2731,89
64,224,무승부,2025-02-11 00:22:17.547000,2325,118
65,167,승리,2025-01-26 03:15:43.225870,3876,44
66,80,승리,2025-04-05 04:54:18.493497,6292,76
67,105,무승부,2024-12-27 09:16:26.897645,5442,119
68,4,승리,2025-01-30 01:24:38.337850,5000,85
69,92,패배,2025-01-24 22:56:27.141271,6552,45
70,165,무승부,2024-12-10 23:43:58.220715,9557,96
71,174,패배,2024-12-30 02:53:51.896905,2721,22
72,9,승리,2025-02-23 16:00:31.790817,6112,72
73,273,패배,2025-05-27 12:52:20.337181,9827,33
74,123,패배,2025-04-25 05:06:40.585560,8194,113
75,103,승리,2025-04-09 03:14:48.291627,7761,97
76,233,승리,2025-02-26 23:27:24.801383,9310,90
77,153,무승부,2025-03-24 07:47:37.880339,7847,83
78,33,무승부,2025-01-29 04:42:33.459972,8628,86
79,255,무승부,2025-05-15 19:42:07.644521,8181,77
80,27,무승부,2025-01-27 17:01:53.103014,5940,35
