setting_id,user_id,investment_experience,preferred_sectors,investment_goal
1,1,10년 미만,소비재,단기수익
2,2,5년 미만,혼합,안정적보존
3,3,5년 미만,혼합,안정적보존
4,4,5년 미만,혼합,단기수익
5,5,1년 미만,금융주,장기성장
6,6,5년 미만,혼합,배당수익
7,7,1년 미만,혼합,안정적보존
8,8,5년 미만,금융주,안정적보존
9,9,10년 미만,기술주,장기성장
10,10,1년 미만,에너지,장기성장
11,11,10년 미만,기술주,장기성장
12,12,10년 미만,기술주,장기성장
13,13,1년 미만,혼합,장기성장
14,14,10년 미만,혼합,안정적보존
15,15,1년 미만,혼합,안정적보존
16,16,10년 미만,기술주,단기수익
17,17,10년 미만,에너지,단기수익
18,18,1년 미만,혼합,장기성장
19,19,1년 미만,기술주,단기수익
20,20,5년 미만,소비재,단기수익
21,21,10년 미만,소비재,단기수익
22,22,1년 미만,기술주,장기성장
23,23,5년 미만,에너지,장기성장
24,24,10년 미만,금융주,안정적보존
25,25,1년 미만,에너지,장기성장
26,26,5년 미만,혼합,배당수익
27,27,1년 미만,헬스케어,장기성장
28,28,10년 미만,헬스케어,단기수익
29,29,5년 미만,에너지,안정적보존
30,30,5년 미만,에너지,장기성장
31,31,10년 미만,헬스케어,배당수익
32,32,1년 미만,기술주,배당수익
33,33,10년 미만,기술주,안정적보존
34,34,1년 미만,헬스케어,안정적보존
35,35,10년 미만,기술주,배당수익
36,36,5년 미만,헬스케어,안정적보존
37,37,5년 미만,헬스케어,안정적보존
38,38,5년 미만,기술주,안정적보존
39,39,1년 미만,기술주,단기수익
40,40,10년 미만,금융주,배당수익
41,41,10년 미만,기술주,안정적보존
42,42,5년 미만,금융주,장기성장
43,43,10년 미만,금융주,장기성장
44,44,10년 미만,에너지,단기수익
45,45,1년 미만,혼합,장기성장
46,46,5년 미만,기술주,배당수익
47,47,1년 미만,혼합,안정적보존
48,48,5년 미만,헬스케어,장기성장
49,49,5년 미만,금융주,단기수익
50,50,5년 미만,에너지,장기성장
51,51,5년 미만,소비재,장기성장
52,52,10년 미만,금융주,안정적보존
53,53,1년 미만,기술주,안정적보존
54,54,1년 미만,소비재,안정적보존
55,55,5년 미만,헬스케어,장기성장
56,56,1년 미만,금융주,단기수익
57,57,10년 미만,헬스케어,안정적보존
58,58,5년 미만,헬스케어,단기수익
59,59,10년 미만,혼합,배당수익
60,60,5년 미만,금융주,안정적보존
61,61,1년 미만,에너지,장기성장
62,62,5년 미만,헬스케어,안정적보존
63,63,10년 미만,금융주,안정적보존
64,64,1년 미만,헬스케어,배당수익
65,65,5년 미만,기술주,배당수익
66,66,1년 미만,기술주,단기수익
67,67,5년 미만,헬스케어,단기수익
68,68,5년 미만,혼합,장기성장
69,69,5년 미만,소비재,안정적보존
70,70,1년 미만,소비재,안정적보존
71,71,1년 미만,혼합,장기성장
72,72,10년 미만,금융주,안정적보존
73,73,5년 미만,소비재,장기성장
74,74,10년 미만,혼합,배당수익
75,75,5년 미만,기술주,장기성장
76,76,1년 미만,혼합,배당수익
77,77,10년 미만,소비재,장기성장
78,78,5년 미만,소비재,장기성장
79,79,5년 미만,기술주,단기수익
80,80,1년 미만,기술주,장기성장
81,81,10년 미만,혼합,단기수익
82,82,10년 미만,에너지,배당수익
83,83,5년 미만,혼합,안정적보존
84,84,5년 미만,에너지,안정적보존
85,85,1년 미만,기술주,배당수익
86,86,10년 미만,헬스케어,안정적보존
87,87,5년 미만,금융주,안정적보존
88,88,1년 미만,에너지,단기수익
89,89,10년 미만,금융주,배당수익
90,90,1년 미만,헬스케어,안정적보존
91,91,1년 미만,기술주,배당수익
92,92,5년 미만,헬스케어,안정적보존
93,93,5년 미만,금융주,장기성장
94,94,10년 미만,기술주,단기수익
95,95,1년 미만,소비재,배당수익
96,96,10년 미만,에너지,안정적보존
97,97,10년 미만,금융주,안정적보존
98,98,1년 미만,헬스케어,배당수익
99,99,1년 미만,금융주,안정적보존
100,100,5년 미만,소비재,장기성장
