market_id,market_name,location,market_type,operating_days,region,established_year,market_size,contact_phone,certification
3,안산시 상록구 축산시장,충청남도 의정부시 삼성7길 768,도매시장,평일만,서울,1979,중형,018-450-1369,True
44,안산시 상록구 축산시장,강원도 보령시 서초대길 564 (민서김장마을),도매시장,평일만,전남,2009,중형,051-900-7716,True
36,옥천군 축산시장,경기도 성남시 중원구 역삼837길 184 (경숙전마을),소매시장,주말만,경북,1954,대형,055-986-6289,True
24,청주시 흥덕구 축산시장,서울특별시 서초구 압구정0거리 지하891 (미숙홍박동),소매시장,주말만,경기,2004,중형,011-387-1794,True
41,동두천시 축산시장,강원도 평택시 영동대69길 866-46,도매시장,평일만,강원,1981,중형,041-668-4608,False
11,동해시 축산시장,울산광역시 성북구 역삼676길 357,소매시장,주말만,서울,1960,중형,054-087-2569,False
23,연천군 축산시장,충청북도 단양군 학동784거리 844-96,도매시장,매일,경북,2002,중형,054-884-2049,True
19,인제군 축산시장,충청북도 성남시 수정구 선릉로 296-95 (진우류박마을),소매시장,매일,경기,2016,대형,018-053-3932,False
50,계룡시 축산시장,제주특별자치도 화성시 영동대로 737 (중수류김동),직거래장,주3회,제주,1954,소형,051-325-8496,True
21,증평군 축산시장,광주광역시 성동구 학동길 149 (아름김읍),직거래장,주말만,경남,1982,소형,016-741-1092,True
8,단양군 축산시장,제주특별자치도 동두천시 백제고분127거리 506-51 (민수김우동),도매시장,주3회,충남,1973,중형,018-763-8182,False
43,보령시 축산시장,세종특별자치시 성동구 영동대로 558 (하은이양리),도매시장,주말만,서울,1957,대형,010-7832-6758,True
15,예산군 축산시장,경기도 용인시 수지구 석촌호수로 지하987 (민재김허마을),소매시장,주말만,경기,1983,소형,042-212-0699,True
29,청주시 흥덕구 축산시장,경상북도 서천군 반포대가 지하371,직거래장,주말만,강원,1990,소형,055-923-2423,True
39,수원시 영통구 축산시장,경상북도 부천시 원미구 반포대4로 905-13,도매시장,주3회,경북,1969,중형,061-743-7990,True
