market_id,market_name,established_year,market_size,contact_phone,certification
1,성남시 중원구 축산시장,1979,대형,053-792-4221,True
2,여주시 축산시장,2002,소형,017-751-4004,True
3,안산시 상록구 축산시장,1979,중형,018-450-1369,True
4,부천시 축산시장,1970,대형,016-739-6326,True
5,부여군 축산시장,2019,중형,052-847-4718,True
6,홍천군 축산시장,2004,소형,063-741-2938,True
7,화천군 축산시장,1977,중형,043-803-5609,True
8,단양군 축산시장,1973,중형,018-763-8182,False
9,논산시 축산시장,2003,중형,052-844-9798,True
10,성남시 수정구 축산시장,1982,소형,02-1429-6025,False
11,동해시 축산시장,1960,중형,054-087-2569,False
12,부천시 축산시장,2020,소형,010-0923-6490,True
13,고양시 축산시장,2007,중형,062-593-4793,True
14,광주시 축산시장,1958,대형,042-002-5091,True
15,예산군 축산시장,1983,소형,042-212-0699,True
16,제천시 축산시장,1956,중형,042-283-5627,True
17,성남시 분당구 축산시장,2011,중형,042-619-5148,False
18,강릉시 축산시장,1977,소형,070-1846-1605,True
19,인제군 축산시장,2016,대형,018-053-3932,False
20,동해시 축산시장,1952,중형,017-227-8424,True
21,증평군 축산시장,1982,소형,016-741-1092,True
22,춘천시 축산시장,2004,중형,053-321-4398,True
23,연천군 축산시장,2002,중형,054-884-2049,True
24,청주시 흥덕구 축산시장,2004,중형,011-387-1794,True
25,음성군 축산시장,2000,대형,010-2032-0294,False
26,단양군 축산시장,1967,소형,031-271-3265,True
27,용인시 처인구 축산시장,2006,중형,051-699-0925,True
28,부천시 축산시장,1957,중형,017-873-9732,True
29,청주시 흥덕구 축산시장,1990,소형,055-923-2423,True
30,이천시 축산시장,1972,대형,019-741-8903,True
31,청주시 상당구 축산시장,2008,대형,053-081-8010,True
32,안양시 동안구 축산시장,1996,중형,070-6085-3989,True
33,남양주시 축산시장,2013,소형,052-543-3475,False
34,보은군 축산시장,1982,소형,052-477-4450,True
35,음성군 축산시장,1961,소형,052-153-5035,False
36,옥천군 축산시장,1954,대형,055-986-6289,True
37,용인시 수지구 축산시장,2002,중형,018-702-5025,True
38,양주시 축산시장,1959,대형,017-721-4276,True
39,수원시 영통구 축산시장,1969,중형,061-743-7990,True
40,영동군 축산시장,1972,대형,044-237-3316,True
41,동두천시 축산시장,1981,중형,041-668-4608,False
42,태백시 축산시장,1953,중형,02-4872-9271,False
43,보령시 축산시장,1957,대형,010-7832-6758,True
44,안산시 상록구 축산시장,2009,중형,051-900-7716,True
45,보령시 축산시장,2013,소형,041-182-2579,False
46,안양시 축산시장,2011,중형,011-738-8126,False
47,안양시 축산시장,1994,소형,070-5782-7160,True
48,성남시 분당구 축산시장,1988,대형,033-418-4811,True
49,음성군 축산시장,1985,소형,011-732-6124,True
50,계룡시 축산시장,1954,소형,051-325-8496,True
