market_id,market_name,location,market_type,operating_days,region,established_year,market_size,contact_phone,certification
14,광주시 축산시장,인천광역시 서대문구 학동길 924 (지우하홍마을),소매시장,평일만,경기,1958,대형,042-002-5091,True
40,영동군 축산시장,부산광역시 송파구 오금길 900-55,도매시장,주말만,전북,1972,대형,044-237-3316,True
31,청주시 상당구 축산시장,전라북도 태백시 오금로 607,도매시장,평일만,제주,2008,대형,053-081-8010,True
46,안양시 축산시장,부산광역시 종로구 강남대24로 166 (영환최마을),도매시장,매일,충북,2011,중형,011-738-8126,False
18,강릉시 축산시장,대전광역시 북구 선릉476길 974-99 (종수김면),직거래장,주3회,강원,1977,소형,070-1846-1605,True
49,음성군 축산시장,충청남도 안산시 상록구 오금거리 199-72,직거래장,주말만,제주,1985,소형,011-732-6124,True
27,용인시 처인구 축산시장,충청남도 춘천시 언주가 지하510,직거래장,매일,제주,2006,중형,051-699-0925,True
26,단양군 축산시장,인천광역시 종로구 압구정로 87-22,소매시장,주3회,서울,1967,소형,031-271-3265,True
33,남양주시 축산시장,인천광역시 서구 압구정거리 618-40,직거래장,주3회,전북,2013,소형,052-543-3475,False
20,동해시 축산시장,제주특별자치도 천안시 동남구 개포50길 891 (하은김읍),도매시장,평일만,서울,1952,중형,017-227-8424,True
13,고양시 축산시장,울산광역시 관악구 영동대63길 196 (도현최박읍),소매시장,주3회,서울,2007,중형,062-593-4793,True
5,부여군 축산시장,부산광역시 남구 봉은사95길 897-6 (진우김면),직거래장,주말만,강원,2019,중형,052-847-4718,True
38,양주시 축산시장,충청북도 인제군 삼성2로 414,도매시장,주3회,전북,1959,대형,017-721-4276,True
9,논산시 축산시장,전라북도 옥천군 도산대6길 730-45 (예준이이동),도매시장,평일만,전북,2003,중형,052-844-9798,True
4,부천시 축산시장,제주특별자치도 삼척시 영동대길 902-71,소매시장,주3회,서울,1970,대형,016-739-6326,True
7,화천군 축산시장,전라남도 가평군 개포거리 지하584 (서준박박리),직거래장,평일만,충북,1977,중형,043-803-5609,True
42,태백시 축산시장,충청북도 수원시 장안구 오금983로 220-84 (예은이조마을),소매시장,매일,전북,1953,중형,02-4872-9271,False
47,안양시 축산시장,부산광역시 북구 반포대43로 477-84 (준영박읍),직거래장,주말만,충북,1994,소형,070-5782-7160,True
48,성남시 분당구 축산시장,충청북도 청주시 흥덕구 압구정760거리 299-6,직거래장,평일만,충북,1988,대형,033-418-4811,True
16,제천시 축산시장,울산광역시 성북구 언주16길 103-25 (은영김동),직거래장,주3회,경북,1956,중형,042-283-5627,True
10,성남시 수정구 축산시장,전라북도 수원시 팔달구 도산대가 782,직거래장,매일,전남,1982,소형,02-1429-6025,False
17,성남시 분당구 축산시장,광주광역시 금천구 논현가 480 (정자허이동),도매시장,주3회,경북,2011,중형,042-619-5148,False
25,음성군 축산시장,인천광역시 서구 도산대238로 지하866,직거래장,주말만,경기,2000,대형,010-2032-0294,False
35,음성군 축산시장,전라남도 화성시 삼성96가 지하369,도매시장,평일만,전남,1961,소형,052-153-5035,False
32,안양시 동안구 축산시장,울산광역시 강북구 봉은사로 지하571 (지후남한마을),소매시장,주3회,충남,1996,중형,070-6085-3989,True
1,성남시 중원구 축산시장,경상남도 영동군 논현로 지하498 (옥순김동),도매시장,평일만,전북,1979,대형,053-792-4221,True
45,보령시 축산시장,제주특별자치도 서천군 강남대022로 지하843,직거래장,평일만,서울,2013,소형,041-182-2579,False
28,부천시 축산시장,부산광역시 용산구 압구정258거리 467-35,소매시장,주3회,서울,1957,중형,017-873-9732,True
34,보은군 축산시장,제주특별자치도 양구군 서초중앙4거리 995-66 (영환정리),도매시장,평일만,경남,1982,소형,052-477-4450,True
6,홍천군 축산시장,전라북도 홍천군 압구정로 812-39 (성현이윤리),직거래장,주3회,경북,2004,소형,063-741-2938,True
30,이천시 축산시장,부산광역시 동구 역삼77로 960 (진우이동),도매시장,평일만,충남,1972,대형,019-741-8903,True
12,부천시 축산시장,전라북도 용인시 처인구 강남대가 281,도매시장,매일,충남,2020,소형,010-0923-6490,True
37,용인시 수지구 축산시장,울산광역시 중랑구 삼성길 627-11 (지영김읍),소매시장,주3회,강원,2002,중형,018-702-5025,True
2,여주시 축산시장,대구광역시 도봉구 압구정길 211 (영진한손리),직거래장,주3회,충남,2002,소형,017-751-4004,True
22,춘천시 축산시장,대전광역시 서대문구 삼성길 지하157 (지민문박리),소매시장,주말만,충남,2004,중형,053-321-4398,True
