analytics_id,livestock_mkt,monthly_avg_price,supply_stability,demand_trend,competition_level,quality_rating,avg_transaction_size,customer_satisfaction,market_share,growth_rate,last_updated
14,14,17953,안정,유지,보통,5,5001,2,0.026,0.099,2025-05-23 13:04:33.245028
40,40,17348,안정,유지,보통,3,9924,3,0.012,-0.083,2025-05-10 16:17:02.674170
31,31,20055,보통,상승,보통,4,7028,5,0.03,-0.065,2025-05-11 22:42:11.457782
46,46,15600,안정,유지,낮음,4,4142,1,0.067,0.124,2025-05-20 21:06:37.172642
18,18,22736,불안정,상승,높음,4,6530,5,0.036,0.162,2025-05-16 14:27:40.286086
49,49,19459,불안정,유지,보통,4,7502,3,0.108,0.003,2025-05-19 18:28:12.331712
27,27,15590,불안정,하락,높음,3,8530,4,0.082,0.072,2025-05-05 10:34:12.145148
26,26,24289,보통,하락,낮음,4,4459,3,0.126,0.052,2025-05-18 17:27:53.634244
33,33,24930,안정,하락,높음,4,6075,5,0.045,0.075,2025-05-08 23:46:51.945107
20,20,18245,안정,하락,낮음,3,9058,3,0.121,0.034,2025-05-19 17:47:57.717216
13,13,17551,보통,유지,보통,3,6791,2,0.037,0.061,2025-05-10 13:54:28.871608
5,5,17794,불안정,상승,보통,4,3999,2,0.148,-0.034,2025-05-24 07:33:47.206427
38,38,23107,안정,상승,낮음,4,6924,2,0.052,0.054,2025-06-01 10:57:17.906217
9,9,20476,불안정,하락,낮음,3,3648,4,0.079,0.082,2025-05-18 08:45:14.731910
4,4,21617,안정,유지,높음,4,2293,3,0.025,0.084,2025-05-11 03:53:13.153439
7,7,21281,안정,유지,높음,5,1514,5,0.148,-0.054,2025-05-04 22:47:06.781310
42,42,23647,보통,유지,높음,5,7406,3,0.107,0.142,2025-05-26 14:16:29.379917
47,47,17132,불안정,유지,높음,5,2729,2,0.08,0.073,2025-05-21 01:03:54.209996
48,48,22719,안정,하락,높음,4,1604,3,0.135,-0.086,2025-05-10 03:29:55.707950
16,16,17620,불안정,하락,보통,3,8086,1,0.074,-0.026,2025-05-21 12:52:55.151650
