match_id,user_id,matched_user_id,match_status,match_score,matched_at
36,20,34,거절,60,2025-03-26 15:06:07.992077
81,14,10,거절,90,2025-03-06 05:07:47.031118
78,6,17,대기중,71,2025-05-28 19:41:20.907875
35,46,10,대기중,71,2025-03-15 11:25:18.997009
8,48,1,거절,65,2025-04-27 03:10:43.870433
111,22,26,대기중,92,2025-03-10 06:58:46.865513
92,8,26,거절,86,2025-03-08 22:36:59.968531
84,25,4,성사,71,2025-03-21 00:49:30.948714
159,55,47,거절,93,2025-03-31 08:01:09.602109
164,55,9,만료,84,2025-04-03 05:20:32.902101
90,2,42,거절,80,2025-03-23 12:15:26.339638
9,42,27,거절,85,2025-04-17 04:20:28.212235
14,16,25,거절,61,2025-04-13 17:35:09.515812
60,11,23,거절,63,2025-04-30 03:59:48.706709
155,9,18,대기중,89,2025-05-29 08:13:53.332259
132,13,12,성사,74,2025-03-29 21:59:31.208643
18,21,1,만료,84,2025-05-18 06:15:32.835144
73,33,31,거절,64,2025-05-14 00:13:08.752735
161,40,57,거절,93,2025-04-22 23:19:43.480986
135,27,53,대기중,70,2025-04-23 08:53:07.889949
151,34,57,거절,90,2025-04-07 12:16:30.509641
166,20,39,거절,85,2025-04-24 10:51:00.206773
64,34,36,거절,62,2025-05-21 05:41:55.924660
55,18,49,대기중,94,2025-05-06 18:40:11.033467
108,53,17,성사,70,2025-04-24 20:27:07.798006
51,56,57,성사,96,2025-05-19 22:35:04.645777
178,32,44,거절,84,2025-05-14 23:08:27.620250
59,54,28,성사,91,2025-04-14 17:50:38.949219
49,5,52,대기중,91,2025-04-19 05:43:37.921782
89,54,43,대기중,64,2025-04-14 11:22:42.853521
22,9,6,거절,91,2025-03-23 06:01:04.119612
58,38,35,만료,65,2025-03-08 14:49:39.207979
175,21,1,거절,87,2025-04-29 20:05:34.072406
130,50,3,만료,83,2025-03-29 15:52:50.078562
38,52,47,성사,79,2025-03-30 11:01:59.272670
158,41,59,거절,74,2025-03-29 05:42:22.344166
171,29,5,대기중,73,2025-05-24 17:50:09.039255
2,56,53,만료,64,2025-03-11 13:43:37.251694
53,27,9,만료,78,2025-05-19 08:03:50.324865
150,14,21,거절,86,2025-05-24 00:25:38.971264
131,6,5,거절,92,2025-05-12 04:32:22.901376
152,60,12,대기중,68,2025-03-23 10:06:36.123072
104,4,38,거절,64,2025-03-17 17:53:22.846375
100,21,10,만료,94,2025-05-01 17:28:57.466479
117,18,59,거절,74,2025-05-09 09:55:45.187617
88,33,16,거절,96,2025-05-07 07:31:32.870119
75,8,46,대기중,89,2025-03-10 19:14:25.337990
122,19,38,거절,71,2025-04-28 03:24:57.039380
180,9,23,거절,77,2025-03-25 03:45:59.868708
21,16,32,만료,66,2025-03-26 21:06:21.047272
72,9,24,대기중,96,2025-05-24 12:11:06.186144
107,39,55,성사,70,2025-05-14 23:05:29.427745
15,52,15,대기중,81,2025-03-17 17:25:43.413105
93,23,2,대기중,66,2025-05-31 00:04:40.190334
103,4,48,대기중,93,2025-05-07 13:12:31.747982
