match_id,user_id,matched_user_id,match_status,match_score,matched_at
20,8,52,거절,61,2025-05-11 14:38:20.932255
43,3,49,만료,66,2025-05-01 03:54:21.212596
154,30,5,대기중,64,2025-04-26 15:36:12.041155
79,52,17,만료,71,2025-03-26 00:18:20.004117
146,13,41,거절,86,2025-05-22 02:57:38.538667
16,13,5,대기중,60,2025-03-08 06:31:52.367150
25,57,19,만료,68,2025-04-17 03:53:28.507718
69,18,10,성사,90,2025-04-25 19:40:24.460047
114,2,47,만료,78,2025-04-27 12:14:28.273594
119,51,20,거절,96,2025-03-05 14:16:33.699909
94,14,3,성사,95,2025-05-08 14:52:26.523162
160,60,36,만료,97,2025-03-09 10:03:32.933011
70,50,20,만료,87,2025-04-17 17:02:50.301126
143,14,10,성사,81,2025-04-27 21:19:59.596087
46,44,11,성사,99,2025-05-25 11:31:20.736409
17,53,7,대기중,91,2025-05-22 02:09:58.690230
52,30,36,성사,88,2025-03-08 06:16:58.309518
126,7,60,대기중,79,2025-05-21 01:26:18.174227
97,38,34,대기중,96,2025-03-28 13:40:10.703283
57,33,42,성사,62,2025-03-15 17:03:02.792940
98,49,6,대기중,100,2025-05-27 23:36:04.974426
121,54,55,거절,98,2025-03-21 10:03:10.854712
144,54,34,거절,92,2025-03-11 00:36:27.746321
31,11,30,성사,61,2025-03-26 19:23:30.701146
10,6,49,성사,67,2025-03-14 01:29:53.468864
173,14,17,거절,94,2025-05-21 14:47:18.192695
61,13,56,만료,72,2025-05-12 23:49:19.197444
19,57,39,만료,89,2025-04-09 14:33:50.129363
149,34,34,대기중,71,2025-04-22 10:28:58.784717
174,10,38,대기중,82,2025-04-12 15:51:30.170891
110,46,50,대기중,95,2025-04-06 06:14:26.527133
56,42,9,대기중,81,2025-04-19 05:21:11.632047
141,55,41,거절,66,2025-04-23 17:24:27.171593
127,37,3,만료,89,2025-03-20 19:29:54.134133
67,20,33,만료,98,2025-05-07 14:32:36.326507
30,15,23,거절,96,2025-03-28 10:40:30.097051
118,9,34,대기중,90,2025-04-02 05:31:59.621451
66,7,9,대기중,75,2025-05-11 14:13:53.785978
68,7,32,대기중,83,2025-05-15 08:31:00.198934
32,24,19,거절,74,2025-03-17 00:32:13.586174
13,20,49,대기중,69,2025-05-16 14:57:59.105443
42,7,8,성사,66,2025-04-25 16:33:59.467450
125,6,28,성사,68,2025-05-04 21:01:34.465470
101,21,57,대기중,96,2025-04-19 21:47:44.595145
162,49,5,성사,74,2025-05-14 12:34:21.925994
133,36,42,거절,85,2025-04-25 03:23:43.531210
91,53,47,대기중,64,2025-04-22 09:40:53.347023
39,59,52,만료,79,2025-04-22 15:45:11.765125
170,46,16,만료,95,2025-03-12 16:31:12.643643
116,4,25,만료,64,2025-04-16 18:17:52.394795
172,55,29,성사,76,2025-05-10 00:26:48.019306
157,30,56,만료,67,2025-04-06 10:48:37.446735
3,54,25,거절,89,2025-03-08 07:28:25.228004
177,2,6,거절,68,2025-04-15 05:37:41.285594
47,3,58,성사,60,2025-04-26 10:39:48.517509
86,49,1,만료,98,2025-05-18 07:12:21.234076
153,8,59,만료,68,2025-05-13 03:55:06.139390
83,11,10,만료,71,2025-05-16 00:55:45.710876
148,18,35,만료,84,2025-04-21 10:07:49.286718
27,31,35,거절,92,2025-05-01 14:40:34.660995
156,10,40,거절,78,2025-05-17 14:23:26.923158
99,14,56,성사,93,2025-05-01 16:31:39.272497
112,57,47,성사,90,2025-04-01 17:32:56.752911
77,35,15,만료,78,2025-05-30 23:42:24.680569
37,30,46,거절,75,2025-03-03 17:51:51.904932
165,16,57,대기중,93,2025-05-05 21:23:49.135107
23,23,51,대기중,69,2025-04-24 17:33:09.918536
105,56,17,성사,93,2025-05-17 00:35:41.496065
76,22,57,대기중,82,2025-03-06 15:45:33.602265
147,41,28,거절,76,2025-04-12 07:14:15.040928
12,30,7,대기중,71,2025-03-31 18:38:05.054499
7,56,3,대기중,99,2025-03-05 04:08:11.958102
28,14,12,만료,94,2025-05-28 09:10:59.932736
113,33,39,만료,69,2025-05-24 23:47:16.724837
5,22,22,만료,66,2025-04-27 02:24:10.212094
33,41,58,성사,92,2025-04-09 21:02:34.594242
102,16,15,성사,74,2025-05-31 01:19:43.922590
129,51,15,대기중,88,2025-03-24 15:28:08.897860
96,32,24,대기중,80,2025-05-31 09:36:03.610180
11,52,56,만료,61,2025-03-28 13:09:10.573088
115,42,31,대기중,93,2025-03-07 02:19:25.167058
134,21,10,성사,92,2025-05-18 10:24:59.467734
1,31,6,성사,61,2025-05-24 05:51:16.588355
137,6,44,성사,74,2025-03-27 02:41:14.060364
71,42,12,성사,67,2025-05-18 04:04:16.673110
65,23,39,거절,73,2025-04-10 16:11:47.612595
45,59,8,성사,75,2025-05-20 06:52:03.006387
