group_id,group_name,description,created_at,is_favorite
1,가족,Labore cumque fugiat labore suscipit officiis.,2024-02-23,0
2,동호회,Modi ex labore porro. Commodi cupiditate explicabo nam cum.,2025-01-12,0
3,직장동료,Saepe aperiam rem explicabo ipsa ut. Ipsam veritatis dolorum nobis nam.,2023-08-25,1
4,기타,Consectetur quam repellendus adipisci doloribus quae. Natus at cum eius dolores quae perspiciatis.,2024-08-27,1
5,고등학교,Ipsa ducimus vel quisquam sunt reprehenderit. Rem voluptatem ea modi et natus dolore sequi.,2025-03-04,0
6,직장동료,Occaecati harum veritatis. Ratione veritatis magnam. Provident officia harum ipsam nesciunt.,2023-07-23,0
7,기타,Maxime enim eos voluptates saepe incidunt ipsum. Repellendus placeat eaque illo.,2024-03-22,0
8,동네이웃,Neque rerum aut optio nulla fuga maxime. Soluta et itaque consectetur. Excepturi aliquam laborum.,2023-11-13,0
9,카페,Aliquid fugiat soluta voluptatibus. Repellendus tempore velit voluptatibus.,2023-12-31,0
10,동호회,Id deleniti ratione ducimus sunt recusandae dolores.,2023-06-22,0
