analytics_id,livestock_mkt,monthly_avg_price,supply_stability,demand_trend,competition_level,quality_rating,avg_transaction_size,customer_satisfaction,market_share,growth_rate,last_updated
1,1,19081,보통,유지,보통,4,1120-1129,레벨5,0.133,-0.065,2025-05-03 18:55:06.339982
2,2,18606,보통,상승,낮음,4,1290-1299,레벨4,0.011,0.175,2025-05-29 12:01:51.656715
3,3,15163,보통,유지,보통,5,6360-6369,레벨3,0.09,-0.011,2025-05-13 11:43:16.381623
4,4,21617,안정,유지,높음,4,2290-2299,레벨4,0.025,0.084,2025-05-11 03:53:13.153439
5,5,17794,불안정,상승,보통,4,3990-3999,레벨3,0.148,-0.034,2025-05-24 07:33:47.206427
6,6,19878,안정,상승,보통,5,5770-5779,레벨1,0.05,-0.06,2025-05-17 14:15:15.310544
7,7,21281,안정,유지,높음,5,1510-1519,레벨1,0.148,-0.054,2025-05-04 22:47:06.781310
8,8,21658,안정,하락,낮음,4,3290-3299,레벨3,0.086,0.124,2025-05-20 18:40:15.390815
9,9,20476,불안정,하락,낮음,3,3640-3649,레벨5,0.079,0.082,2025-05-18 08:45:14.731910
10,10,21941,안정,유지,높음,4,5220-5229,레벨4,0.141,0.025,2025-05-11 01:17:03.848355
11,11,18565,안정,하락,높음,3,5100-5109,레벨5,0.129,0.065,2025-05-21 21:30:21.869640
12,12,19206,불안정,유지,높음,5,2350-2359,레벨1,0.076,0.041,2025-05-11 02:58:14.193666
13,13,17551,보통,유지,보통,3,6790-6799,레벨3,0.037,0.061,2025-05-10 13:54:28.871608
14,14,17953,안정,유지,보통,5,5000-5009,레벨3,0.026,0.099,2025-05-23 13:04:33.245028
15,15,22293,보통,상승,낮음,3,8320-8329,레벨2,0.033,-0.034,2025-05-05 14:02:31.176625
16,16,17620,불안정,하락,보통,3,8080-8089,레벨2,0.074,-0.026,2025-05-21 12:52:55.151650
17,17,20821,안정,하락,낮음,4,8740-8749,레벨3,0.046,0.126,2025-05-19 11:50:05.652889
18,18,22736,불안정,상승,높음,4,6530-6539,레벨1,0.036,0.162,2025-05-16 14:27:40.286086
19,19,17494,불안정,유지,높음,3,6240-6249,레벨1,0.113,-0.075,2025-05-08 05:55:45.098230
20,20,18245,안정,하락,낮음,3,9050-9059,레벨4,0.121,0.034,2025-05-19 17:47:57.717216
21,21,20583,보통,하락,낮음,3,5640-5649,레벨5,0.089,0.111,2025-05-26 13:17:45.426144
22,22,22633,불안정,유지,보통,5,3430-3439,레벨4,0.116,-0.077,2025-05-19 07:39:31.222857
23,23,21637,안정,하락,보통,5,3130-3139,레벨4,0.035,0.069,2025-05-18 15:36:53.599574
24,24,24326,보통,상승,낮음,5,6170-6179,레벨3,0.13,-0.081,2025-05-16 12:50:23.289425
25,25,24026,불안정,유지,보통,4,8660-8669,레벨3,0.136,0.064,2025-05-15 17:42:45.655221
26,26,24289,보통,하락,낮음,4,4450-4459,레벨4,0.126,0.052,2025-05-18 17:27:53.634244
27,27,15590,불안정,하락,높음,3,8530-8539,레벨5,0.082,0.072,2025-05-05 10:34:12.145148
28,28,17461,불안정,유지,보통,5,2500-2509,레벨5,0.022,-0.055,2025-05-28 19:07:08.645991
29,29,19914,불안정,유지,낮음,3,3110-3119,레벨5,0.104,-0.002,2025-05-05 07:29:03.571070
30,30,15078,안정,유지,낮음,3,5890-5899,레벨2,0.036,0.056,2025-05-08 14:36:15.464989
31,31,20055,보통,상승,보통,4,7020-7029,레벨1,0.03,-0.065,2025-05-11 22:42:11.457782
32,32,23366,보통,유지,보통,5,2410-2419,레벨5,0.055,-0.038,2025-05-28 01:29:03.099091
33,33,24930,안정,하락,높음,4,6070-6079,레벨1,0.045,0.075,2025-05-08 23:46:51.945107
34,34,16785,불안정,하락,높음,3,5580-5589,레벨3,0.047,-0.073,2025-05-03 00:24:05.774275
35,35,24513,불안정,유지,보통,3,8270-8279,레벨4,0.043,0.053,2025-05-14 20:47:00.401545
36,36,16532,불안정,하락,높음,5,4490-4499,레벨4,0.116,0.143,2025-06-02 01:48:12.671452
37,37,19472,안정,유지,낮음,3,7450-7459,레벨3,0.144,0.036,2025-05-14 20:07:34.437311
38,38,23107,안정,상승,낮음,4,6920-6929,레벨3,0.052,0.054,2025-06-01 10:57:17.906217
39,39,21040,불안정,유지,낮음,3,7860-7869,레벨2,0.111,0.037,2025-05-14 15:25:50.001548
40,40,17348,안정,유지,보통,3,9920-9929,레벨4,0.012,-0.083,2025-05-10 16:17:02.674170
41,41,24589,불안정,하락,높음,3,2830-2839,레벨5,0.102,0.039,2025-05-24 08:16:54.507569
42,42,23647,보통,유지,높음,5,7400-7409,레벨4,0.107,0.142,2025-05-26 14:16:29.379917
43,43,21621,안정,하락,높음,5,3900-3909,레벨2,0.019,0.117,2025-05-14 05:56:46.496234
44,44,16127,안정,유지,높음,4,8670-8679,레벨1,0.027,0.019,2025-05-06 17:28:04.890678
45,45,19831,안정,하락,높음,5,9280-9289,레벨2,0.053,0.145,2025-06-01 06:02:58.306155
46,46,15600,안정,유지,낮음,4,4140-4149,레벨2,0.067,0.124,2025-05-20 21:06:37.172642
47,47,17132,불안정,유지,높음,5,2720-2729,레벨3,0.08,0.073,2025-05-21 01:03:54.209996
48,48,22719,안정,하락,높음,4,1600-1609,레벨4,0.135,-0.086,2025-05-10 03:29:55.707950
49,49,19459,불안정,유지,보통,4,7500-7509,레벨4,0.108,0.003,2025-05-19 18:28:12.331712
50,50,24436,불안정,상승,낮음,4,7320-7329,레벨1,0.054,-0.081,2025-05-18 06:05:37.221864
