setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,notification_tournament,privacy_level,timer_preference
1,1,한국어,True,예,False,느림,2,True,False,공개,107
2,2,한국어,True,예,True,느림,19,True,True,공개,94
3,3,일본어,True,아니오,False,느림,17,False,True,친구만,128
4,4,영어,True,아니오,False,빠름,2,True,True,비공개,172
5,5,한국어,True,예,False,보통,19,False,True,공개,136
6,6,영어,True,아니오,False,빠름,5,True,True,비공개,46
7,7,중국어,True,예,False,보통,9,False,True,비공개,112
8,8,일본어,False,예,True,느림,6,True,True,친구만,135
9,9,중국어,True,예,True,보통,18,True,True,비공개,83
10,10,한국어,True,아니오,False,빠름,6,True,True,공개,148
11,11,한국어,True,예,False,느림,13,True,True,친구만,31
12,12,중국어,True,예,True,느림,3,True,False,친구만,113
13,13,한국어,True,예,True,느림,11,True,True,비공개,98
14,14,한국어,True,예,True,빠름,14,True,True,공개,95
15,15,중국어,True,예,True,빠름,3,True,True,친구만,40
16,16,영어,True,예,False,보통,6,True,True,비공개,128
17,17,한국어,True,아니오,False,느림,9,False,True,공개,123
18,18,한국어,True,예,False,빠름,2,False,True,공개,140
19,19,중국어,True,예,True,느림,13,False,True,공개,97
20,20,한국어,True,예,True,빠름,20,True,True,공개,30
21,21,일본어,False,예,False,보통,17,False,True,공개,30
22,22,영어,False,아니오,False,느림,16,False,True,공개,163
23,23,영어,True,예,False,빠름,5,False,True,비공개,49
24,24,중국어,True,예,False,느림,5,False,True,비공개,109
25,25,한국어,False,예,False,빠름,12,True,True,공개,104
26,26,한국어,False,예,False,빠름,11,True,True,공개,41
27,27,영어,True,예,False,빠름,9,True,True,친구만,40
28,28,한국어,False,예,False,느림,17,True,True,친구만,35
29,29,일본어,False,예,False,보통,3,True,True,공개,102
30,30,영어,False,예,True,보통,1,True,True,비공개,52
31,31,한국어,False,예,True,느림,8,False,True,공개,144
32,32,중국어,True,아니오,False,느림,9,True,True,공개,55
33,33,한국어,True,아니오,True,보통,9,True,True,친구만,77
34,34,일본어,True,예,False,빠름,17,True,True,친구만,39
35,35,중국어,False,예,True,빠름,14,True,True,공개,41
36,36,중국어,True,예,True,보통,19,True,True,공개,168
37,37,한국어,False,아니오,False,빠름,9,True,True,비공개,97
38,38,영어,True,예,True,느림,6,False,True,친구만,84
39,39,영어,True,예,True,느림,8,True,True,공개,79
40,40,중국어,True,예,True,느림,8,False,True,친구만,98
41,41,한국어,True,예,False,빠름,4,True,True,친구만,141
42,42,중국어,True,아니오,True,빠름,18,True,False,비공개,76
43,43,한국어,True,예,False,느림,5,True,True,친구만,53
44,44,중국어,True,예,False,느림,17,False,False,친구만,104
45,45,영어,True,예,False,느림,16,True,True,공개,133
46,46,일본어,True,아니오,False,느림,9,True,True,친구만,51
47,47,영어,False,예,True,빠름,10,True,True,비공개,171
48,48,영어,False,예,False,보통,8,True,True,공개,53
49,49,중국어,True,아니오,False,느림,18,True,True,친구만,65
50,50,한국어,False,예,False,보통,13,True,True,공개,148
51,51,영어,True,예,True,느림,14,True,True,비공개,79
