price_id,livestock_mkt,record_date,product_type,grade,part,price_per_kg,supply_volume,demand_level,season,disease_outbreak,currency_rate,predicted_price,accuracy_score
1,14,2024-05-02,소고기,특등급,목살,32107,1644,높음,여름,아니오,1102.74,13594,0.914
2,49,2024-02-01,오리고기,등외급,등심,11654,292,보통,여름,아니오,1251.72,17867,0.838
3,18,2024-06-17,돼지고기,3등급,앞다리,12736,4235,보통,봄,아니오,1211.96,24222,0.928
4,3,2024-06-16,닭고기,2등급,갈비,18839,4859,낮음,여름,아니오,1285.35,27220,0.885
5,38,2025-01-23,닭고기,특등급,앞다리,21657,1820,낮음,가을,아니오,1300.03,11789,0.805
6,14,2024-01-13,닭고기,특등급,갈비,29725,218,보통,겨울,아니오,1284.96,23030,0.78
7,7,2025-02-27,오리고기,3등급,안심,33489,1288,높음,가을,아니오,1244.96,24291,0.804
8,37,2024-06-11,돼지고기,3등급,갈비,27674,2714,높음,봄,아니오,1246.36,10675,0.88
9,13,2024-10-13,닭고기,특등급,안심,15005,3263,낮음,겨울,아니오,1101.98,22872,0.768
10,41,2024-02-26,양고기,등외급,등심,13973,3852,낮음,겨울,아니오,1265.49,27869,0.719
11,27,2023-09-04,닭고기,1등급,앞다리,22410,1432,높음,겨울,아니오,1103.56,24076,0.793
12,34,2023-12-09,돼지고기,2등급,앞다리,21007,1901,높음,여름,아니오,1258.83,28691,0.826
13,18,2023-06-22,양고기,특등급,삼겹살,12988,2556,낮음,봄,아니오,1182.42,33380,0.925
14,42,2024-04-27,양고기,3등급,안심,29948,2428,낮음,여름,아니오,1393.24,16934,0.745
15,19,2024-01-25,양고기,2등급,안심,27146,328,높음,여름,아니오,1105.14,24703,0.901
16,48,2023-07-18,닭고기,2등급,목살,16550,561,높음,봄,아니오,1343.95,22401,0.945
17,2,2024-12-16,오리고기,2등급,삼겹살,12827,4651,높음,여름,아니오,1302.21,33004,0.939
18,46,2024-08-04,돼지고기,2등급,갈비,32883,4401,보통,겨울,아니오,1341.85,8736,0.717
19,31,2024-07-02,오리고기,1등급,목살,17798,4321,낮음,가을,예,1372.93,21532,0.816
20,32,2024-11-15,양고기,2등급,삼겹살,30698,2783,낮음,봄,예,1132.1,29544,0.771
21,5,2024-06-17,양고기,특등급,앞다리,30970,1777,보통,여름,아니오,1128.89,25328,0.911
22,14,2024-07-28,소고기,등외급,목살,9364,1722,높음,겨울,아니오,1144.67,25486,0.782
23,33,2023-10-17,닭고기,3등급,목살,24885,2546,낮음,가을,아니오,1157.58,24171,0.838
24,12,2025-04-19,소고기,특등급,뒷다리,30366,2524,높음,봄,아니오,1257.94,30986,0.702
25,35,2024-11-17,오리고기,2등급,삼겹살,33701,1958,보통,가을,아니오,1344.56,20074,0.75
26,5,2024-05-09,오리고기,1등급,등심,31861,2663,높음,여름,아니오,1180.2,31983,0.841
27,8,2023-10-11,오리고기,등외급,등심,18545,2151,보통,봄,아니오,1219.07,14095,0.776
28,45,2025-04-01,소고기,3등급,안심,24686,2523,높음,여름,아니오,1211.92,15958,0.856
29,28,2024-04-19,돼지고기,3등급,앞다리,25861,216,낮음,겨울,아니오,1221.81,24619,0.816
30,47,2024-06-11,오리고기,2등급,목살,9052,1595,보통,여름,아니오,1269.5,27273,0.848
31,21,2024-12-24,닭고기,3등급,등심,28941,2963,보통,여름,아니오,1397.07,29383,0.823
32,12,2024-11-18,소고기,등외급,삼겹살,23778,3186,낮음,봄,아니오,1167.76,11923,0.893
33,45,2025-04-07,오리고기,1등급,앞다리,28361,4964,낮음,여름,아니오,1305.21,13234,0.749
34,14,2023-12-20,닭고기,2등급,안심,32743,3618,높음,가을,아니오,1354.36,16299,0.925
35,39,2024-09-07,닭고기,등외급,갈비,31659,106,보통,겨울,아니오,1296.12,10664,0.89
36,45,2023-11-13,돼지고기,1등급,뒷다리,18992,4672,높음,봄,아니오,1357.47,15562,0.761
37,32,2024-09-17,양고기,2등급,갈비,18172,823,높음,봄,아니오,1327.88,11488,0.702
38,47,2024-09-15,돼지고기,1등급,갈비,34046,4431,보통,봄,예,1128.05,10037,0.803
39,28,2025-04-20,돼지고기,3등급,목살,18713,2225,높음,봄,예,1213.78,15767,0.758
40,12,2025-03-17,오리고기,3등급,등심,23961,4440,낮음,여름,아니오,1265.81,25576,0.787
41,49,2024-10-18,양고기,특등급,갈비,29513,537,낮음,여름,아니오,1116.83,15931,0.91
42,43,2023-08-03,닭고기,등외급,등심,12991,1833,높음,봄,아니오,1102.84,14819,0.919
43,48,2025-03-28,오리고기,1등급,갈비,19247,2826,보통,겨울,아니오,1151.42,12054,0.938
44,26,2024-01-17,소고기,3등급,목살,8644,2482,높음,가을,아니오,1249.96,8922,0.7
45,6,2024-07-23,양고기,3등급,갈비,24396,3066,낮음,가을,아니오,1230.17,29470,0.864
46,45,2024-06-23,닭고기,1등급,앞다리,31755,3604,낮음,겨울,아니오,1335.31,33017,0.912
47,21,2024-10-03,오리고기,2등급,안심,21107,894,낮음,겨울,예,1269.76,13266,0.882
48,7,2023-11-26,닭고기,2등급,안심,14868,297,보통,봄,아니오,1357.39,22644,0.726
49,4,2024-04-02,소고기,특등급,갈비,23936,4949,보통,가을,아니오,1128.61,23211,0.832
50,16,2024-08-12,돼지고기,등외급,뒷다리,28910,2790,보통,여름,아니오,1258.45,17826,0.76
