detail_id,project_id,description,start_date,end_date,category,reward_info,risk_info,delivery_date,thumbnail_url
1,1,443,2025-05-15,2025-06-23,게임,"Magni dolore earum reiciendis. Quo odit quidem quisquam.
Minima ea ea voluptates fugiat. Quibusdam repellendus voluptatibus laborum corporis.",144,2025-09-30,https://img.example.com/thumb_1.jpg
2,2,484,2025-04-13,2025-06-06,게임,Omnis nesciunt odit repudiandae et. Consequuntur earum itaque voluptatibus quas aliquid.,163,2025-09-09,https://img.example.com/thumb_2.jpg
3,3,424,2025-03-25,2025-06-06,패션,Fugiat facilis sed ut deleniti officia. Consequatur aspernatur quae nostrum corporis. Eaque quam amet impedit eos error.,142,2025-09-22,https://img.example.com/thumb_3.jpg
4,4,402,2025-03-11,2025-06-23,푸드,Fugit nesciunt alias. Vel perferendis ratione aut id odit perferendis. Doloribus corrupti nostrum dolorum aspernatur.,125,2025-08-15,https://img.example.com/thumb_4.jpg
5,5,414,2025-05-21,2025-07-31,게임,"A earum officia nemo quibusdam voluptatum quisquam. Fugit numquam quaerat doloremque non.
Dolor animi pariatur. Repellendus repellendus odio dolore eveniet dolor reiciendis nam.",36,2026-05-06,https://img.example.com/thumb_5.jpg
6,6,494,2025-05-09,2025-06-06,푸드,Praesentium libero at excepturi harum impedit. Ipsum officia dignissimos accusantium ullam. Corrupti natus ea ipsum eos amet. Voluptatem nesciunt voluptatum.,118,2026-02-14,https://img.example.com/thumb_6.jpg
7,7,450,2025-05-12,2025-08-08,기술,Alias quibusdam praesentium repellat rerum. Explicabo vero numquam quisquam quam tempore minima.,136,2025-08-03,https://img.example.com/thumb_7.jpg
8,8,465,2025-04-28,2025-08-22,푸드,Quam harum consequuntur eos doloribus dignissimos. Ea optio ex voluptate aut iusto. At illo culpa perspiciatis architecto facere veniam.,150,2025-07-29,https://img.example.com/thumb_8.jpg
9,9,474,2025-03-13,2025-07-09,예술,Animi nobis praesentium consequatur eos. Quas iure officia non quasi animi earum.,191,2025-10-13,https://img.example.com/thumb_9.jpg
10,10,393,2025-03-12,2025-08-14,기타,Hic accusamus cumque ullam magni numquam. Fugit tempore magni vel quas quas. Ut commodi sequi earum.,173,2026-05-21,https://img.example.com/thumb_10.jpg
11,11,480,2025-03-19,2025-08-08,게임,"Dolores nesciunt placeat. Temporibus similique sequi officiis.
Ipsa perferendis quisquam aliquam quibusdam sit. Voluptatum veniam cum id.",137,2025-07-02,https://img.example.com/thumb_11.jpg
12,12,426,2025-05-02,2025-07-31,패션,Provident est sequi. Amet ipsa in voluptatem repudiandae. Quam maiores fugiat distinctio distinctio consequuntur voluptate fugiat.,188,2025-12-08,https://img.example.com/thumb_12.jpg
13,13,416,2025-04-18,2025-08-13,푸드,"Sed explicabo totam voluptatum nisi quisquam facilis velit. Totam ut sint repellat suscipit ipsum pariatur.
Magni ipsam placeat a occaecati. Ipsa nulla assumenda similique.",150,2025-11-10,https://img.example.com/thumb_13.jpg
14,14,496,2025-03-20,2025-06-07,패션,Placeat soluta incidunt architecto. Accusantium nam saepe eius.,84,2026-01-16,https://img.example.com/thumb_14.jpg
15,15,414,2025-04-15,2025-08-05,푸드,Suscipit voluptatum rem numquam commodi consequatur. In mollitia maiores rem.,177,2025-09-16,https://img.example.com/thumb_15.jpg
16,16,487,2025-05-08,2025-06-14,게임,Vero minima assumenda quas cupiditate fuga dolore. Ut veritatis similique dolore voluptatum. Possimus iste explicabo aliquid corporis ab consectetur.,107,2026-01-30,https://img.example.com/thumb_16.jpg
17,17,396,2025-03-21,2025-07-14,기타,"Aut esse sunt esse modi maiores vitae. Eius molestias maiores soluta culpa aspernatur.
Vel ut mollitia voluptates doloribus perspiciatis doloribus.",141,2025-10-24,https://img.example.com/thumb_17.jpg
18,18,395,2025-03-29,2025-06-15,패션,"Ex deserunt fugiat placeat. Aspernatur eligendi eveniet fuga ab.
Nobis assumenda eligendi itaque autem. Magnam error sed eum.",146,2026-04-06,https://img.example.com/thumb_18.jpg
19,19,457,2025-03-16,2025-06-07,기타,"Iure labore sunt impedit optio facere.
Dignissimos assumenda soluta sunt nisi quaerat soluta beatae. Nesciunt incidunt ut earum eveniet placeat. Dignissimos magnam autem fugiat ducimus in.",186,2026-02-19,https://img.example.com/thumb_19.jpg
20,20,410,2025-04-29,2025-07-05,예술,"Doloribus fuga provident ipsam. Laborum quod quia maxime.
Natus rem provident iure minima dolore. Quae expedita quos est. Repudiandae praesentium labore eos laborum officiis.",161,2026-05-22,https://img.example.com/thumb_20.jpg
21,21,465,2025-03-22,2025-06-28,패션,Mollitia exercitationem temporibus iure exercitationem recusandae aperiam eaque. Numquam nulla autem quis autem sunt tempora.,187,2025-09-06,https://img.example.com/thumb_21.jpg
22,22,321,2025-05-02,2025-08-14,기술,Eius nesciunt numquam inventore tempore sed officia. Quae enim nihil ullam modi explicabo quos illum.,139,2026-04-29,https://img.example.com/thumb_22.jpg
23,23,465,2025-04-01,2025-07-09,기술,"Aliquid accusamus rerum laudantium recusandae quidem ut.
Alias commodi vero atque doloremque error omnis quis.",126,2026-05-16,https://img.example.com/thumb_23.jpg
24,24,491,2025-04-21,2025-07-23,기술,Nostrum nihil error aut error. Ullam cum voluptatum.,161,2026-01-18,https://img.example.com/thumb_24.jpg
25,25,383,2025-03-31,2025-07-24,푸드,Ratione dolorum nam. Dolorum minima hic quos repellat at cupiditate. Veritatis modi soluta odit possimus eos.,185,2025-12-08,https://img.example.com/thumb_25.jpg
26,26,401,2025-05-01,2025-07-28,푸드,Sapiente in dolor laborum. In molestiae placeat tempora voluptas voluptas. Maxime cupiditate beatae sequi illum. Deserunt et dolor.,145,2026-03-30,https://img.example.com/thumb_26.jpg
