transaction_id,user_id,stock_code,stock_name,transaction_type,quantity,price,transaction_date
1,2,005930,삼성바이오로직스,매수,18,228166,2025-02-21 07:24:06.857763
2,49,005380,SK하이닉스,매도,84,388292,2025-01-17 10:24:59.686928
3,14,005930,현대차,매도,70,341670,2024-12-17 07:41:10.768967
4,18,000660,SK하이닉스,매도,90,117501,2024-12-02 02:36:40.976274
5,1,005930,삼성전자,매수,52,14037,2024-12-05 09:41:38.417798
6,21,005930,삼성바이오로직스,매수,78,254627,2024-12-14 21:19:58.793726
7,30,005930,SK하이닉스,매수,55,406171,2025-05-15 01:50:48.008857
8,28,035420,NAVER,매도,20,126770,2025-02-15 03:16:32.083216
9,4,000660,현대차,매도,30,197373,2025-02-26 04:16:56.156330
10,2,000660,현대차,매도,20,353301,2025-05-14 22:38:22.527454
11,37,207940,삼성전자,매수,79,114866,2025-05-15 00:22:08.202894
12,16,035420,삼성전자,매수,88,407842,2025-05-19 08:47:11.247634
13,8,005380,현대차,매수,95,198317,2024-12-14 14:04:56.611255
14,5,035420,삼성바이오로직스,매도,82,402234,2025-05-31 02:34:45.779950
15,27,035420,삼성바이오로직스,매수,13,244801,2025-04-12 16:20:05.034652
16,41,207940,삼성바이오로직스,매도,10,96812,2025-01-19 19:21:32.390102
17,19,207940,NAVER,매수,42,336041,2025-05-25 06:07:29.539263
18,18,005380,현대차,매수,86,485894,2025-04-19 04:23:00.551744
19,30,035420,현대차,매수,86,124430,2025-04-07 02:44:12.095245
20,45,005930,삼성바이오로직스,매도,90,105733,2025-01-25 07:57:16.126724
21,39,207940,SK하이닉스,매수,37,278081,2025-02-05 12:24:14.115212
22,12,035420,삼성전자,매도,55,96354,2025-03-23 23:02:30.712585
23,38,005380,삼성바이오로직스,매수,44,453861,2025-05-20 06:17:15.030755
24,36,207940,SK하이닉스,매도,66,42558,2025-02-12 16:35:12.355951
25,23,035420,현대차,매수,58,337311,2025-01-19 01:10:47.623063
26,39,000660,SK하이닉스,매도,61,291197,2025-03-31 22:46:15.341320
27,38,005930,삼성전자,매도,64,419415,2025-03-13 10:38:30.458240
28,5,005380,현대차,매수,19,276650,2024-12-21 04:22:48.338627
29,37,207940,삼성전자,매수,100,47616,2025-04-08 12:24:33.855804
30,41,035420,삼성바이오로직스,매도,41,43263,2025-05-13 23:45:18.695100
31,42,207940,NAVER,매도,43,159372,2025-05-01 01:23:25.372254
32,49,000660,삼성바이오로직스,매도,23,390618,2025-02-25 14:23:18.419309
33,12,005930,SK하이닉스,매도,61,442014,2025-03-23 15:49:23.883221
34,50,035420,NAVER,매도,40,62118,2025-05-22 18:14:41.485515
35,42,005930,SK하이닉스,매수,16,48859,2025-01-03 22:52:37.759365
36,1,035420,삼성바이오로직스,매도,93,443837,2025-03-16 20:57:56.481527
37,41,000660,삼성전자,매도,41,35718,2025-05-06 23:35:47.979168
38,37,005380,삼성전자,매수,80,251246,2024-12-23 18:28:15.647848
39,30,005930,NAVER,매도,84,298885,2025-03-23 14:52:08.738023
40,17,035420,삼성전자,매수,92,460138,2025-02-16 10:08:21.638764
41,4,207940,현대차,매도,11,140906,2025-01-20 08:12:25.469481
42,47,207940,삼성바이오로직스,매수,75,131902,2025-04-17 05:09:05.402716
43,16,005380,SK하이닉스,매도,18,268240,2025-05-12 19:54:24.154068
44,21,005930,NAVER,매도,62,400421,2025-04-13 01:38:59.952430
45,44,005380,SK하이닉스,매도,46,490304,2025-04-17 23:30:40.200584
46,6,207940,NAVER,매수,58,144214,2025-03-27 15:42:08.498358
47,41,035420,현대차,매도,18,303787,2024-12-25 17:04:25.447664
48,42,005380,현대차,매도,38,163981,2024-12-19 23:48:06.836482
49,47,207940,현대차,매수,83,413913,2025-04-30 12:02:00.097816
50,15,000660,삼성전자,매수,23,294823,2025-01-12 08:42:02.014420
51,20,005930,삼성전자,매수,74,149940,2024-12-02 09:28:13.979436
52,13,000660,삼성전자,매수,73,96057,2025-05-23 19:12:56.415824
53,7,005380,삼성바이오로직스,매도,68,256265,2025-01-13 02:43:50.157882
54,42,035420,삼성바이오로직스,매도,60,101545,2025-03-16 18:48:01.444576
55,27,005930,NAVER,매도,10,218260,2025-02-17 23:39:54.691513
56,17,035420,SK하이닉스,매도,83,333411,2025-02-21 14:55:08.919224
57,47,000660,SK하이닉스,매도,68,165037,2025-01-29 21:48:37.015560
58,37,000660,현대차,매수,77,49278,2024-12-19 14:42:15.249498
59,49,005930,SK하이닉스,매도,71,312734,2025-03-29 08:56:52.246166
