setting_id,owner,card_back_design,notification_friend_online,notification_tournament,privacy_level,timer_preference
1,1,2,True,False,공개,107
2,2,19,True,True,공개,94
3,3,17,False,True,친구만,128
4,4,2,True,True,비공개,172
5,5,19,False,True,공개,136
6,6,5,True,True,비공개,46
7,7,9,False,True,비공개,112
8,8,6,True,True,친구만,135
9,9,18,True,True,비공개,83
10,10,6,True,True,공개,148
11,11,13,True,True,친구만,31
12,12,3,True,False,친구만,113
13,13,11,True,True,비공개,98
14,14,14,True,True,공개,95
15,15,3,True,True,친구만,40
16,16,6,True,True,비공개,128
17,17,9,False,True,공개,123
18,18,2,False,True,공개,140
19,19,13,False,True,공개,97
20,20,20,True,True,공개,30
21,21,17,False,True,공개,30
22,22,16,False,True,공개,163
23,23,5,False,True,비공개,49
24,24,5,False,True,비공개,109
25,25,12,True,True,공개,104
26,26,11,True,True,공개,41
27,27,9,True,True,친구만,40
28,28,17,True,True,친구만,35
29,29,3,True,True,공개,102
30,30,1,True,True,비공개,52
31,31,8,False,True,공개,144
32,32,9,True,True,공개,55
33,33,9,True,True,친구만,77
34,34,17,True,True,친구만,39
35,35,14,True,True,공개,41
36,36,19,True,True,공개,168
37,37,9,True,True,비공개,97
38,38,6,False,True,친구만,84
39,39,8,True,True,공개,79
40,40,8,False,True,친구만,98
41,41,4,True,True,친구만,141
42,42,18,True,False,비공개,76
43,43,5,True,True,친구만,53
44,44,17,False,False,친구만,104
45,45,16,True,True,공개,133
46,46,9,True,True,친구만,51
47,47,10,True,True,비공개,171
48,48,8,True,True,공개,53
49,49,18,True,True,친구만,65
50,50,13,True,True,공개,148
51,51,14,True,True,비공개,79
52,52,7,True,True,친구만,114
53,53,16,False,True,비공개,147
54,54,20,False,True,비공개,142
55,55,20,True,True,비공개,140
56,56,4,False,True,친구만,87
57,57,11,True,True,공개,103
58,58,9,True,True,공개,169
59,59,4,False,True,공개,88
60,60,15,False,True,공개,72
61,61,20,False,False,공개,171
62,62,17,False,True,친구만,164
63,63,5,False,True,친구만,158
64,64,10,False,True,비공개,76
65,65,14,False,True,비공개,152
66,66,2,True,True,친구만,162
67,67,20,True,True,친구만,157
68,68,8,True,True,비공개,46
69,69,7,False,True,친구만,171
70,70,20,False,True,비공개,78
71,71,4,False,True,친구만,175
72,72,5,True,True,비공개,76
73,73,2,True,True,친구만,47
74,74,20,True,True,친구만,173
75,75,1,False,True,비공개,115
76,76,15,True,True,친구만,48
77,77,12,True,True,친구만,175
78,78,10,False,True,친구만,112
79,79,10,True,False,공개,47
80,80,18,False,False,공개,130
81,81,6,True,True,친구만,57
82,82,1,True,True,비공개,69
83,83,15,False,True,공개,98
84,84,11,True,True,비공개,86
85,85,18,True,True,친구만,152
86,86,3,False,True,비공개,168
87,87,17,True,True,친구만,110
88,88,11,True,True,공개,85
89,89,15,True,True,공개,70
90,90,16,True,True,공개,60
91,91,1,True,False,공개,159
92,92,12,False,True,공개,70
93,93,18,True,True,친구만,71
94,94,2,True,True,공개,166
95,95,11,True,True,친구만,141
96,96,19,False,True,친구만,56
97,97,8,True,True,공개,171
98,98,20,False,True,친구만,46
99,99,15,True,True,비공개,32
100,100,2,True,True,공개,35
101,101,2,False,True,친구만,155
102,102,1,True,True,공개,36
103,103,8,False,True,비공개,108
104,104,1,False,True,친구만,158
105,105,5,True,True,비공개,175
106,106,18,True,True,비공개,53
107,107,11,True,True,공개,154
108,108,8,False,True,공개,84
109,109,17,True,True,비공개,37
110,110,3,False,True,공개,123
111,111,18,False,True,친구만,133
112,112,4,True,True,비공개,38
113,113,5,False,True,공개,163
114,114,9,True,True,공개,47
115,115,20,True,True,친구만,33
116,116,20,True,True,공개,122
117,117,9,True,False,친구만,40
118,118,2,True,True,공개,115
119,119,12,True,True,공개,68
120,120,10,False,True,비공개,46
121,121,6,False,True,공개,157
122,122,1,False,True,비공개,60
123,123,12,True,True,비공개,41
124,124,9,True,True,비공개,144
125,125,5,False,True,공개,152
126,126,5,True,True,비공개,144
127,127,12,True,True,비공개,142
128,128,5,True,True,비공개,68
129,129,11,True,True,비공개,138
130,130,17,True,True,비공개,60
131,131,13,True,True,공개,103
132,132,5,False,True,공개,144
133,133,2,True,True,비공개,153
134,134,12,False,True,공개,125
135,135,20,False,True,친구만,177
136,136,11,False,False,공개,87
137,137,4,True,True,비공개,128
138,138,1,True,True,비공개,41
139,139,17,True,True,비공개,64
140,140,20,False,True,친구만,43
141,141,12,False,False,공개,96
142,142,4,True,True,비공개,44
143,143,5,False,True,친구만,56
144,144,9,False,True,비공개,62
