price_id,livestock_mkt,record_date,product_type,grade,part,price_per_kg,supply_volume,demand_level,season,disease_outbreak,currency_rate,predicted_price,accuracy_score
111,27,2025-01-12,닭고기,특등급,안심,33758,3208,낮음,가을,False,1192.48,20282,0.816
420,15,2024-11-15,소고기,특등급,안심,16978,2957,보통,여름,False,1273.38,21244,0.736
566,46,2024-02-01,양고기,3등급,삼겹살,31743,2094,보통,겨울,False,1385.9,30189,0.87
78,19,2025-05-29,닭고기,1등급,등심,26495,4384,보통,여름,False,1396.54,27649,0.719
182,3,2023-12-24,닭고기,1등급,목살,20639,2780,높음,봄,False,1231.54,20923,0.767
285,30,2025-04-21,오리고기,2등급,앞다리,26351,4879,보통,겨울,False,1276.1,19880,0.795
11,27,2023-09-04,닭고기,1등급,앞다리,22410,1432,높음,겨울,False,1103.56,24076,0.793
470,24,2024-03-10,돼지고기,2등급,갈비,14570,4540,높음,가을,False,1332.04,11995,0.859
79,22,2025-05-12,돼지고기,3등급,목살,8653,1400,보통,가을,False,1317.25,14210,0.751
350,9,2023-06-05,돼지고기,1등급,등심,30345,3390,높음,봄,False,1399.79,29426,0.767
56,48,2024-03-20,양고기,3등급,뒷다리,13574,1919,낮음,가을,False,1113.97,16104,0.93
119,47,2023-07-02,오리고기,1등급,목살,9724,4914,높음,봄,False,1107.88,20741,0.793
110,40,2024-07-09,돼지고기,3등급,안심,32076,4685,낮음,겨울,False,1101.56,16091,0.762
589,2,2023-06-09,닭고기,2등급,안심,12897,2501,낮음,가을,False,1130.87,9559,0.734
370,21,2025-05-24,오리고기,3등급,앞다리,20286,2121,높음,겨울,False,1261.63,16490,0.879
235,37,2024-08-28,닭고기,3등급,목살,20944,3057,보통,봄,False,1134.82,16678,0.937
31,21,2024-12-24,닭고기,3등급,등심,28941,2963,보통,여름,False,1397.07,29383,0.823
213,21,2024-05-18,닭고기,3등급,안심,12238,2426,높음,가을,False,1395.08,14978,0.7
185,7,2025-05-30,돼지고기,등외급,등심,15188,3713,높음,가을,False,1345.69,8534,0.714
87,31,2025-01-03,오리고기,3등급,삼겹살,30405,2965,높음,겨울,False,1386.46,32219,0.941
3,18,2024-06-17,돼지고기,3등급,앞다리,12736,4235,보통,봄,False,1211.96,24222,0.928
588,22,2024-02-17,소고기,2등급,뒷다리,23452,4905,낮음,가을,False,1176.53,13470,0.914
536,25,2024-06-15,소고기,1등급,목살,12868,3766,보통,겨울,False,1310.54,8785,0.85
597,14,2023-07-29,오리고기,특등급,삼겹살,14592,3120,보통,가을,False,1241.53,19773,0.895
369,50,2024-06-30,소고기,3등급,앞다리,24936,1508,보통,겨울,False,1184.33,24959,0.926
540,13,2024-04-12,양고기,1등급,등심,15659,419,높음,여름,False,1183.24,31278,0.864
73,18,2023-12-23,소고기,3등급,뒷다리,32654,4537,낮음,가을,False,1216.75,9133,0.9
136,49,2023-09-27,소고기,3등급,안심,18563,4212,낮음,겨울,False,1247.94,32812,0.843
557,29,2025-01-09,오리고기,3등급,등심,11760,1034,낮음,가을,False,1236.01,31988,0.91
438,40,2024-01-04,오리고기,특등급,목살,32498,2983,높음,봄,False,1147.69,28475,0.734
596,26,2024-04-25,돼지고기,등외급,삼겹살,23272,1227,보통,가을,False,1173.37,28890,0.879
164,27,2024-02-08,돼지고기,2등급,뒷다리,8133,782,낮음,여름,False,1390.62,11912,0.836
83,4,2024-07-22,양고기,등외급,삼겹살,16066,1377,높음,가을,False,1231.13,26272,0.741
258,11,2024-01-13,양고기,특등급,앞다리,19002,1083,보통,가을,False,1387.54,33054,0.93
193,16,2024-05-10,닭고기,3등급,갈비,32088,3045,낮음,여름,False,1336.72,17188,0.744
454,11,2025-05-11,오리고기,2등급,등심,15697,1701,높음,가을,False,1139.81,14519,0.778
133,1,2024-03-11,소고기,3등급,뒷다리,32290,2284,낮음,겨울,True,1214.22,34287,0.711
