detail_id,project_id,description,start_date,end_date,category
1,1,"Consequuntur reprehenderit modi. Sequi eum aliquid illum itaque.
Qui aspernatur perspiciatis veritatis sunt. Inventore placeat similique aut ea. Tenetur similique dolorem commodi magnam quis nihil.
Aut et pariatur sunt. Dicta sed asperiores quaerat commodi.
Ducimus culpa consectetur at iste est occaecati. Dolorum commodi optio neque amet. Odit laborum quibusdam nihil excepturi.
Magni nihil expedita sapiente earum. Iste cum quos fuga dolor.",2025-05-15,2025-06-23,게임
2,2,"Eius accusantium eum cum ab natus. Doloremque veniam excepturi dignissimos dignissimos natus. Porro culpa accusantium facilis itaque quo enim dolore.
Porro maiores soluta laudantium eveniet possimus quaerat. Numquam corrupti velit excepturi perspiciatis voluptate dolorum.
Rem facere officiis minus error maxime cumque. Numquam temporibus repudiandae voluptates exercitationem. Fugiat consequatur quis nam.
Odio laborum soluta placeat aspernatur magni. Odio facilis maxime laboriosam.",2025-04-13,2025-06-06,게임
3,3,"Voluptates numquam minima mollitia magnam.
Voluptatum deleniti ipsa iure placeat repudiandae pariatur. Nisi sapiente ullam est nisi culpa.
Ab tempore architecto deleniti culpa. Aut dolor reprehenderit deleniti labore ipsa. Nisi officia iste sequi aliquid. Laboriosam commodi quam.
Atque placeat recusandae at tempore placeat.
Fugiat nulla magnam adipisci. Qui saepe libero accusantium distinctio eveniet. Numquam magni sunt.",2025-03-25,2025-06-06,패션
4,4,"Minima sapiente nulla excepturi dolore provident. Perspiciatis deleniti ipsam.
Doloremque ipsa amet quidem.
Doloremque architecto magnam ducimus aperiam exercitationem. Quisquam ipsum est porro provident. Excepturi harum laboriosam aliquid voluptates itaque explicabo.
Soluta incidunt dolorem nam ducimus. Fugit modi veritatis. Dolores mollitia optio iure odio.
Quis similique ut eaque dolor explicabo.",2025-03-11,2025-06-23,푸드
5,5,"Officiis possimus earum possimus aspernatur ab. Porro labore quisquam quisquam pariatur. Nemo repellendus nisi natus aliquid. Qui autem error quasi ullam eligendi quia.
Et molestias quam culpa a. Corrupti inventore possimus eligendi. Quisquam aperiam vitae.
Temporibus et et ratione at.
Omnis ut aspernatur impedit. Perferendis eum similique autem a laudantium voluptatum. Odio ducimus optio soluta excepturi quas.",2025-05-21,2025-07-31,게임
6,6,"Neque vel eveniet veritatis nulla praesentium optio. Fugiat sit accusamus.
Ipsa ab voluptatum voluptatum recusandae quidem. Officiis cumque eos deserunt voluptatibus eveniet saepe.
Nesciunt modi id facilis inventore laboriosam. Consequuntur debitis veritatis deserunt harum dolor eveniet.
Sapiente nam quam ipsam itaque sequi voluptate fuga. Commodi dolorem iusto quibusdam.
Nostrum iste quos eius iure quas.
Cupiditate tenetur ullam optio. Molestias iure consequatur vero sequi hic voluptatem.",2025-05-09,2025-06-06,푸드
7,7,"Nihil suscipit asperiores voluptatem placeat. Magnam labore excepturi optio sed. Facere perferendis recusandae optio cum dolores. Saepe deserunt repellendus doloremque quo commodi.
Reprehenderit perferendis numquam nam quos ex. Reprehenderit perspiciatis sapiente excepturi ullam. Maiores cumque adipisci atque. Excepturi ipsum aut eum consequuntur deleniti quos.
Quisquam quos harum expedita. At ullam aut commodi consectetur sint. Enim quidem quam.",2025-05-12,2025-08-08,기술
8,8,"Repellendus quibusdam odit officiis deserunt in consectetur optio. Vel est quae omnis consequatur facilis.
Ut quas error nemo distinctio quasi. Dicta deserunt vitae. Dicta perferendis quis tempora.
Optio quisquam delectus praesentium esse delectus ad. Perferendis iste quo iste consectetur delectus. Doloremque ex dolor eaque delectus rerum.
Veritatis praesentium atque ipsa voluptatum. Recusandae id odio tempore esse. Cumque asperiores quis necessitatibus cumque.",2025-04-28,2025-08-22,푸드
9,9,"Delectus incidunt ad voluptate ipsa architecto similique impedit. Ipsam architecto id a.
Magnam officia perspiciatis deleniti expedita. Perferendis temporibus excepturi tenetur deserunt voluptatibus. Voluptatem assumenda esse asperiores neque.
Eligendi illum consectetur quos sunt quos. Fuga assumenda dolore ipsa voluptatem at est nulla. Excepturi consequuntur nesciunt ea.
Et maiores incidunt doloribus suscipit officiis atque. Voluptates esse nulla nobis esse odit iusto.",2025-03-13,2025-07-09,예술
10,10,"Rerum praesentium expedita eos atque vel debitis. Numquam qui ut totam itaque mollitia perferendis.
Modi veritatis ipsum provident aspernatur.
Labore sed sapiente debitis eveniet. Ea neque velit nam odio earum. Error modi at voluptas non non voluptas excepturi.
Aliquam laudantium consequatur illum ipsa. Quo assumenda aperiam architecto libero modi suscipit. Nisi adipisci numquam porro quia.",2025-03-12,2025-08-14,기타
11,11,"Exercitationem accusantium sed praesentium. Debitis perspiciatis ipsa corrupti quisquam consequuntur ab. Ex repellendus error alias labore velit.
Iure officiis error sequi et quisquam. Optio adipisci ad quod recusandae culpa laboriosam mollitia.
Nesciunt non debitis itaque sequi. Et iste unde a animi iusto molestiae neque. Inventore dignissimos atque veniam reiciendis consequuntur.
Pariatur incidunt doloribus. Autem atque quo assumenda eius omnis. Error quo hic neque amet ab.",2025-03-19,2025-08-08,게임
12,12,"Consequuntur ducimus explicabo maiores aperiam. Reprehenderit nihil itaque ipsa veniam eveniet.
Et repudiandae harum nemo molestias reprehenderit animi. Velit error dolores magni nesciunt nulla consequatur. Asperiores totam possimus incidunt deleniti voluptate exercitationem.
Neque voluptatibus ullam. In distinctio voluptatem aut voluptatibus inventore magni perferendis.
Cumque ducimus cupiditate harum eius in consectetur.",2025-05-02,2025-07-31,패션
13,13,"Reprehenderit qui aspernatur explicabo maiores minus distinctio. Distinctio maxime sequi porro omnis.
Dolorum id veniam nihil quasi blanditiis. Explicabo reiciendis reprehenderit perspiciatis provident sunt quisquam dolores.
Officiis quidem error repellat accusamus debitis magni et. Nisi libero iusto voluptate dolore beatae. Ducimus ea perferendis.
Quibusdam dignissimos ea corrupti. Animi voluptatum ratione nemo.",2025-04-18,2025-08-13,푸드
