result_id,takers_id,test_type,test_date,completion_time,total_score,personality_type,stress_level,validity_check,report_generated
5,83,MMPI,2024-10-14,106,106,ENFP,높음,False,True
257,12,MBTI,2024-09-05,99,128,ENTP,매우높음,True,True
359,163,CPI,2024-08-06,37,99,ENTJ,높음,True,True
101,44,Big5,2025-04-24,35,84,ENTJ,높음,True,True
227,183,MBTI,2024-12-14,117,58,ESTP,보통,True,True
342,105,CPI,2024-10-16,48,54,INTJ,보통,True,False
214,184,CPI,2024-07-14,62,115,ENTP,높음,True,True
172,36,Big5,2024-07-03,25,71,ISFJ,높음,False,True
99,53,NEO-PI-R,2024-07-08,100,126,ENTP,높음,True,False
216,103,MMPI,2024-06-09,22,93,INFP,매우높음,True,True
62,24,MBTI,2025-05-17,53,92,None,매우높음,True,True
48,144,Big5,2024-08-31,60,113,ENFP,매우높음,True,True
33,80,NEO-PI-R,2024-06-18,16,89,ENFP,매우높음,True,True
268,64,MBTI,2025-05-05,18,116,ISFJ,높음,True,True
201,112,NEO-PI-R,2025-04-01,23,82,INTJ,높음,True,True
357,162,MMPI,2024-07-28,70,65,INFP,보통,True,True
28,119,MMPI,2024-07-02,24,95,None,보통,True,True
313,129,MMPI,2024-07-26,41,120,INTJ,높음,True,True
231,153,NEO-PI-R,2025-02-25,106,149,ENFP,낮음,True,True
261,169,CPI,2024-11-03,115,116,INTJ,높음,True,True
289,99,CPI,2024-06-03,92,88,ENTP,보통,True,False
163,49,CPI,2024-09-25,37,65,INTJ,보통,True,False
371,151,CPI,2024-09-19,70,111,INFP,보통,True,True
139,76,MBTI,2024-12-03,27,143,ESTP,낮음,True,True
63,194,MMPI,2025-02-26,72,118,ISFJ,높음,True,True
136,14,MBTI,2024-11-21,26,103,ENTJ,높음,True,True
129,2,MMPI,2025-01-11,27,75,ISFJ,매우높음,True,False
9,24,MMPI,2025-03-18,57,126,ENFP,높음,True,True
65,172,CPI,2024-11-28,81,128,ISFP,매우높음,True,True
