result_id,takers_id,test_type,test_date,completion_time,total_score,personality_type,stress_level,validity_check,report_generated
210,164,CPI,2024-08-10,61,62,INTJ,매우높음,True,True
281,72,MMPI,2025-03-22,98,87,ESTP,매우높음,True,True
34,39,MMPI,2025-04-12,45,52,ISFP,낮음,True,False
211,70,NEO-PI-R,2025-01-25,35,68,ENTP,높음,True,False
94,29,CPI,2024-08-24,94,129,INFP,매우높음,True,True
85,145,MMPI,2025-04-13,30,75,ENTJ,낮음,True,True
330,103,Big5,2024-06-15,119,89,ENTP,낮음,True,True
95,112,MBTI,2024-06-16,48,87,INFP,낮음,True,True
267,146,NEO-PI-R,2024-12-13,119,84,INFP,높음,True,True
127,111,MBTI,2025-05-29,39,87,ISFP,높음,True,True
10,103,MMPI,2025-01-09,61,64,ISFJ,매우높음,True,False
362,115,MBTI,2025-04-07,111,77,ISFJ,매우높음,True,True
57,53,CPI,2025-05-23,58,55,INTJ,높음,True,True
73,116,NEO-PI-R,2025-05-31,22,81,ENTP,낮음,True,True
133,127,MMPI,2024-07-03,72,113,ENTJ,보통,True,True
43,14,MBTI,2024-10-13,43,114,ENTJ,매우높음,True,True
279,77,MMPI,2025-01-03,46,84,INTJ,낮음,True,True
377,8,MMPI,2024-06-05,63,110,None,보통,False,True
232,87,MBTI,2025-05-14,35,77,ESTP,높음,True,True
386,154,Big5,2025-01-05,51,101,ENTP,낮음,True,True
78,163,CPI,2024-12-09,103,123,None,보통,True,True
16,37,NEO-PI-R,2024-10-24,28,138,ENTP,보통,True,True
392,49,MMPI,2024-08-04,31,66,INTJ,보통,True,True
272,77,NEO-PI-R,2024-10-24,77,147,ISFP,매우높음,True,True
1,192,MMPI,2025-05-31,23,102,ENTP,낮음,True,True
397,130,CPI,2024-06-02,72,115,ENFP,낮음,True,True
115,70,MMPI,2025-01-23,68,114,ISFJ,낮음,False,True
226,127,NEO-PI-R,2024-08-13,98,132,ISFP,매우높음,True,True
263,178,MMPI,2024-06-07,86,70,ISFP,매우높음,True,False
105,187,NEO-PI-R,2025-04-08,64,122,ENTJ,낮음,True,True
396,31,CPI,2025-05-10,70,102,ISFP,높음,True,True
194,164,MMPI,2024-10-14,28,129,ISFP,낮음,True,True
262,40,MMPI,2025-04-05,68,142,ISFJ,보통,True,True
58,66,Big5,2024-12-01,87,83,None,보통,False,False
233,191,MBTI,2025-01-04,16,94,ISFP,보통,False,True
117,176,MMPI,2024-06-23,116,137,ENFP,보통,True,True
114,28,Big5,2024-12-23,87,115,ENTJ,높음,True,True
343,50,MBTI,2024-10-18,50,72,ESTP,매우높음,False,True
159,195,MMPI,2025-04-02,120,85,ISFP,매우높음,True,True
142,26,Big5,2024-06-20,62,106,ENFP,보통,True,True
382,175,Big5,2025-01-10,31,133,ENFP,매우높음,True,True
56,87,Big5,2025-02-11,83,118,ISFP,보통,True,True
77,176,CPI,2025-04-16,96,68,ENTP,낮음,False,True
26,100,CPI,2024-12-16,77,101,ESTP,낮음,True,True
83,192,CPI,2024-06-03,30,66,ENFP,보통,True,True
383,175,NEO-PI-R,2024-09-05,108,144,ENFP,높음,True,False
149,51,MBTI,2024-10-15,58,79,INFP,높음,True,True
182,138,NEO-PI-R,2024-08-10,53,144,INFP,매우높음,True,True
23,151,MBTI,2025-02-24,36,145,INFP,매우높음,True,False
174,45,CPI,2025-03-24,84,68,ENTJ,매우높음,True,True
47,29,MMPI,2025-04-18,104,95,ESTP,매우높음,True,True
322,80,MBTI,2025-04-08,72,68,ENTP,낮음,True,True
339,164,NEO-PI-R,2025-02-05,42,97,ISFJ,높음,True,True
71,77,CPI,2024-12-31,72,147,ISFJ,매우높음,True,True
