analytics_id,q1,accepted_answer_id,updated_at,total_answers,avg_answer_length,best_answer_score
1,1,21.0,2025-04-16 01:44:55.440891,12,382,7
2,2,95.0,2025-04-29 00:57:00.810129,7,296,6
3,3,7.0,2025-05-10 03:15:35.699259,0,66,6
4,4,10.0,2025-04-17 17:28:33.183692,15,65,13
5,5,69.0,2025-03-29 06:51:51.441550,7,638,28
6,6,,2025-04-21 05:37:28.827775,3,230,3
7,7,43.0,2025-04-02 01:04:37.098003,12,247,45
8,8,15.0,2025-05-21 08:18:10.302535,5,89,16
9,9,83.0,2025-05-19 10:23:07.119980,13,293,38
10,10,,2025-05-22 05:38:16.736941,5,288,34
11,11,,2025-04-07 15:16:48.823628,12,710,35
12,12,59.0,2025-05-20 21:33:41.359428,6,290,0
13,13,,2025-03-17 01:29:44.299581,8,219,42
14,14,,2025-05-04 07:31:19.892227,6,585,13
15,15,28.0,2025-03-13 06:16:55.688228,14,312,11
16,16,,2025-04-28 22:02:32.887160,3,395,32
17,17,,2025-04-08 04:16:39.484118,4,191,47
18,18,22.0,2025-05-25 17:30:53.130470,0,163,18
19,19,,2025-05-02 12:17:09.263188,5,469,44
20,20,11.0,2025-03-04 10:43:19.162291,14,88,14
21,21,,2025-05-22 09:43:06.417762,4,484,43
22,22,7.0,2025-04-10 14:47:47.508346,13,260,17
23,23,50.0,2025-04-30 00:05:29.659450,13,675,14
24,24,,2025-04-08 06:44:08.607197,2,506,50
25,25,47.0,2025-04-17 18:11:11.547138,13,627,27
26,26,,2025-03-11 15:15:38.456163,12,511,49
27,27,82.0,2025-03-19 01:09:42.844044,13,745,11
28,28,,2025-03-13 14:58:47.596251,10,481,8
29,29,,2025-03-26 12:22:11.770911,7,800,21
30,30,,2025-05-30 21:33:46.014054,14,763,16
31,31,44.0,2025-04-30 21:23:58.645478,0,354,14
32,32,36.0,2025-05-28 05:32:31.394629,2,323,12
33,33,95.0,2025-03-04 16:20:58.638133,3,647,31
34,34,,2025-05-31 13:30:28.765605,8,645,0
35,35,72.0,2025-05-05 06:55:50.190441,7,449,8
36,36,,2025-04-19 23:28:09.879455,3,777,26
37,37,60.0,2025-05-08 06:26:29.089885,12,605,48
38,38,28.0,2025-05-05 08:59:28.650823,6,704,23
39,39,,2025-03-28 05:41:46.885368,14,103,31
40,40,51.0,2025-05-10 18:33:25.248234,12,618,11
41,41,43.0,2025-04-12 22:14:58.174976,11,475,34
42,42,,2025-03-07 22:04:02.301052,12,353,14
43,43,95.0,2025-05-18 13:15:40.329125,4,277,38
44,44,88.0,2025-03-14 21:54:08.363772,14,381,7
45,45,92.0,2025-03-04 16:13:42.711071,13,332,18
46,46,87.0,2025-04-10 10:46:49.338292,11,82,30
47,47,,2025-05-05 15:50:09.834723,2,659,23
48,48,91.0,2025-05-09 11:58:43.313853,13,654,2
49,49,41.0,2025-04-27 14:05:04.854135,5,692,26
50,50,80.0,2025-03-10 19:52:33.148100,6,328,23
51,51,74.0,2025-03-07 19:38:01.403839,1,66,19
52,52,20.0,2025-03-25 12:15:56.589682,9,736,49
53,53,,2025-05-10 12:32:24.590413,2,293,28
54,54,82.0,2025-04-15 16:13:48.861077,10,423,0
55,55,,2025-03-29 15:34:43.184319,10,719,20
56,56,60.0,2025-05-08 07:56:17.279190,14,518,34
57,57,22.0,2025-05-15 15:06:20.096842,10,453,37
58,58,64.0,2025-04-16 09:32:05.356876,0,246,27
59,59,36.0,2025-04-28 05:47:45.490361,5,233,9
60,60,78.0,2025-03-15 15:35:17.239647,7,794,39
61,61,63.0,2025-04-16 18:57:26.236646,12,107,12
62,62,76.0,2025-05-15 08:51:13.845678,5,797,50
63,63,,2025-05-05 14:38:02.555317,11,340,11
64,64,73.0,2025-03-24 04:55:54.305426,2,642,18
65,65,,2025-05-30 05:54:15.136553,4,638,7
66,66,98.0,2025-04-05 11:26:12.002862,10,113,33
67,67,4.0,2025-05-04 19:08:33.040331,0,421,18
68,68,,2025-04-13 23:42:34.022628,3,560,2
69,69,41.0,2025-04-04 18:38:44.973886,9,488,11
70,70,13.0,2025-03-23 10:57:14.147149,6,54,42
71,71,,2025-05-04 23:06:01.912129,6,578,33
72,72,99.0,2025-05-06 07:27:46.392104,15,419,47
73,73,,2025-04-04 08:03:55.848661,1,215,43
74,74,82.0,2025-04-24 15:37:10.966340,15,443,47
75,75,,2025-04-26 09:38:13.242251,0,189,12
76,76,15.0,2025-03-25 15:08:55.858436,7,158,30
77,77,7.0,2025-03-19 11:06:35.030709,9,146,7
78,78,,2025-04-07 22:43:56.564380,2,346,48
79,79,,2025-05-27 17:44:45.326860,0,645,13
80,80,36.0,2025-04-28 23:42:19.481568,10,533,39
81,81,52.0,2025-04-19 00:37:09.428721,11,590,26
82,82,13.0,2025-04-21 09:34:24.040602,12,408,9
83,83,,2025-04-16 20:27:12.002419,6,613,12
84,84,32.0,2025-04-29 15:44:53.543283,7,709,31
85,85,92.0,2025-05-20 12:45:08.868450,3,294,29
86,86,14.0,2025-05-25 14:19:47.991200,6,366,21
87,87,89.0,2025-04-18 01:14:51.519759,9,765,18
88,88,95.0,2025-05-11 03:00:45.431101,12,356,35
89,89,,2025-03-18 04:48:47.440007,11,611,48
90,90,78.0,2025-05-31 17:34:57.181420,9,176,36
91,91,,2025-05-12 17:54:59.410209,3,601,11
92,92,2.0,2025-05-30 22:03:49.957402,0,797,28
93,93,,2025-05-19 08:35:24.109411,7,310,46
94,94,40.0,2025-05-09 10:27:03.927069,8,759,50
95,95,,2025-04-06 06:10:04.724936,1,695,28
96,96,,2025-03-15 16:42:32.960590,8,635,20
97,97,,2025-05-16 10:34:33.689273,15,230,35
98,98,42.0,2025-04-03 03:48:10.808714,3,690,46
99,99,46.0,2025-05-09 16:32:28.254495,7,520,38
100,100,92.0,2025-05-15 12:22:03.431986,5,81,37
101,101,34.0,2025-04-23 10:19:45.817166,13,481,36
102,102,,2025-05-21 19:13:17.762959,1,447,24
103,103,,2025-04-18 22:01:33.208706,14,355,32
104,104,78.0,2025-05-26 21:51:34.023743,9,466,30
105,105,100.0,2025-03-22 07:50:08.592952,2,90,24
106,106,71.0,2025-04-10 07:28:08.715870,0,52,25
107,107,,2025-04-23 09:34:14.967119,9,341,17
108,108,,2025-04-21 07:13:09.151836,9,607,47
109,109,98.0,2025-05-31 14:35:17.331115,15,121,48
110,110,59.0,2025-04-15 20:45:10.490169,14,718,35
111,111,36.0,2025-04-16 23:35:32.341146,1,625,44
112,112,56.0,2025-03-21 21:31:02.731367,5,410,45
113,113,78.0,2025-03-27 00:41:33.826218,1,356,2
114,114,,2025-04-13 09:02:58.077457,2,92,16
115,115,29.0,2025-04-11 17:04:50.202815,0,524,38
116,116,40.0,2025-05-06 03:42:59.218033,0,347,41
117,117,41.0,2025-03-26 14:00:29.512273,15,306,24
118,118,,2025-04-08 21:25:51.744556,8,448,41
119,119,,2025-05-01 07:45:49.219697,11,275,34
120,120,71.0,2025-04-06 09:05:57.838391,15,694,50
121,121,4.0,2025-05-23 05:53:43.013102,4,438,1
122,122,,2025-05-02 02:52:41.511681,2,624,35
123,123,,2025-03-10 12:23:14.827106,5,563,32
124,124,,2025-04-06 07:15:11.547955,7,311,37
125,125,,2025-03-07 14:55:07.684411,14,678,30
126,126,41.0,2025-05-11 21:46:02.269459,7,794,39
127,127,,2025-03-26 01:12:45.309815,8,800,48
128,128,,2025-05-09 18:53:29.889308,9,383,25
129,129,14.0,2025-03-08 22:19:59.387478,1,737,6
130,130,48.0,2025-05-04 14:05:21.700164,5,175,21
131,131,37.0,2025-05-31 07:39:54.350640,5,140,22
132,132,93.0,2025-05-25 20:05:55.174720,2,294,4
133,133,6.0,2025-04-01 19:38:51.394992,1,77,12
134,134,,2025-05-11 18:56:39.727357,12,221,30
135,135,53.0,2025-05-23 09:10:59.964438,10,582,25
136,136,70.0,2025-04-28 11:55:44.615339,4,616,31
137,137,,2025-04-25 09:06:43.270413,6,216,2
138,138,,2025-05-28 21:13:17.328765,6,335,25
139,139,75.0,2025-03-09 14:35:29.398058,15,688,3
140,140,,2025-04-21 03:38:18.421475,0,300,44
141,141,2.0,2025-03-04 16:20:43.787998,11,717,21
142,142,12.0,2025-05-08 04:45:25.031079,8,284,13
143,143,87.0,2025-04-07 20:30:43.756165,5,211,21
144,144,,2025-05-13 15:29:38.734265,7,624,41
145,145,11.0,2025-04-14 20:24:15.162469,4,748,5
146,146,,2025-04-20 20:07:22.797278,1,191,23
147,147,,2025-05-25 03:45:07.135343,2,500,39
148,148,48.0,2025-04-09 18:07:38.960003,1,721,37
149,149,24.0,2025-03-21 18:55:50.750418,1,522,2
150,150,48.0,2025-03-19 05:41:08.074831,10,301,48
151,151,9.0,2025-03-11 17:39:36.121010,9,555,29
152,152,,2025-05-13 04:18:07.263384,13,659,14
153,153,33.0,2025-05-14 22:39:39.797773,0,307,37
154,154,9.0,2025-06-01 00:54:43.989604,8,276,43
155,155,,2025-04-11 15:33:21.526817,11,232,48
156,156,22.0,2025-03-12 06:44:48.949076,12,504,8
157,157,38.0,2025-05-02 03:55:18.846639,4,274,45
158,158,92.0,2025-05-28 02:52:14.258122,4,264,19
159,159,,2025-05-04 19:45:40.819390,5,432,46
160,160,,2025-05-31 22:04:40.748999,7,122,27
161,161,88.0,2025-04-14 12:29:50.693200,6,309,21
162,162,35.0,2025-03-14 19:30:03.280836,1,659,35
163,163,,2025-04-04 16:26:35.836101,0,563,49
164,164,12.0,2025-03-22 01:15:32.719268,12,511,37
165,165,26.0,2025-04-07 18:53:22.384740,11,666,31
166,166,,2025-05-01 06:25:29.410755,9,771,35
167,167,86.0,2025-06-02 04:22:55.146810,5,285,42
168,168,11.0,2025-05-07 01:01:53.199301,11,139,27
169,169,,2025-04-28 18:42:08.965265,8,582,26
170,170,27.0,2025-05-25 11:24:03.775091,3,57,5
171,171,62.0,2025-03-08 15:37:37.474592,15,119,2
172,172,,2025-03-06 00:19:20.546981,14,498,45
173,173,21.0,2025-04-15 03:49:12.012763,3,172,11
174,174,83.0,2025-03-28 16:34:49.206845,5,779,20
175,175,87.0,2025-05-04 18:36:57.548043,6,556,27
176,176,54.0,2025-05-05 15:48:57.151730,13,329,9
177,177,64.0,2025-05-19 08:30:56.718926,13,357,11
