analytics_id,q1,accepted_answer_id,updated_at,response_time_avg,tags,bookmark_count,share_count
1,1,21.0,2025-04-16 01:44:55.440891,56,"['voluptas', 'amet', 'sequi', 'quos']",46,20
2,2,95.0,2025-04-29 00:57:00.810129,48,['id'],40,8
3,3,7.0,2025-05-10 03:15:35.699259,37,"['mollitia', 'doloremque', 'reiciendis', 'necessitatibus']",35,7
4,4,10.0,2025-04-17 17:28:33.183692,58,"['numquam', 'iusto', 'atque']",36,16
5,5,69.0,2025-03-29 06:51:51.441550,47,"['eum', 'facere', 'consequuntur']",27,19
6,6,,2025-04-21 05:37:28.827775,43,"['reiciendis', 'voluptatibus', 'officiis', 'ad']",40,15
7,7,43.0,2025-04-02 01:04:37.098003,3,"['officia', 'quisquam', 'velit', 'eum', 'ducimus']",35,6
8,8,15.0,2025-05-21 08:18:10.302535,14,"['nostrum', 'quisquam', 'iure']",32,5
9,9,83.0,2025-05-19 10:23:07.119980,56,"['repellendus', 'molestiae', 'aliquam', 'inventore', 'nisi']",37,2
10,10,,2025-05-22 05:38:16.736941,23,"['ipsum', 'est', 'at']",36,10
11,11,,2025-04-07 15:16:48.823628,17,"['mollitia', 'eius', 'id', 'ipsa']",34,6
12,12,59.0,2025-05-20 21:33:41.359428,5,"['eum', 'ab', 'nesciunt', 'eos']",14,0
13,13,,2025-03-17 01:29:44.299581,26,['error'],18,11
14,14,,2025-05-04 07:31:19.892227,42,"['laudantium', 'iure', 'possimus']",3,7
15,15,28.0,2025-03-13 06:16:55.688228,42,"['dolorem', 'excepturi', 'consequatur', 'voluptatum', 'tenetur']",29,14
16,16,,2025-04-28 22:02:32.887160,48,['dolorem'],27,9
17,17,,2025-04-08 04:16:39.484118,45,"['neque', 'ad', 'officia']",38,10
18,18,22.0,2025-05-25 17:30:53.130470,11,"['quae', 'explicabo', 'praesentium', 'totam']",41,12
19,19,,2025-05-02 12:17:09.263188,12,"['nihil', 'iste', 'dolorem', 'neque']",28,6
20,20,11.0,2025-03-04 10:43:19.162291,21,['voluptates'],31,2
21,21,,2025-05-22 09:43:06.417762,21,"['maxime', 'perspiciatis']",5,15
22,22,7.0,2025-04-10 14:47:47.508346,26,"['veniam', 'necessitatibus']",29,9
23,23,50.0,2025-04-30 00:05:29.659450,12,"['harum', 'tenetur', 'nihil']",25,17
24,24,,2025-04-08 06:44:08.607197,2,"['voluptatibus', 'voluptates', 'qui']",17,18
25,25,47.0,2025-04-17 18:11:11.547138,1,"['consequatur', 'alias', 'iusto', 'rerum', 'quas']",3,15
26,26,,2025-03-11 15:15:38.456163,40,"['nesciunt', 'natus', 'eos', 'et']",37,20
27,27,82.0,2025-03-19 01:09:42.844044,72,['consequuntur'],39,12
28,28,,2025-03-13 14:58:47.596251,6,"['repellat', 'ut', 'eum', 'officiis', 'necessitatibus']",21,18
29,29,,2025-03-26 12:22:11.770911,18,"['mollitia', 'ut']",41,1
30,30,,2025-05-30 21:33:46.014054,41,"['beatae', 'sunt', 'assumenda']",35,10
31,31,44.0,2025-04-30 21:23:58.645478,40,"['asperiores', 'veniam', 'eligendi', 'at', 'numquam']",30,16
