record_id,owner,score,result,play_time,created_at
1,233,7766,승리,25,2025-04-24 10:41:48.611932
2,213,7601,무승부,45,2025-01-29 09:21:32.412649
3,34,3781,승리,30,2025-02-11 00:50:00.089283
4,135,7677,무승부,114,2025-01-27 18:38:51.176263
5,2,2166,무승부,91,2025-03-03 02:44:54.615086
6,83,914,패배,35,2025-04-26 15:09:00.441153
7,284,5475,승리,88,2025-03-26 13:13:22.063479
8,38,4642,패배,5,2024-12-13 23:55:30.708511
9,135,5725,승리,11,2025-05-24 05:12:42.357821
10,48,2316,패배,59,2025-06-01 23:37:08.298499
11,288,6408,승리,97,2025-04-20 04:09:15.389162
12,124,3842,승리,58,2025-01-13 17:49:28.517090
13,261,241,패배,51,2024-12-17 00:38:50.882149
14,28,8222,무승부,80,2025-01-06 06:51:16.655278
15,115,5108,패배,53,2025-05-03 11:39:17.795385
16,281,4944,무승부,93,2025-01-28 06:37:54.125597
17,48,4186,승리,120,2025-01-06 11:32:08.796104
18,103,6230,패배,5,2025-02-13 15:49:36.859595
19,52,3017,무승부,81,2025-03-23 09:45:54.764845
20,169,9710,무승부,94,2025-05-21 12:49:45.600276
21,145,3897,패배,31,2025-05-03 17:10:00.697758
22,291,4771,무승부,44,2025-02-15 08:51:42.657635
23,198,9283,승리,99,2024-12-21 21:54:06.287721
24,78,6242,패배,74,2025-03-17 20:23:55.185383
25,9,956,무승부,69,2025-01-02 23:34:02.376453
26,50,1067,패배,109,2025-03-16 11:39:58.943732
27,217,7047,무승부,61,2025-02-21 22:58:57.914614
28,267,1911,패배,53,2025-01-09 01:45:25.920628
29,238,587,패배,28,2024-12-30 21:31:07.041600
30,146,1553,무승부,106,2025-02-21 10:30:15.861305
31,83,7707,패배,42,2025-03-05 22:19:48.310338
32,155,9856,패배,7,2025-02-05 16:25:00.703310
33,157,4225,승리,91,2025-01-21 18:40:30.609481
34,228,2801,승리,60,2025-03-07 00:02:47.429086
35,68,9760,승리,75,2025-04-19 03:03:56.105491
36,129,1682,승리,102,2025-02-05 18:30:48.017085
37,209,652,승리,21,2025-01-20 04:18:09.025280
38,76,583,패배,57,2025-01-19 15:12:05.990000
39,165,6779,무승부,88,2025-04-02 17:15:50.327363
40,220,160,승리,38,2025-03-20 02:59:44.191396
41,66,2012,승리,11,2025-03-08 17:35:10.094082
42,82,7945,무승부,105,2025-03-29 16:00:44.152615
43,221,8828,패배,116,2025-05-30 05:18:39.211608
44,164,3375,무승부,87,2025-01-24 20:23:07.460005
45,138,1574,패배,39,2025-02-12 15:49:28.993496
46,150,6683,패배,118,2025-02-09 10:26:51.697634
47,57,7908,무승부,77,2025-03-23 16:18:24.668932
48,52,2239,패배,70,2024-12-20 14:03:29.210925
49,103,946,무승부,89,2025-03-29 14:38:52.309413
50,52,2348,무승부,32,2025-05-01 13:10:32.383733
51,269,9468,승리,103,2025-06-01 01:36:47.653562
52,45,3955,승리,9,2025-02-19 18:30:18.890338
53,215,2080,패배,98,2024-12-18 06:00:52.848672
54,192,9484,패배,15,2025-04-22 11:46:08.824278
55,300,808,무승부,31,2025-05-04 12:38:06.580265
56,247,3554,승리,63,2024-12-27 18:26:17.989206
57,143,3936,패배,65,2025-04-21 01:29:47.911805
58,75,3240,무승부,44,2024-12-07 09:39:48.495537
59,125,3391,패배,98,2025-05-03 13:54:33.085427
60,161,8529,승리,56,2025-02-25 03:41:54.762764
