setting_id,owner,language,sound_effects,background_music,auto_pass_priority,animation_speed,card_back_design,notification_friend_online,notification_tournament
1,1,한국어,True,True,False,느림,2,True,False
2,2,한국어,True,True,True,느림,19,True,True
3,3,일본어,True,False,False,느림,17,False,True
4,4,영어,True,False,False,빠름,2,True,True
5,5,한국어,True,True,False,보통,19,False,True
6,6,영어,True,False,False,빠름,5,True,True
7,7,중국어,True,True,False,보통,9,False,True
8,8,일본어,False,True,True,느림,6,True,True
9,9,중국어,True,True,True,보통,18,True,True
10,10,한국어,True,False,False,빠름,6,True,True
11,11,한국어,True,True,False,느림,13,True,True
12,12,중국어,True,True,True,느림,3,True,False
13,13,한국어,True,True,True,느림,11,True,True
14,14,한국어,True,True,True,빠름,14,True,True
15,15,중국어,True,True,True,빠름,3,True,True
16,16,영어,True,True,False,보통,6,True,True
17,17,한국어,True,False,False,느림,9,False,True
18,18,한국어,True,True,False,빠름,2,False,True
19,19,중국어,True,True,True,느림,13,False,True
20,20,한국어,True,True,True,빠름,20,True,True
21,21,일본어,False,True,False,보통,17,False,True
22,22,영어,False,False,False,느림,16,False,True
23,23,영어,True,True,False,빠름,5,False,True
24,24,중국어,True,True,False,느림,5,False,True
25,25,한국어,False,True,False,빠름,12,True,True
26,26,한국어,False,True,False,빠름,11,True,True
27,27,영어,True,True,False,빠름,9,True,True
28,28,한국어,False,True,False,느림,17,True,True
29,29,일본어,False,True,False,보통,3,True,True
30,30,영어,False,True,True,보통,1,True,True
31,31,한국어,False,True,True,느림,8,False,True
32,32,중국어,True,False,False,느림,9,True,True
33,33,한국어,True,False,True,보통,9,True,True
34,34,일본어,True,True,False,빠름,17,True,True
35,35,중국어,False,True,True,빠름,14,True,True
36,36,중국어,True,True,True,보통,19,True,True
37,37,한국어,False,False,False,빠름,9,True,True
38,38,영어,True,True,True,느림,6,False,True
39,39,영어,True,True,True,느림,8,True,True
40,40,중국어,True,True,True,느림,8,False,True
41,41,한국어,True,True,False,빠름,4,True,True
42,42,중국어,True,False,True,빠름,18,True,False
43,43,한국어,True,True,False,느림,5,True,True
44,44,중국어,True,True,False,느림,17,False,False
45,45,영어,True,True,False,느림,16,True,True
46,46,일본어,True,False,False,느림,9,True,True
47,47,영어,False,True,True,빠름,10,True,True
48,48,영어,False,True,False,보통,8,True,True
49,49,중국어,True,False,False,느림,18,True,True
50,50,한국어,False,True,False,보통,13,True,True
51,51,영어,True,True,True,느림,14,True,True
52,52,한국어,False,False,False,빠름,7,True,True
53,53,일본어,True,True,False,느림,16,False,True
54,54,중국어,True,True,False,느림,20,False,True
55,55,일본어,True,True,False,빠름,20,True,True
56,56,일본어,True,True,False,빠름,4,False,True
57,57,중국어,True,True,False,느림,11,True,True
58,58,영어,False,False,True,느림,9,True,True
59,59,영어,True,False,False,빠름,4,False,True
60,60,한국어,True,True,True,보통,15,False,True
61,61,일본어,True,True,False,느림,20,False,False
62,62,일본어,True,True,False,느림,17,False,True
63,63,중국어,True,False,False,보통,5,False,True
64,64,중국어,True,False,False,보통,10,False,True
65,65,중국어,True,False,False,느림,14,False,True
66,66,중국어,True,False,False,느림,2,True,True
67,67,영어,True,True,False,보통,20,True,True
68,68,영어,False,True,True,느림,8,True,True
69,69,한국어,True,True,False,보통,7,False,True
70,70,영어,True,True,False,느림,20,False,True
71,71,일본어,True,True,True,빠름,4,False,True
72,72,영어,True,True,False,빠름,5,True,True
73,73,중국어,False,True,False,보통,2,True,True
74,74,일본어,False,True,True,느림,20,True,True
75,75,영어,True,True,True,빠름,1,False,True
76,76,영어,False,False,True,보통,15,True,True
77,77,중국어,True,False,True,보통,12,True,True
78,78,영어,False,True,False,빠름,10,False,True
79,79,영어,True,True,False,빠름,10,True,False
80,80,한국어,True,True,False,느림,18,False,False
81,81,일본어,True,False,False,빠름,6,True,True
82,82,한국어,False,True,True,느림,1,True,True
83,83,중국어,False,True,False,보통,15,False,True
84,84,한국어,True,True,False,보통,11,True,True
85,85,한국어,True,False,False,보통,18,True,True
86,86,중국어,True,True,False,느림,3,False,True
87,87,영어,True,True,False,느림,17,True,True
88,88,한국어,True,False,False,보통,11,True,True
89,89,영어,False,False,True,빠름,15,True,True
90,90,한국어,True,True,False,보통,16,True,True
91,91,영어,True,True,False,느림,1,True,False
92,92,일본어,True,True,False,보통,12,False,True
93,93,중국어,True,True,True,빠름,18,True,True
94,94,영어,True,True,False,빠름,2,True,True
95,95,한국어,True,False,False,보통,11,True,True
96,96,영어,True,True,False,느림,19,False,True
97,97,영어,True,False,False,느림,8,True,True
98,98,한국어,True,True,True,느림,20,False,True
99,99,중국어,True,True,True,빠름,15,True,True
100,100,한국어,True,True,False,보통,2,True,True
101,101,일본어,True,True,False,빠름,2,False,True
102,102,중국어,False,True,False,보통,1,True,True
103,103,영어,True,True,False,보통,8,False,True
104,104,한국어,True,True,True,빠름,1,False,True
105,105,중국어,True,False,False,느림,5,True,True
106,106,일본어,True,False,True,빠름,18,True,True
107,107,영어,True,True,True,보통,11,True,True
108,108,중국어,True,True,False,느림,8,False,True
109,109,영어,True,True,True,빠름,17,True,True
110,110,영어,False,True,True,보통,3,False,True
111,111,일본어,True,True,True,느림,18,False,True
112,112,영어,True,True,False,빠름,4,True,True
113,113,한국어,True,True,True,빠름,5,False,True
114,114,중국어,True,False,False,느림,9,True,True
115,115,중국어,True,True,True,빠름,20,True,True
116,116,영어,False,True,True,보통,20,True,True
117,117,영어,True,True,True,보통,9,True,False
118,118,한국어,True,True,True,느림,2,True,True
119,119,일본어,True,False,False,빠름,12,True,True
120,120,영어,False,False,False,보통,10,False,True
121,121,중국어,True,True,True,빠름,6,False,True
122,122,중국어,True,True,False,빠름,1,False,True
123,123,한국어,True,True,True,보통,12,True,True
124,124,일본어,True,True,False,빠름,9,True,True
125,125,중국어,True,True,True,보통,5,False,True
126,126,한국어,True,True,False,느림,5,True,True
127,127,영어,True,True,True,느림,12,True,True
128,128,중국어,True,True,False,보통,5,True,True
129,129,중국어,False,True,False,느림,11,True,True
130,130,중국어,True,False,False,빠름,17,True,True
131,131,영어,True,True,False,보통,13,True,True
132,132,일본어,True,True,False,느림,5,False,True
133,133,중국어,False,True,True,보통,2,True,True
134,134,중국어,True,True,True,보통,12,False,True
135,135,중국어,True,True,False,빠름,20,False,True
136,136,영어,True,False,False,느림,11,False,False
137,137,중국어,True,True,True,빠름,4,True,True
138,138,중국어,False,False,False,보통,1,True,True
139,139,중국어,True,False,False,보통,17,True,True
140,140,중국어,True,True,False,보통,20,False,True
141,141,한국어,False,True,False,보통,12,False,False
142,142,영어,True,False,True,보통,4,True,True
143,143,한국어,True,True,False,빠름,5,False,True
144,144,한국어,True,True,False,보통,9,False,True
145,145,일본어,True,False,True,빠름,7,False,True
146,146,한국어,True,True,True,보통,18,False,True
147,147,일본어,True,False,True,보통,7,False,False
148,148,중국어,False,True,False,느림,10,True,True
149,149,중국어,True,False,False,느림,10,True,True
150,150,한국어,False,False,True,빠름,12,False,True
151,151,중국어,True,False,False,느림,18,False,True
152,152,일본어,True,False,False,느림,3,False,True
153,153,중국어,True,True,True,빠름,6,False,True
154,154,한국어,True,True,True,빠름,14,True,True
155,155,한국어,True,True,True,빠름,12,True,False
156,156,영어,True,True,False,빠름,7,True,True
157,157,영어,True,True,True,느림,10,True,True
158,158,한국어,True,True,False,보통,12,True,False
159,159,한국어,True,True,True,느림,7,True,True
160,160,일본어,True,False,False,보통,6,True,True
161,161,한국어,True,False,False,빠름,18,True,True
162,162,일본어,True,True,True,느림,11,True,True
163,163,한국어,True,True,False,보통,3,True,True
164,164,중국어,True,True,False,보통,10,False,True
165,165,영어,True,True,True,느림,11,True,True
166,166,한국어,True,False,True,빠름,7,True,True
167,167,일본어,True,True,False,보통,8,True,True
168,168,영어,False,False,False,빠름,11,False,True
169,169,한국어,True,True,True,느림,19,True,True
170,170,한국어,False,True,False,빠름,13,True,True
171,171,한국어,True,False,False,빠름,2,False,True
172,172,일본어,True,True,False,보통,2,True,True
173,173,일본어,True,True,True,보통,1,False,True
174,174,중국어,True,False,True,느림,14,False,True
175,175,영어,False,False,False,빠름,9,True,True
176,176,중국어,True,True,False,보통,14,True,True
177,177,일본어,True,False,False,느림,2,False,True
178,178,영어,False,True,True,빠름,18,False,True
179,179,일본어,False,True,False,보통,7,True,True
180,180,영어,False,True,True,보통,15,False,True
181,181,한국어,True,False,True,빠름,12,True,True
182,182,한국어,True,False,False,느림,11,True,True
183,183,일본어,True,True,False,느림,11,True,False
184,184,중국어,True,False,False,보통,18,True,True
185,185,영어,True,True,True,느림,4,True,True
186,186,중국어,False,False,True,빠름,11,False,True
187,187,한국어,False,True,False,보통,11,True,True
188,188,일본어,True,False,False,느림,12,True,False
189,189,한국어,True,True,True,느림,7,True,True
190,190,중국어,True,True,True,빠름,17,False,True
191,191,중국어,True,True,True,느림,10,False,True
192,192,한국어,True,True,True,보통,19,True,True
193,193,중국어,True,False,False,느림,18,True,True
194,194,영어,True,True,False,느림,20,True,True
195,195,중국어,True,True,True,느림,15,False,True
196,196,영어,False,True,True,보통,15,True,True
197,197,중국어,True,False,False,느림,17,True,True
198,198,중국어,False,True,False,느림,15,True,False
199,199,중국어,True,True,False,느림,19,True,True
200,200,일본어,False,False,False,느림,13,False,False
201,201,한국어,False,False,True,보통,18,True,True
202,202,중국어,True,True,True,느림,1,True,True
203,203,영어,True,False,True,빠름,11,True,False
204,204,중국어,True,True,True,보통,4,False,True
205,205,한국어,True,True,False,느림,1,True,True
206,206,영어,True,False,False,느림,12,True,True
207,207,영어,True,False,False,느림,1,False,True
208,208,일본어,True,False,True,느림,16,True,True
209,209,중국어,False,False,False,느림,13,True,True
210,210,한국어,True,False,False,빠름,2,False,True
211,211,영어,True,True,False,느림,15,True,True
212,212,한국어,True,True,False,보통,17,True,True
213,213,중국어,True,False,False,느림,3,False,True
214,214,한국어,True,True,True,빠름,4,True,True
215,215,중국어,True,True,True,보통,15,False,True
216,216,한국어,True,False,False,보통,14,False,True
217,217,중국어,True,True,False,보통,15,True,True
218,218,영어,True,False,True,빠름,6,True,True
219,219,한국어,True,True,True,느림,11,True,True
220,220,한국어,False,False,False,빠름,16,False,True
221,221,중국어,True,True,True,빠름,6,True,True
222,222,영어,False,True,False,보통,11,True,True
223,223,영어,True,True,False,느림,18,False,True
224,224,한국어,True,True,False,느림,1,False,True
225,225,일본어,False,True,False,보통,7,True,True
226,226,영어,False,True,True,빠름,12,False,True
227,227,일본어,False,True,False,보통,7,True,True
228,228,영어,True,True,True,보통,9,False,True
229,229,한국어,True,True,False,보통,1,True,True
230,230,영어,True,True,False,보통,15,True,True
231,231,중국어,True,True,False,느림,15,False,True
232,232,중국어,True,True,False,느림,6,True,True
233,233,일본어,True,False,False,빠름,4,False,True
234,234,중국어,True,True,True,보통,4,True,True
